,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$8.26,10.28,time-not-supplied,DE,Deere & Company,"$106,252,052,872",Oct/2023,$7.49,11,,,2023-11-22,,8.26,7.49
2,$0.33,-75,time-not-supplied,BMA,Macro Bank Inc.,"$1,771,814,559",Sep/2023,$1.32,1,,,2023-11-22,,0.33,1.32
4,$1,N/A,time-not-supplied,FORTY,Formula Systems (1985) Ltd.,"$931,467,330",Sep/2023,,N/A,,,2023-11-22,,1,
6,$0.06,200,time-not-supplied,TRMR,Tremor International Ltd.,"$556,065,121",Sep/2023,$0.02,2,,,2023-11-22,,0.06,0.02
7,$0.01,N/A,time-not-supplied,RERE,ATRenew Inc.,"$396,168,812",Sep/2023,,N/A,,,2023-11-22,,0.01,
8,$0.30,N/A,time-not-supplied,LX,LexinFintech Holdings Ltd.,"$291,281,131",Sep/2023,,N/A,,,2023-11-22,,0.30,
9,$0.83,N/A,time-not-supplied,JFIN,Jiayin Group Inc.,"$279,448,580",Sep/2023,,N/A,,,2023-11-22,,0.83,
10,$1.01,N/A,time-not-supplied,XYF,X Financial,"$207,781,233",Sep/2023,,N/A,,,2023-11-22,,1.01,
12,$1.31,N/A,time-not-supplied,STG,Sunlands Technology Group,"$121,065,859",Sep/2023,,N/A,,,2023-11-22,,1.31,
13,$0.23,N/A,time-not-supplied,FICV,Frontier Investment Corp,"$96,671,187",Sep/2023,,N/A,,,2023-11-22,,0.23,
15,$0.04,N/A,time-not-supplied,ZLS,Zalatoris II Acquisition Corp,"$69,250,984",Sep/2023,,N/A,,,2023-11-22,,0.04,
18,$0.26,N/A,time-not-supplied,BIMI,BIMI International Medical Inc.,"$13,640,407",Jun/2023,,N/A,,,2023-11-22,,0.26,
