,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
1,$27.45,N/A,time-pre-market,AZO,"AutoZone, Inc.","$46,715,169,501",Nov/2023,$31.01,11,,,2023-12-05,,27.45,31.01
2,$2.95,N/A,time-pre-market,FERG,Ferguson plc,"$35,148,158,447",Oct/2023,$2.65,5,,,2023-12-05,,2.95,2.65
6,$2.40,N/A,time-pre-market,SJM,J.M. Smucker Company (The),"$11,379,483,373",Oct/2023,$2.47,8,,,2023-12-05,,2.40,2.47
7,$4.67,N/A,time-after-hours,TOL,"Toll Brothers, Inc.","$9,434,506,620",Oct/2023,$3.66,8,,,2023-12-05,,4.67,3.66
8,$0.65,N/A,time-pre-market,CNM,"Core & Main, Inc.","$8,143,987,572",Oct/2023,$0.68,3,,,2023-12-05,,0.65,0.68
9,$0.31,N/A,time-after-hours,DSGX,The Descartes Systems Group Inc.,"$6,934,467,254",Oct/2023,$0.32,1,,,2023-12-05,,0.31,0.32
10,$0.21,N/A,time-after-hours,HQY,"HealthEquity, Inc.","$5,913,436,600",Oct/2023,$0.32,6,,,2023-12-05,,0.21,0.32
13,$0.74,N/A,time-pre-market,SIG,Signet Jewelers Limited,"$3,832,830,568",Oct/2023,$0.15,2,,,2023-12-05,,0.74,0.15
14,$0.04,N/A,time-after-hours,BOX,"Box, Inc.","$3,827,287,819",Oct/2023,$0.02,7,,,2023-12-05,,0.04,0.02
15,$0,N/A,time-after-hours,AVAV,"AeroVironment, Inc.","$3,684,605,166",Oct/2023,$0.67,3,,,2023-12-05,,0,0.67
16,$0.10,N/A,time-not-supplied,CD,Chindata Group Holdings Limited,"$3,080,324,554",Sep/2023,$0.09,1,,,2023-12-05,,0.10,0.09
17,$0.04,N/A,time-after-hours,PLAY,"Dave & Buster's Entertainment, Inc.","$1,832,477,103",Oct/2023,($0.22),6,,,2023-12-05,,0.04,-0.22
18,$0.95,N/A,time-not-supplied,IESC,"IES Holdings, Inc.","$1,456,822,424",Sep/2023,,6,,,2023-12-05,,0.95,
19,$1.35,N/A,time-pre-market,GIII,"G-III Apparel Group, LTD.","$1,354,941,894",Oct/2023,$2.08,4,,,2023-12-05,,1.35,2.08
20,$0.73,N/A,time-after-hours,POWL,"Powell Industries, Inc.","$1,078,245,600",Sep/2023,$1.24,1,,,2023-12-05,,0.73,1.24
23,$0.67,N/A,time-pre-market,DBI,Designer Brands Inc.,"$723,749,886",Oct/2023,$0.44,3,,,2023-12-05,,0.67,0.44
24,$0.26,N/A,time-not-supplied,SWBI,"Smith & Wesson Brands, Inc.","$649,770,190",Oct/2023,,N/A,,,2023-12-05,,0.26,
25,$8.56,N/A,time-pre-market,HOV,Hovnanian Enterprises Inc,"$602,770,676",Oct/2023,,N/A,,,2023-12-05,,8.56,
26,$0.48,N/A,time-pre-market,CRMT,"America's Car-Mart, Inc.","$515,856,170",Oct/2023,$0.74,3,,,2023-12-05,,0.48,0.74
28,$0.77,N/A,time-pre-market,JILL,"J. Jill, Inc.","$324,124,691",Oct/2023,$0.62,2,,,2023-12-05,,0.77,0.62
33,$0.31,N/A,time-not-supplied,CSPI,CSP Inc.,"$119,418,493",Sep/2023,,6,,,2023-12-05,,0.31,
37,$0.05,N/A,time-not-supplied,INCR,Intercure Ltd.,"$58,333,041",Sep/2023,,6,,,2023-12-05,,0.05,
38,$0.13,N/A,time-not-supplied,PATI,"Patriot Transportation Holding, Inc.","$56,423,824",Sep/2023,,6,,,2023-12-05,,0.13,
39,$0.21,N/A,time-not-supplied,PPIH,"Perma-Pipe International Holdings, Inc.","$54,509,266",Oct/2023,,6,,,2023-12-05,,0.21,
40,$1.86,N/A,time-not-supplied,NM,Navios Maritime Holdings Inc.,"$51,397,735",Sep/2023,,6,,,2023-12-05,,1.86,
50,$0.34,N/A,time-not-supplied,TEDU,"Tarena International, Inc.","$13,228,391",Sep/2023,,6,,,2023-12-05,,0.34,
51,$2,N/A,time-not-supplied,OP,OceanPal Inc.,"$8,199,308",Sep/2023,,6,,,2023-12-05,,2,
