,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$32.55,4.97,time-not-supplied,AZO,"AutoZone, Inc.","$46,555,134,568",Nov/2023,$31.01,11,,,2023-12-05,,32.55,31.01
1,$2.65,1.53,time-not-supplied,FERG,Ferguson plc,"$36,422,307,222",Oct/2023,$2.61,5,,,2023-12-05,,2.65,2.61
4,$2.59,4.86,time-not-supplied,SJM,J.M. Smucker Company (The),"$12,849,769,396",Oct/2023,$2.47,8,,,2023-12-05,,2.59,2.47
5,$4.11,12.3,time-not-supplied,TOL,"Toll Brothers, Inc.","$9,797,785,640",Oct/2023,$3.66,8,,,2023-12-05,,4.11,3.66
6,$0.65,-4.41,time-not-supplied,CNM,"Core & Main, Inc.","$7,870,578,861",Oct/2023,$0.68,3,,,2023-12-05,,0.65,0.68
7,$0.31,-3.12,time-not-supplied,DSGX,The Descartes Systems Group Inc.,"$7,061,422,458",Oct/2023,$0.32,1,,,2023-12-05,,0.31,0.32
9,$0.40,25,time-not-supplied,HQY,"HealthEquity, Inc.","$5,810,453,471",Oct/2023,$0.32,6,,,2023-12-05,,0.40,0.32
10,$0.24,60,time-not-supplied,SIG,Signet Jewelers Limited,"$4,315,171,800",Oct/2023,$0.15,2,,,2023-12-05,,0.24,0.15
12,$0.02,N/A,time-not-supplied,BOX,"Box, Inc.","$3,476,347,140",Oct/2023,$0.02,7,,,2023-12-05,,0.02,0.02
13,$0.97,44.78,time-not-supplied,AVAV,"AeroVironment, Inc.","$3,258,174,229",Oct/2023,$0.67,3,,,2023-12-05,,0.97,0.67
14,$0.01,104.55,time-not-supplied,PLAY,"Dave & Buster's Entertainment, Inc.","$1,836,643,149",Oct/2023,($0.22),6,,,2023-12-05,,0.01,-0.22
15,$2.78,33.65,time-not-supplied,GIII,"G-III Apparel Group, LTD.","$1,375,030,796",Oct/2023,$2.08,4,,,2023-12-05,,2.78,2.08
16,$1.95,57.26,time-not-supplied,POWL,"Powell Industries, Inc.","$1,023,599,311",Sep/2023,$1.24,1,,,2023-12-05,,1.95,1.24
18,$15.57,N/A,time-not-supplied,HOV,Hovnanian Enterprises Inc,"$792,256,422",Oct/2023,,N/A,,,2023-12-05,,15.57,
19,$0,100,time-not-supplied,YEXT,"Yext, Inc.","$666,272,643",Oct/2023,($0.03),2,,,2023-12-05,,0,-0.03
21,$0.24,-45.45,time-not-supplied,DBI,Designer Brands Inc.,"$498,069,124",Oct/2023,$0.44,3,,,2023-12-05,,0.24,0.44
24,$0.28,N/A,time-not-supplied,DAKT,"Daktronics, Inc.","$389,760,601",Oct/2023,,N/A,,,2023-12-05,,0.28,
25,$0.78,N/A,time-not-supplied,VLGEA,"Village Super Market, Inc.","$372,705,077",Oct/2023,,N/A,,,2023-12-05,,0.78,
26,$0.78,25.81,time-not-supplied,JILL,"J. Jill, Inc.","$275,988,411",Oct/2023,$0.62,2,,,2023-12-05,,0.78,0.62
28,$0.01,N/A,time-not-supplied,OOMA,"Ooma, Inc.","$258,048,000",Oct/2023,$0.01,6,,,2023-12-05,,0.01,0.01
32,$0.41,N/A,time-not-supplied,HG,"Hamilton Insurance Group, Ltd.",,Sep/2023,,N/A,,,2023-12-05,,0.41,
