,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$0.98,3.16,time-not-supplied,BJ,"BJ's Wholesale Club Holdings, Inc.","$8,748,460,183",Oct/2023,$0.95,11,,,2023-11-17,,0.98,0.95
1,$3.63,-1.89,time-not-supplied,ATKR,Atkore Inc.,"$4,963,306,901",Sep/2023,$3.70,1,,,2023-11-17,,3.63,3.70
2,$1.36,19.3,time-not-supplied,SPB,"Spectrum Brands Holdings, Inc.","$2,535,115,189",Sep/2023,$1.14,4,,,2023-11-17,,1.36,1.14
3,$1.04,N/A,time-not-supplied,BKE,"Buckle, Inc. (The)","$2,013,801,365",Oct/2023,,N/A,,,2023-11-17,,1.04,
5,$0.58,N/A,time-not-supplied,QIWI,QIWI plc,"$355,582,568",Sep/2023,,N/A,,,2023-11-17,,0.58,
6,$0.07,N/A,time-not-supplied,DXLG,"Destination XL Group, Inc.","$231,701,008",Oct/2023,,N/A,,,2023-11-17,,0.07,
7,$4.13,N/A,time-not-supplied,PNRG,PrimeEnergy Resources Corporation,"$197,623,524",Sep/2023,,N/A,,,2023-11-17,,4.13,
10,$0.06,-14.29,time-not-supplied,CINT,CI&T Inc,"$103,444,600",Sep/2023,$0.07,2,,,2023-11-17,,0.06,0.07
13,$0,N/A,time-not-supplied,NRT,North European Oil Royality Trust,"$68,286,083",Oct/2023,,N/A,,,2023-11-17,,0,
15,$0.06,N/A,time-not-supplied,HUIZ,Huize Holding Limited,"$47,600,483",Sep/2023,,N/A,,,2023-11-17,,0.06,
16,$0.13,N/A,time-not-supplied,COCH,"Envoy Medical, Inc.","$36,167,466",Sep/2023,,N/A,,,2023-11-17,,0.13,
20,$0.05,N/A,time-not-supplied,MCVT,"Mill City Ventures III, Ltd.","$18,517,239",Sep/2023,,N/A,,,2023-11-17,,0.05,
