,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry_x,declare_date,epsFix,epsForecastFix,exOrEffDate,type,dividend_y,declarationDate,recordDate,paymentDate,currency,dividend_yield_Rate_y,price,industry_y,dividend,lastYearRptDt,lastYearEPS
248,,,time-not-supplied,QMCO,Quantum Corporation,"$24,710,558",Sep/2023,($0.08),3,,2023-12-13,0,-0.08,,,,,,,,,,,,11/02/2022,($0.03)
249,,,time-after-hours,OPTT,"Ocean Power Technologies, Inc.","$20,205,290",Oct/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($0.09)
250,,,time-not-supplied,SLNA,Selina Hospitality PLC,"$20,192,324",Sep/2023,($0.30),5,,2023-12-13,0,-0.30,,,,,,,,,,,,N/A,N/A
251,,,time-not-supplied,PMCB,"PharmaCyte  Biotech, Inc.","$19,750,727",Oct/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($0.09)
252,,,time-not-supplied,VIAO,VIA optronics AG,"$18,618,300",Sep/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,$0.05
253,,,time-not-supplied,STRM,"Streamline Health Solutions, Inc.","$18,257,472",Oct/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($0.07)
254,,,time-not-supplied,LMDX,LumiraDx Limited,"$16,530,773",Sep/2023,,N/A,,2023-12-13,0,,,,,,,,,,,,,11/09/2022,($0.47)
255,,,time-not-supplied,AAMC,Altisource Asset Management Corp,"$14,401,138",Sep/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($1.32)
256,,,time-not-supplied,BNRG,Brenmiller Energy Ltd,"$12,712,587",Sep/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($1.80)
257,,,time-not-supplied,STKH,Steakholder Foods Ltd.,"$8,899,633",Sep/2023,($0.02),1,,2023-12-13,0,-0.02,,,,,,,,,,,,11/23/2022,($0.17)
258,,,time-after-hours,MIND,"MIND Technology, Inc.","$7,377,113",Oct/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($3.10)
259,,,time-not-supplied,AGFY,Agrify Corporation,"$2,460,408",Sep/2023,,5,,2023-12-13,0,,,,,,,,,,,,,N/A,($99.99)
260,,,time-after-hours,COST,Costco Wholesale Corporation,"$270,492,352,463",Nov/2023,$3.44,15,,2023-12-14,0,3.44,11/02/2023,Cash,$1.02,10/18/2023,11/03/2023,11/17/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,12/08/2022,$3.10
261,,,time-after-hours,LEN,Lennar Corporation,"$39,090,267,965",Nov/2023,$4.64,8,,2023-12-14,0,4.64,10/11/2023,Cash,$0.375,09/27/2023,10/12/2023,10/26/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,12/14/2022,$5.02
262,,,time-after-hours,LEN.B,Lennar Corporation,"$35,700,757,569",Nov/2023,,N/A,,2023-12-14,0,,10/11/2023,Cash,$0.375,09/27/2023,10/12/2023,10/26/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,N/A,$5.02
263,,,time-pre-market,JBL,Jabil Inc.,"$14,895,364,350",Nov/2023,$2.30,3,,2023-12-14,0,2.30,11/14/2023,Cash,$0.08,10/19/2023,11/15/2023,12/04/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,12/15/2022,$1.61
264,,,time-not-supplied,AEG,Aegon Ltd.,"$14,818,394,804",Sep/2023,,N/A,,2023-12-14,0,,08/29/2023,Cash,$0.152754,08/17/2023,08/30/2023,09/27/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,11/10/2022,($0.10)
265,,,time-not-supplied,MANU,Manchester United Ltd.,"$3,189,462,677",Sep/2023,($0.09),2,,2023-12-14,0,-0.09,06/03/2022,Cash,$0.09,05/26/2022,06/06/2022,06/24/2022,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,12/08/2022,($0.07)
266,,,time-not-supplied,MDRX,Veradigm Inc.,"$1,375,580,579",Sep/2023,$0.17,3,,2023-12-14,0,0.17,,,,,,,,,,,,11/03/2022,$0.20
267,,,time-not-supplied,AZUL,Azul S.A.,"$1,148,950,796",Sep/2023,($0.38),3,,2023-12-14,0,-0.38,,,,,,,,,,,,11/10/2022,($0.72)
268,,,time-after-hours,NX,Quanex Building Products Corporation,"$1,060,510,573",Oct/2023,,N/A,,2023-12-14,0,,09/14/2023,Cash,$0.08,08/24/2023,09/15/2023,09/29/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,N/A,$0.75
269,,,time-not-supplied,ALDX,"Aldeyra Therapeutics, Inc.","$190,583,548",Sep/2023,($0.24),4,,2023-12-14,0,-0.24,,,,,,,,,,,,11/10/2022,($0.25)
270,,,time-pre-market,KNOP,KNOT Offshore Partners LP,"$187,275,000",Sep/2023,($0.11),1,,2023-12-14,0,-0.11,10/25/2023,Cash,$0.026,10/12/2023,10/26/2023,11/09/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,11/29/2022,$0.47
271,,,time-not-supplied,IH,iHuman Inc.,"$138,972,849",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,N/A,$0.10
272,,,time-not-supplied,RNAC,"Cartesian Therapeutics, Inc.","$125,203,213",Sep/2023,($0.10),1,,2023-12-14,0,-0.10,,,,,,,,,,,,11/03/2022,($0.01)
273,,,time-not-supplied,WILC,"G. Willi-Food International,  Ltd.","$124,109,802",Sep/2023,,N/A,,2023-12-14,0,,09/14/2023,Cash,$0.19,08/30/2023,09/15/2023,09/26/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,N/A,$0.16
274,,,time-not-supplied,NA,Nano Labs Ltd,"$53,936,518",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,N/A,$0.07
275,,,time-after-hours,MESA,"Mesa Air Group, Inc.","$50,629,936",Sep/2023,($0.15),1,,2023-12-14,0,-0.15,,,,,,,,,,,,12/29/2022,($0.37)
276,,,time-not-supplied,MAQC,Maquia Capital Acquisition Corporation,"$43,584,167",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,N/A,$0.11
277,,,time-not-supplied,GROW,"U.S. Global Investors, Inc.","$42,641,818",Sep/2023,,N/A,,2023-12-14,0,,12/08/2023,Cash,$0.0075,09/18/2023,12/11/2023,12/26/2023,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,N/A,$0.01
278,,,time-not-supplied,CELU,Celularity Inc.,"$40,003,645",Sep/2023,($0.03),1,,2023-12-14,0,-0.03,,,,,,,,,,,,11/10/2022,$0.03
279,,,time-not-supplied,HOLO,MicroCloud Hologram Inc.,"$22,103,235",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,N/A,N/A
280,,,time-pre-market,YJ,Yunji Inc.,"$16,550,858",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,N/A,($0.20)
281,,,time-not-supplied,KZIA,Kazia Therapeutics Limited,"$9,802,971",Sep/2023,,N/A,,2023-12-14,0,,01/28/2013,Cash/Stock,$4.0928,N/A,11/19/2012,01/25/2013,USD,N/A,$2.24,Retail-Drug Stores and Proprietary Stores,,N/A,N/A
282,,,time-not-supplied,MINM,"Minim, Inc.","$5,942,204",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,11/10/2022,($2.25)
283,,,time-not-supplied,MDVL,"MedAvail Holdings, Inc. ","$3,615,160",Sep/2023,,N/A,,2023-12-14,0,,,,,,,,,,,,,N/A,($7.50)
