,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$1.45,46.46,time-not-supplied,PDD,PDD Holdings Inc.,"$185,124,874,118",Sep/2023,$0.99,2,,,2023-11-28,,1.45,0.99
1,$1.14,62.86,time-not-supplied,INTU,Intuit Inc.,"$159,980,624,640",Oct/2023,$0.70,10,,,2023-11-28,,1.14,0.70
2,$0.47,46.88,time-not-supplied,WDAY,"Workday, Inc.","$71,635,940,000",Oct/2023,$0.32,8,,,2023-11-28,,0.47,0.32
3,$0.16,77.78,time-not-supplied,CRWD,"CrowdStrike Holdings, Inc.","$57,675,578,537",Oct/2023,$0.09,13,,,2023-11-28,,0.16,0.09
4,$0.93,-21.85,time-not-supplied,BNS,Bank of Nova Scotia (The),"$53,709,325,140",Oct/2023,$1.19,4,,,2023-11-28,,0.93,1.19
5,$0.77,156.67,time-not-supplied,SPLK,Splunk Inc.,"$25,445,185,000",Oct/2023,$0.30,5,,,2023-11-28,,0.77,0.30
6,$0.49,32.43,time-not-supplied,HPE,Hewlett Packard Enterprise Company,"$20,679,779,270",Oct/2023,$0.37,5,,,2023-11-28,,0.49,0.37
7,$1.23,12.84,time-not-supplied,NTAP,"NetApp, Inc.","$18,353,245,666",Oct/2023,$1.09,9,,,2023-11-28,,1.23,1.09
8,$1.65,-3.51,time-not-supplied,ESLT,Elbit Systems Ltd.,"$9,278,463,500",Sep/2023,$1.71,1,,,2023-11-28,,1.65,1.71
9,$0.35,34.62,time-not-supplied,AZEK,The AZEK Company Inc.,"$5,154,709,513",Sep/2023,$0.26,7,,,2023-11-28,,0.35,0.26
10,$0.01,N/A,time-not-supplied,SID,National Steel Company,"$4,521,980,359",Sep/2023,,N/A,,,2023-11-28,,0.01,
11,$0.02,128.57,time-not-supplied,FLNC,"Fluence Energy, Inc.","$3,908,339,968",Sep/2023,($0.07),9,,,2023-11-28,,0.02,-0.07
14,$0.13,-13.33,time-not-supplied,LESL,"Leslie's, Inc.","$1,000,931,828",Sep/2023,$0.15,5,,,2023-11-28,,0.13,0.15
22,$0,N/A,time-not-supplied,LITB,"LightInTheBox Holding Co., Ltd.","$118,948,925",Sep/2023,,N/A,,,2023-11-28,,0,
26,$0.08,N/A,time-not-supplied,JCTCF,Jewett-Cameron Trading Company,"$18,176,780",Aug/2023,,N/A,,,2023-11-28,,0.08,
27,$0.30,N/A,time-not-supplied,ALAR,Alarum Technologies Ltd.,"$15,378,000",Sep/2023,,N/A,,,2023-11-28,,0.30,
28,$0.10,N/A,time-not-supplied,NRSN,NeuroSense Therapeutics Ltd.,"$9,384,840",Sep/2023,,N/A,,,2023-11-28,,0.10,
