,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts
0,($0.18),37.93,time-not-supplied,ZS,"Zscaler, Inc.","$29,143,832,117",Oct/2023,($0.29),10
1,$1.10,64.18,time-not-supplied,SDRL,Seadrill Limited,"$3,539,838,400",Sep/2023,$0.67,1
2,$0.08,N/A,time-not-supplied,TIGR,UP Fintech Holding Limited,"$738,352,849",Sep/2023,,N/A
3,($0.13),13.33,time-not-supplied,CRNC,Cerence Inc.,"$723,164,199",Sep/2023,($0.15),3
4,($0.12),25,time-not-supplied,AVXL,Anavex Life Sciences Corp.,"$621,394,888",Sep/2023,($0.16),2
5,$0.63,N/A,time-not-supplied,ITRN,Ituran Location and Control Ltd.,"$540,556,800",Sep/2023,,N/A
6,$0.35,N/A,time-not-supplied,SUPV,Grupo Supervielle S.A.,"$301,311,139",Sep/2023,$0,1
7,$0.02,N/A,time-not-supplied,EM,Smart Share Global Limited,"$155,483,292",Sep/2023,,N/A
8,($0.06),N/A,time-not-supplied,CANG,Cango Inc.,"$137,487,926",Sep/2023,,N/A
9,($0.52),N/A,time-not-supplied,BEDU,Bright Scholar Education Holdings Limited,"$33,969,770",Aug/2023,,N/A
10,$0.27,N/A,time-not-supplied,PSHG,Performance Shipping Inc.,"$25,949,433",Sep/2023,,N/A
11,($0.44),-46.67,time-not-supplied,CHEK,Check-Cap Ltd.,"$16,555,500",Sep/2023,($0.30),2
12,($0.31),3.12,time-not-supplied,VMAR,Vision Marine Technologies Inc.,"$11,843,168",Aug/2023,($0.32),1
13,($0.41),N/A,time-not-supplied,LCFY,Locafy Limited,"$9,533,572",Sep/2023,,N/A
