,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$2.05,7.89,time-not-supplied,RY,Royal Bank Of Canada,"$128,583,712,923",Oct/2023,$1.90,3,,,2023-11-30,,2.05,1.90
1,$1.35,-1.46,time-not-supplied,TD,Toronto Dominion Bank (The),"$106,278,045,000",Oct/2023,$1.37,4,,,2023-11-30,,1.35,1.37
2,$1.62,31.71,time-not-supplied,DELL,Dell Technologies Inc.,"$49,619,833,443",Oct/2023,$1.23,5,,,2023-11-30,,1.62,1.23
3,$0.24,N/A,time-not-supplied,MRVL,"Marvell Technology, Inc.","$45,118,255,000",Oct/2023,$0.24,13,,,2023-11-30,,0.24,0.24
4,$1.16,2.65,time-not-supplied,CM,Canadian Imperial Bank of Commerce,"$39,709,165,169",Oct/2023,$1.13,4,,,2023-11-30,,1.16,1.13
5,$0.95,5.56,time-not-supplied,KR,Kroger Company (The),"$32,225,346,854",Oct/2023,$0.90,8,,,2023-11-30,,0.95,0.90
6,$5.07,2.22,time-not-supplied,ULTA,"Ulta Beauty, Inc.","$23,787,859,102",Oct/2023,$4.96,14,,,2023-11-30,,5.07,4.96
10,$0.40,N/A,time-not-supplied,KT,KT Corporation,"$6,728,801,577",Sep/2023,,N/A,,,2023-11-30,,0.40,
11,$2.25,2.74,time-not-supplied,DOOO,BRP Inc.,"$4,640,881,215",Oct/2023,$2.19,4,,,2023-11-30,,2.25,2.19
12,$0.36,-21.74,time-not-supplied,FRO,Frontline Plc,"$4,292,113,600",Sep/2023,$0.46,2,,,2023-11-30,,0.36,0.46
13,$1.29,-17.83,time-not-supplied,ASO,"Academy Sports and Outdoors, Inc.","$4,119,109,381",Oct/2023,$1.57,7,,,2023-11-30,,1.29,1.57
16,$0.51,-34.62,time-not-supplied,CBRL,"Cracker Barrel Old Country Store, Inc.","$1,640,810,883",Oct/2023,$0.78,4,,,2023-11-30,,0.51,0.78
17,$2.36,28.26,time-not-supplied,AMWD,American Woodmark Corporation,"$1,374,904,684",Oct/2023,$1.84,2,,,2023-11-30,,2.36,1.84
18,$0.11,10,time-not-supplied,CHS,"Chico's FAS, Inc.","$932,103,098",Oct/2023,$0.10,2,,,2023-11-30,,0.11,0.10
19,$1.49,88.61,time-not-supplied,REX,REX American Resources Corporation,"$721,329,331",Oct/2023,$0.79,1,,,2023-11-30,,1.49,0.79
20,$0.78,N/A,time-not-supplied,MOV,Movado Group Inc.,"$618,461,108",Oct/2023,,N/A,,,2023-11-30,,0.78,
21,$1.32,-12.58,time-not-supplied,TITN,Titan Machinery Inc.,"$595,604,881",Oct/2023,$1.51,3,,,2023-11-30,,1.32,1.51
22,$0.59,55.26,time-not-supplied,GCT,GigaCloud Technology Inc,"$419,910,400",Sep/2023,$0.38,1,,,2023-11-30,,0.59,0.38
24,$0.53,3.92,time-not-supplied,BBW,"Build-A-Bear Workshop, Inc.","$341,056,041",Oct/2023,$0.51,3,,,2023-11-30,,0.53,0.51
30,$0.19,46.15,time-not-supplied,AOUT,"American Outdoor Brands, Inc.","$100,905,987",Oct/2023,$0.13,2,,,2023-11-30,,0.19,0.13
35,$0.05,N/A,time-not-supplied,BOSC,B.O.S. Better Online Solutions,"$15,219,000",Sep/2023,,N/A,,,2023-11-30,,0.05,
