,lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,12/08/2022,$9.75,time-after-hours,AVGO,Broadcom Inc.,"$381,355,223,630",Oct/2023,$9.71,11,,,2023-12-07,,0,9.71
1,12/08/2022,$2,time-after-hours,LULU,lululemon athletica inc.,"$55,947,913,395",Oct/2023,$2.27,16,,,2023-12-07,,0,2.27
2,12/01/2022,$2.33,time-pre-market,DG,Dollar General Corporation,"$29,561,289,380",Oct/2023,$1.19,21,,,2023-12-07,,0,1.19
3,12/08/2022,$2.75,time-after-hours,COO,"The Cooper Companies, Inc. ","$16,755,010,089",Oct/2023,$3.47,9,,,2023-12-07,,0,3.47
4,11/10/2022,($0.10),time-not-supplied,AEG,Aegon Ltd.,"$14,605,944,699",Sep/2023,,N/A,,,2023-12-07,,0,
5,12/08/2022,$0.05,time-after-hours,DOCU,"DocuSign, Inc.","$9,323,049,116",Oct/2023,$0.07,8,,,2023-12-07,,0,0.07
6,12/08/2022,($3.40),time-after-hours,MTN,"Vail Resorts, Inc.","$8,454,316,013",Oct/2023,($4.54),8,,,2023-12-07,,0,-4.54
7,12/06/2022,($0.54),time-after-hours,GWRE,"Guidewire Software, Inc.","$8,273,562,744",Oct/2023,($0.50),4,,,2023-12-07,,0,-0.50
8,12/08/2022,$0.49,time-pre-market,CIEN,Ciena Corporation,"$6,911,630,096",Oct/2023,$0.50,7,,,2023-12-07,,0,0.50
9,12/01/2022,($0.30),time-after-hours,SMAR,Smartsheet Inc.,"$6,010,705,342",Oct/2023,($0.29),7,,,2023-12-07,,0,-0.29
10,12/08/2022,$5.67,time-after-hours,RH,RH,"$5,237,982,656",Oct/2023,$0.93,10,,,2023-12-07,,0,0.93
11,12/07/2022,($0.38),time-after-hours,HCP,"HashiCorp, Inc.","$4,682,388,921",Oct/2023,($0.28),8,,,2023-12-07,,0,-0.28
12,12/08/2022,$2.79,time-pre-market,GMS,GMS Inc.,"$2,854,097,697",Oct/2023,$2.24,3,,,2023-12-07,,0,2.24
13,11/03/2022,$0.20,time-not-supplied,MDRX,Veradigm Inc.,"$1,337,339,658",Sep/2023,$0.17,3,,,2023-12-07,,0,0.17
14,11/10/2022,($0.72),time-not-supplied,AZUL,Azul S.A.,"$1,163,494,477",Sep/2023,($0.38),3,,,2023-12-07,,0,-0.38
15,12/01/2022,$0.75,time-pre-market,MEI,"Methode Electronics, Inc.","$909,240,683",Oct/2023,$0.09,1,,,2023-12-07,,0,0.09
16,12/14/2022,($0.15),time-after-hours,PL,Planet Labs PBC,"$722,719,278",Oct/2023,($0.15),3,,,2023-12-07,,0,-0.15
17,12/08/2022,$0.19,time-pre-market,LQDT,"Liquidity Services, Inc.","$607,991,641",Sep/2023,,N/A,,,2023-12-07,,0,
18,12/01/2022,($0.27),time-not-supplied,ARCE,Arco Platform Limited,"$539,034,700",Sep/2023,($0.17),1,,,2023-12-07,,0,-0.17
19,12/01/2022,($0.25),time-pre-market,SCWX,SecureWorks Corp.,"$508,788,329",Oct/2023,($0.18),1,,,2023-12-07,,0,-0.18
20,N/A,$0.07,time-pre-market,WDH,Waterdrop Inc.,"$457,463,642",Sep/2023,,N/A,,,2023-12-07,,0,
21,12/08/2022,$0.07,time-after-hours,CURV,Torrid Holdings Inc.,"$429,815,138",Oct/2023,($0.05),5,,,2023-12-07,,0,-0.05
22,12/06/2022,($0.04),time-after-hours,CDMO,"Avid Bioservices, Inc.","$342,703,231",Oct/2023,($0.09),1,,,2023-12-07,,0,-0.09
