,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,industry,dividend_yield_Rate,declare_date,dividend,epsFix,epsForecastFix
0,$1.45,46.46,time-not-supplied,PDD,PDD Holdings Inc.,"$188,476,625,350",Sep/2023,$0.99,2,,,2023-11-28,,1.45,0.99
1,$1.14,62.86,time-not-supplied,INTU,Intuit Inc.,"$159,695,089,920",Oct/2023,$0.70,10,,,2023-11-28,,1.14,0.70
2,$0.47,46.88,time-not-supplied,WDAY,"Workday, Inc.","$70,804,860,000",Oct/2023,$0.32,8,,,2023-11-28,,0.47,0.32
3,$0.16,77.78,time-not-supplied,CRWD,"CrowdStrike Holdings, Inc.","$57,007,975,971",Oct/2023,$0.09,13,,,2023-11-28,,0.16,0.09
4,$0.93,-21.85,time-not-supplied,BNS,Bank of Nova Scotia (The),"$54,474,173,125",Oct/2023,$1.19,4,,,2023-11-28,,0.93,1.19
5,$0.77,156.67,time-not-supplied,SPLK,Splunk Inc.,"$25,438,445,000",Oct/2023,$0.30,5,,,2023-11-28,,0.77,0.30
6,$0.49,32.43,time-not-supplied,HPE,Hewlett Packard Enterprise Company,"$21,667,585,103",Oct/2023,$0.37,5,,,2023-11-28,,0.49,0.37
7,$1.23,12.84,time-not-supplied,NTAP,"NetApp, Inc.","$18,606,663,854",Oct/2023,$1.09,9,,,2023-11-28,,1.23,1.09
8,$1.65,-3.51,time-not-supplied,ESLT,Elbit Systems Ltd.,"$9,212,825,500",Sep/2023,$1.71,1,,,2023-11-28,,1.65,1.71
9,$0.35,34.62,time-not-supplied,AZEK,The AZEK Company Inc.,"$5,209,358,296",Sep/2023,$0.26,7,,,2023-11-28,,0.35,0.26
10,$0.02,128.57,time-not-supplied,FLNC,"Fluence Energy, Inc.","$4,792,475,136",Sep/2023,($0.07),9,,,2023-11-28,,0.02,-0.07
11,$0.01,N/A,time-not-supplied,SID,National Steel Company,"$4,601,545,996",Sep/2023,,N/A,,,2023-11-28,,0.01,
14,$0.13,-13.33,time-not-supplied,LESL,"Leslie's, Inc.","$1,054,388,592",Sep/2023,$0.15,5,,,2023-11-28,,0.13,0.15
22,$0,N/A,time-not-supplied,LITB,"LightInTheBox Holding Co., Ltd.","$135,941,629",Sep/2023,,N/A,,,2023-11-28,,0,
26,$0.10,N/A,time-not-supplied,NRSN,NeuroSense Therapeutics Ltd.,"$17,567,100",Sep/2023,,N/A,,,2023-11-28,,0.10,
27,$0.08,N/A,time-not-supplied,JCTCF,Jewett-Cameron Trading Company,"$17,109,616",Aug/2023,,N/A,,,2023-11-28,,0.08,
28,$0.30,N/A,time-not-supplied,ALAR,Alarum Technologies Ltd.,"$16,401,000",Sep/2023,,N/A,,,2023-11-28,,0.30,
