,eps,surprise,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts
0,($0.18),37.93,time-not-supplied,GTLB,GitLab Inc.,"$8,188,271,000",Oct/2023,($0.29),3
1,$2.27,36.75,time-not-supplied,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,"$6,348,007,651",Oct/2023,$1.66,7
2,$0.30,N/A,time-not-supplied,IDT,IDT Corporation,"$738,492,079",Oct/2023,,N/A
3,($0.51),N/A,time-not-supplied,VERU,Veru Inc.,"$88,474,830",Sep/2023,($0.20),3
4,($0.19),5,time-not-supplied,CULP,"Culp, Inc.","$61,788,436",Oct/2023,($0.20),1
5,($0.20),9.09,time-not-supplied,JOAN,"JOANN, Inc.","$37,296,135",Oct/2023,($0.22),2
6,($0.26),N/A,time-pre-market,HTOO,Fusion Fuel Green PLC,"$17,871,900",Sep/2023,($0.24),1
