,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
58,GECC,20231227222945,$10.7635,12/28/2023,13.01%,,12/12/2023,1.4,Finance: Consumer Services,,
59,HTLFP,20231227222947,$25.25,12/28/2023,6.93%,,12/27/2023,1.75,Major Banks,,
60,CUBA,20231227222948,$2.75,12/28/2023,25.25%,,12/19/2023,0.6945,Investment Managers,,
61,HST,20231227222950,$20.11,12/28/2023,3.58%,,12/27/2023,0.72,Real Estate Investment Trusts,,
62,HOVNP,20231227222951,$18.50,12/28/2023,10.3%,,12/13/2023,1.906252,Homebuilding,,
63,HUM,20231227222953,$452.83,12/28/2023,0.78%,,10/31/2023,3.54,Medical Specialities,,
64,HBANP,20231227222954,$18.26,12/28/2023,6.16%,,10/18/2023,1.125,Major Banks,,
65,HBANL,20231227222956,$24.93,12/28/2023,6.9%,,10/18/2023,1.719,Major Banks,,
66,ITW,20231227222957,$263.73,12/28/2023,2.12%,,10/26/2023,5.6,Industrial Machinery/Components,,
67,KW,20231227222959,$12.58,12/28/2023,7.64%,,11/01/2023,0.96,Real Estate,,
68,LECO,20231227223000,$219.84,12/28/2023,1.16%,,10/17/2023,2.56,Industrial Machinery/Components,,
69,LXP,20231227223002,$10.00,12/28/2023,4.96%,,10/31/2023,0.5,Real Estate Investment Trusts,,
70,LOAN,20231227223003,$4.88,12/28/2023,9.22%,,11/27/2023,0.45,Real Estate Investment Trusts,,
71,MDV,20231227223005,$14.83,12/28/2023,7.79%,,10/17/2023,1.15,Transportation Services,,
72,MDLZ,20231227223006,$71.71,12/28/2023,2.37%,,12/08/2023,1.7,Packaged Foods,,
73,MPWR,20231227223008,$637.04,12/28/2023,0.63%,,12/15/2023,4.0,Semiconductors,,
74,NRC,20231227223009,$39.56,12/28/2023,1.21%,,11/17/2023,0.48,Biotechnology: Commercial Physical & Biological Resarch,,
75,NYMTL,20231227223010,$19.83,12/28/2023,8.67%,,12/14/2023,1.71875,Real Estate Investment Trusts,,
76,NYMTZ,20231227223012,$17.82,12/28/2023,9.82%,,12/14/2023,1.75,Real Estate Investment Trusts,,
77,NYMTM,20231227223013,$23.605,12/28/2023,8.34%,,12/14/2023,1.96875,Real Estate Investment Trusts,,
78,NYMTN,20231227223015,$21.80,12/28/2023,9.17%,,12/14/2023,2.0,Real Estate Investment Trusts,,
79,NEWT,20231227223016,$14.83,12/28/2023,4.86%,,12/11/2023,0.72,Major Banks,,
80,NTR,20231227223018,$57.37,12/28/2023,3.69%,,11/01/2023,2.12,Agricultural Chemicals,,
81,OFG,20231227223019,$38.29,12/28/2023,2.32%,,10/25/2023,0.88,Major Banks,,
82,PK,20231227223021,$17.20,12/28/2023,3.47%,,10/27/2023,0.6,Hotels/Resorts,,
83,SQFTP,20231227223022,$16.05,12/28/2023,14.6%,,10/25/2023,2.34372,Real Estate Investment Trusts,,
84,RRX,20231227223024,$151.84,12/28/2023,0.92%,,10/27/2023,1.4,N/A,,
85,RZC,20231227223025,$26.17,12/28/2023,6.8%,,12/27/2023,1.7812,Life Insurance,,
86,REXR,20231227223027,$56.69,12/28/2023,2.67%,,10/16/2023,1.52,Real Estate Investment Trusts,,
87,SRG^A,20231227223029,$24.3498,12/28/2023,7.19%,,10/30/2023,1.75,N/A,,
88,STAG,20231227223030,$39.09,12/28/2023,3.74%,,10/11/2023,1.47,Real Estate Investment Trusts,,
89,STLD,20231227223031,$121.25,12/28/2023,1.4%,,11/03/2023,1.7,Steel/Iron Ore,,
90,SFB,20231227223033,$20.86,12/28/2023,6.25%,,12/27/2023,1.3,Investment Bankers/Brokers/Service,,
91,KTN,20231227223034,$27.5301,12/28/2023,7.5%,,12/27/2023,2.0512,Finance: Consumer Services,,
92,TFII,20231227223036,$133.63,12/28/2023,1.02%,,10/23/2023,1.6,Trucking Freight/Courier Services,,
93,ENSG,20231227223037,$114.19,12/28/2023,0.2%,,12/15/2023,0.23,Hospital/Nursing Management,,
94,TOWN,20231227223039,$30.78,12/28/2023,3.25%,,11/29/2023,1.0,Major Banks,,
95,TRIN,20231227223040,$15.28,12/28/2023,14.14%,,12/14/2023,2.16,Finance/Investors Services,,
96,VMI,20231227223041,$234.93,12/28/2023,1.02%,,10/31/2023,2.4,Metal Fabrications,,
97,VIASP,20231227223043,$21.70,12/28/2023,13.99%,,10/18/2023,3.03688,Power Generation,,
98,VOXR,20231227223044,$2.03,12/28/2023,2.17%,,11/08/2023,0.044,Precious Metals,,
99,WAFDP,20231227223046,$15.37,12/28/2023,7.93%,,11/14/2023,1.21875,Major Banks,,
100,WBS^G,20231227223047,$22.42,12/28/2023,7.11%,,10/24/2023,1.625,N/A,,
101,WTW,20231227223049,$239.09,12/28/2023,1.41%,,12/04/2023,3.36,Specialty Insurers,,
102,WTFCP,20231227223139,$24.92,12/28/2023,6.9%,,10/26/2023,1.71876,Major Banks,,
103,WTFCM,20231227223141,$22.80,12/28/2023,7.19%,,10/26/2023,1.64,Major Banks,,
104,XRX,20231227223142,$18.81,12/28/2023,5.32%,,10/19/2023,1.0,Computer peripheral equipment,,
105,YORW,20231227223143,$39.51,12/28/2023,2.05%,,11/20/2023,0.8108,Water Supply,,
106,FAX,20231227223145,$2.82,12/28/2023,11.79%,,12/11/2023,0.33,Investment Managers,,
107,AEF,20231227223146,$5.09,12/28/2023,7.81%,,12/11/2023,0.36,Finance/Investors Services,,
108,NHC,20231227223148,$96.69,12/28/2023,2.44%,,11/02/2023,2.36,Hospital/Nursing Management,,
109,FCO,20231227223149,$6.63,12/28/2023,12.69%,,12/11/2023,0.84,Investment Managers,,
110,VFL,20231227223151,$10.20,12/28/2023,3.81%,,12/11/2023,0.39,Finance/Investors Services,,
111,NBH,20231227223152,$10.35,12/28/2023,4.37%,,12/15/2023,0.4529,Finance/Investors Services,,
112,UTG,20231227223153,$26.62,12/28/2023,8.5%,,12/15/2023,2.28,Investment Managers,,
113,HNW,20231227223155,$10.845,12/28/2023,9.91%,,12/18/2023,1.08,Finance/Investors Services,,
114,SACH,20231227223156,$3.83,12/28/2023,11.58%,,12/14/2023,0.44,Real Estate Investment Trusts,,
115,BHM,20231227223158,$15.70,12/28/2023,N/A,,12/19/2023,0.0,Real Estate Investment Trusts,,
116,WFG,20231227223159,$86.76,12/28/2023,1.39%,,12/12/2023,1.2,N/A,,
117,TFII,20231227223200,$133.63,12/28/2023,1.02%,,10/23/2023,1.6,Trucking Freight/Courier Services,,
118,AQN,20231227223202,$6.53,12/28/2023,6.72%,,11/10/2023,0.434,Electric Utilities: Central,,
119,CTS,20231227223203,$43.40,12/28/2023,0.36%,,11/03/2023,0.16,Industrial Machinery/Components,,
120,DE,20231227223205,$401.27,12/28/2023,1.34%,,12/06/2023,5.88,Industrial Machinery/Components,,
121,NFG,20231227223206,$50.70,12/28/2023,3.94%,,12/07/2023,1.98,Oil/Gas Transmission,,
122,NUE,20231227223208,$178.25,12/28/2023,1.15%,,12/14/2023,2.16,Steel/Iron Ore,,
123,PCG,20231227223209,$17.87,12/28/2023,N/A,,11/28/2023,0.04,Power Generation,,
124,EIX,20231227223211,$71.64,12/28/2023,4.1%,,12/14/2023,3.12,Electric Utilities: Central,,
125,DDS,20231227223212,$402.42,12/28/2023,0.26%,,11/16/2023,1.0,Department/Specialty Retail Stores,,
126,EGP,20231227223213,$184.62,12/28/2023,2.74%,,12/08/2023,5.08,Real Estate Investment Trusts,,
127,MCI,20231227223215,$17.88,12/28/2023,8.07%,,12/14/2023,1.52,"Trusts, Except Educational, Religious, and Charitable",,
128,MKC,20231227223216,$68.16,12/28/2023,2.29%,,11/28/2023,1.68,Packaged Foods,,
129,VMI,20231227223218,$234.93,12/28/2023,1.02%,,10/31/2023,2.4,Metal Fabrications,,
130,USB,20231227223219,$44.07,12/28/2023,4.37%,,12/12/2023,1.96,Major Banks,,
131,ITW,20231227223221,$263.73,12/28/2023,2.12%,,10/26/2023,5.6,Industrial Machinery/Components,,
132,RRX,20231227223222,$151.84,12/28/2023,0.92%,,10/27/2023,1.4,N/A,,
133,DHR,20231227223224,$231.40,12/28/2023,0.46%,,12/05/2023,0.96,Industrial Machinery/Components,,
134,SYK,20231227223225,$299.07,12/28/2023,1%,,12/05/2023,3.2,Medical/Dental Instruments,,
135,MTR,20231227223227,$12.58,12/28/2023,5.95%,,12/19/2023,0.37,Oil & Gas Production,,
136,PBT,20231227223228,$14.80,12/28/2023,13.38%,,12/18/2023,1.2748,Oil & Gas Production,,
137,SJT,20231227223230,$5.11,12/28/2023,4.03%,,12/18/2023,0.1479,Oil & Gas Production,,
138,BXMT,20231227223231,$22.98,12/28/2023,10.9%,,12/15/2023,2.48,Real Estate Investment Trusts,,
139,GHI,20231227223233,$17.37,12/28/2023,N/A,,12/13/2023,1.48,Finance: Consumer Services,,
140,GHI,20231227223234,$17.37,12/28/2023,N/A,,12/13/2023,1.48,Finance: Consumer Services,,
141,FMC,20231227223235,$63.74,12/28/2023,3.65%,,12/15/2023,2.32,Major Chemicals,,
142,EEA,20231227223237,$8.77,12/28/2023,0.74%,,12/19/2023,0.2788,"Trusts, Except Educational, Religious, and Charitable",,
143,TSI,20231227223238,$4.835,12/28/2023,4.95%,,12/15/2023,0.24,Investment Managers,,
144,TSI,20231227223240,$4.835,12/28/2023,4.95%,,12/15/2023,0.24,Investment Managers,,
145,AVD,20231227223241,$11.25,12/28/2023,1.07%,,12/15/2023,0.12,Agricultural Chemicals,,
146,OFG,20231227223243,$38.29,12/28/2023,2.32%,,10/25/2023,0.88,Major Banks,,
147,HYB,20231227223244,$7.09,12/28/2023,6.72%,,12/18/2023,0.48,Investment Managers,,
148,MPV,20231227223246,$15.03,12/28/2023,8.91%,,12/14/2023,1.4,Finance Companies,,
149,GF,20231227223247,$8.76,12/28/2023,0.31%,,12/19/2023,0.1132,Investment Managers,,
150,CEE,20231227223248,$9.88,12/28/2023,2.42%,,12/19/2023,0.3651,Finance Companies,,
151,GVA,20231227223250,$51.98,12/28/2023,1%,,12/13/2023,0.52,Military/Government/Technical,,
152,BHE,20231227223251,$28.47,12/28/2023,2.33%,,12/13/2023,0.66,Electrical Products,,
153,NHI,20231227223342,$56.94,12/28/2023,6.27%,,11/07/2023,3.6,Real Estate Investment Trusts,,
154,TTE,20231227223343,$68.95,12/28/2023,4.66%,,11/28/2023,3.2369,Oil & Gas Production,,
155,CDP,20231227223345,$25.65,12/28/2023,4.46%,,11/09/2023,1.14,Real Estate Investment Trusts,,
156,CRT,20231227223346,$18.27,12/28/2023,9.9%,,12/18/2023,1.7148,Oil & Gas Production,,
157,ELS,20231227223348,$70.96,12/28/2023,2.51%,,10/24/2023,1.79,Real Estate Investment Trusts,,
158,HUM,20231227223349,$452.83,12/28/2023,0.78%,,10/31/2023,3.54,Medical Specialities,,
159,AKR,20231227223351,$17.22,12/28/2023,4.16%,,11/02/2023,0.72,Real Estate Investment Trusts,,
160,LXP,20231227223352,$10.00,12/28/2023,4.96%,,10/31/2023,0.52,Real Estate Investment Trusts,,
161,SUI,20231227223354,$133.43,12/28/2023,2.76%,,12/01/2023,3.72,Real Estate Investment Trusts,,
162,RYN,20231227223355,$33.28,12/28/2023,3.41%,,12/18/2023,1.14,Real Estate Investment Trusts,,
163,AVB,20231227223357,$188.23,12/28/2023,3.48%,,11/16/2023,6.6,Real Estate Investment Trusts,,
164,ADC,20231227223358,$63.04,12/28/2023,4.71%,,12/12/2023,2.964,Real Estate Investment Trusts,,
165,FR,20231227223400,$52.96,12/28/2023,2.39%,,11/01/2023,1.28,Real Estate Investment Trusts,,
166,VRE,20231227223401,$15.91,12/28/2023,0.3%,,12/18/2023,0.21,Real Estate Investment Trusts,,
167,KRC,20231227223403,$41.40,12/28/2023,5.3%,,12/06/2023,2.16,Real Estate Investment Trusts,,
168,ARE,20231227223404,$129.11,12/28/2023,3.84%,,12/04/2023,5.08,Real Estate Investment Trusts,,
169,RL,20231227223405,$145.95,12/28/2023,2.06%,,12/15/2023,3.0,Apparel,,
170,BXP,20231227223407,$72.06,12/28/2023,5.46%,,12/18/2023,3.92,Real Estate Investment Trusts,,
171,SLG,20231227223408,$47.77,12/28/2023,6.96%,,12/04/2023,3.0,Real Estate Investment Trusts,,
172,RHP,20231227223410,$111.60,12/28/2023,3.58%,,12/08/2023,4.4,Real Estate Investment Trusts,,
173,NLY,20231227223411,$20.50,12/28/2023,12.66%,,12/07/2023,2.6,Real Estate Investment Trusts,,
174,CSR,20231227223413,$58.26,12/28/2023,4.95%,,12/01/2023,2.92,Real Estate Investment Trusts,,
175,EPR,20231227223414,$48.62,12/28/2023,6.74%,,12/14/2023,3.3,Real Estate Investment Trusts,,
176,WPC,20231227223416,$65.56,12/28/2023,N/A,,12/07/2023,3.44,Real Estate Investment Trusts,,
