companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Dime Community Bancshares, Inc. Common Stock",DCOM,7/17/2024,7/24/2024,7/17/2024,0.25,1.0,6/20/2024
"Global Water Resources, Inc. Common Stock",GWRS,7/17/2024,7/31/2024,7/17/2024,0.02508,0.30096,6/28/2024
Horizon Technology Finance Corporation Common Stock,HRZN,7/17/2024,8/15/2024,7/17/2024,0.11,1.32,4/26/2024
McGrath RentCorp Common Stock,MGRC,7/17/2024,7/31/2024,7/17/2024,0.475,1.9,6/05/2024
Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares,OXLCP,7/17/2024,7/31/2024,7/17/2024,0.13020833,1.5625,5/14/2024
Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,OXLCN,7/17/2024,7/31/2024,7/17/2024,0.1484375,1.78125,5/14/2024
Oxford Lane Capital Corp. Common Stock,OXLC,7/17/2024,7/31/2024,7/17/2024,0.09,0.96,5/14/2024
"Oxford Lane Capital Corp. Preferred Stock Shares, 6.00% Series 2029",OXLCO,7/17/2024,7/31/2024,7/17/2024,0.125,1.5,5/14/2024
Oxford Square Capital Corp. Common Stock,OXSQ,7/17/2024,7/31/2024,7/17/2024,0.035,0.42,4/25/2024
RGC Resources Inc. Common Stock,RGCO,7/17/2024,8/01/2024,7/17/2024,0.2,0.8,5/01/2024
VSE Corporation Common Stock,VSEC,7/17/2024,7/31/2024,7/17/2024,0.1,0.4,5/21/2024
"Credit Suisse Asset Management Income Fund, Inc. Common Stock",CIK,7/17/2024,7/23/2024,7/17/2024,0.0225,0.27,1/19/2024
Credit Suisse High Yield Bond Fund Common Stock,DHY,7/17/2024,7/23/2024,7/17/2024,0.0155,0.186,1/19/2024
Gabelli Global Utility Common Shares of Beneficial Ownership,GLU,7/17/2024,7/24/2024,7/17/2024,0.1,1.2,5/16/2024
"GAMCO Global Gold, Natural Resources & Income Trust",GGN,7/17/2024,7/24/2024,7/17/2024,0.03,0.36,5/16/2024
Quaker Houghton Common Stock,KWR,7/17/2024,7/31/2024,7/17/2024,0.455,1.82,5/08/2024
RPM International Inc. Common Stock,RPM,7/17/2024,7/31/2024,7/17/2024,0.46,1.84,7/03/2024
"Mexico Fund, Inc. (The) Common Stock",MXF,7/17/2024,7/25/2024,7/17/2024,0.22,0.88,6/07/2024
High Income Securities Fund Common Stock,PCF,7/17/2024,7/31/2024,7/17/2024,0.0622,0.7464,6/18/2024
"New America High Income Fund, Inc. (The) Common Stock",HYB,7/17/2024,7/31/2024,7/17/2024,0.04,0.48,7/01/2024
"EOG Resources, Inc. Common Stock",EOG,7/17/2024,7/31/2024,7/17/2024,0.91,3.64,5/02/2024
"Special Opportunities Fund, Inc Common Stock",SPE,7/17/2024,7/31/2024,7/17/2024,0.0954,1.1448,7/01/2024
Fomento Economico Mexicano S.A.B. de C.V. Common Stock,FMX,7/17/2024,7/29/2024,7/17/2024,1.442444,1.0206,7/02/2024
Gabelli Utility Trust (The) Common Stock,GUT,7/17/2024,7/24/2024,7/17/2024,0.05,0.6,5/16/2024
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,7/17/2024,7/24/2024,7/17/2024,0.11,1.32,5/16/2024
Dillard's Capital Trust I,DDT,7/17/2024,8/01/2024,7/17/2024,0.46875,1.875,6/13/2024
"GAMCO Natural Resources, Gold & Income Trust",GNT,7/17/2024,7/24/2024,7/17/2024,0.03,0.36,5/16/2024
DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,DBL,7/17/2024,7/31/2024,7/17/2024,0.11,1.32,7/01/2024
DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DSL,7/17/2024,7/31/2024,7/17/2024,0.11,1.32,7/01/2024
Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,7/17/2024,7/31/2024,7/17/2024,0.105,1.26,4/01/2024
AT&T Inc. 5.350% Global Notes due 2066,TBB,7/17/2024,8/01/2024,7/17/2024,0.334375,1.3375,N/A
Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,FINS,7/17/2024,7/31/2024,7/17/2024,0.109,1.308,7/01/2024
DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,DLY,7/17/2024,7/31/2024,7/17/2024,0.1167,1.4004,7/01/2024
AT&T Inc. 5.625% Global Notes due 2067,TBC,7/17/2024,8/01/2024,7/17/2024,0.3516,1.4064,N/A
Johnson Electric Holdings Ltd. ADR,JEHLY,7/17/2024,9/18/2024,7/17/2024,0.4934322,0.9869,N/A
Interconexion Electrica SA ADR,IESFY,7/17/2024,8/05/2024,7/17/2024,2.253261,4.5065,N/A
