companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"AAON, Inc. Common Stock",AAON,11/28/2023,12/18/2023,11/29/2023,0.08,0.32,11/09/2023
Electronic Arts Inc. Common Stock,EA,11/28/2023,12/20/2023,11/29/2023,0.19,0.76,10/31/2023
EnPro Industries Inc,NPO,11/28/2023,12/13/2023,11/29/2023,0.29,1.16,10/25/2023
International Game Technology Ordinary Shares,IGT,11/28/2023,12/13/2023,11/29/2023,0.2,0.8,10/27/2023
Phibro Animal Health Corporation Class A Common Stock,PAHC,11/28/2023,12/20/2023,11/29/2023,0.12,0.48,11/06/2023
PVH Corp. Common Stock,PVH,11/28/2023,12/20/2023,11/29/2023,0.0375,0.15,11/01/2023
TFS Financial Corporation Common Stock,TFSL,11/28/2023,12/13/2023,11/29/2023,0.2825,1.13,11/15/2023
PVH Corp. Common Stock,PVH,11/28/2023,12/20/2023,11/29/2023,0.0375,0.15,11/01/2023
"Everest Group, Ltd. Common Stock",EG,11/28/2023,12/15/2023,11/29/2023,1.75,7.0,11/09/2023
EnPro Industries Inc,NPO,11/28/2023,12/13/2023,11/29/2023,0.29,1.16,10/25/2023
"Century Communities, Inc. Common Stock",CCS,11/28/2023,12/13/2023,11/29/2023,0.23,0.92,11/08/2023
International Game Technology Ordinary Shares,IGT,11/28/2023,12/13/2023,11/29/2023,0.2,0.8,10/27/2023
"Energizer Holdings, Inc. Common Stock",ENR,11/28/2023,12/14/2023,11/29/2023,0.3,1.2,11/06/2023
Eneti Inc. Common Stock,NETI,11/28/2023,12/15/2023,11/29/2023,0.01,0.04,11/14/2023
"Kinsale Capital Group, Inc. Common Stock",KNSL,11/28/2023,12/13/2023,11/29/2023,0.14,0.56,11/15/2023
Barclays PLC,ATMP,11/28/2023,12/07/2023,11/29/2023,0.30551,1.1708,11/17/2023
Harleysville Financial Corp,HARL,11/28/2023,12/13/2023,11/29/2023,1.2,1.2,11/15/2023
Lenovo Group Ltd. ADR,LNVGY,11/28/2023,12/20/2023,11/29/2023,0.185062,0.3701,N/A
CIM Real Estate Finance Trust Inc Com,CMRF,11/28/2023,12/01/2023,11/29/2023,0.0367,0.0367,8/08/2023
Mapfre Sociedad Anonima ADR,MPFRY,11/28/2023,12/15/2023,11/29/2023,0.090318,0.1806,N/A
Indorama Ventures Public Company Limited ADR,INDOY,11/28/2023,12/29/2023,11/29/2023,0.056372,0.1127,N/A
