companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
1st Source Corporation Common Stock,SRCE,2/02/2024,2/15/2024,2/05/2024,0.34,1.36,1/18/2024
"Acuity Brands, Inc. ",AYI,2/02/2024,2/14/2024,2/05/2024,0.15,0.6,1/25/2024
Akros Monthly Payout ETF,MPAY,2/02/2024,2/06/2024,2/05/2024,0.1326,1.5626,2/01/2024
AmeriServ Financial Inc. Common Stock,ASRV,2/02/2024,2/20/2024,2/05/2024,0.03,0.12,1/18/2024
"Assurant, Inc. Common Stock",AIZ,2/02/2024,3/25/2024,2/05/2024,0.72,2.88,1/18/2024
Banco Bradesco Sa American Depositary Shares,BBD,2/02/2024,3/08/2024,2/05/2024,0.003857,0.0463,1/18/2024
Banco Bradesco Sa American Depositary Shares (each representing one Common Share),BBDO,2/02/2024,3/08/2024,2/05/2024,0.003506,0.0421,1/18/2024
"BCB Bancorp, Inc. (NJ) Common Stock",BCBP,2/02/2024,2/16/2024,2/05/2024,0.16,0.64,1/18/2024
Blackstone Inc. Common Stock,BX,2/02/2024,2/12/2024,2/05/2024,0.94,3.76,1/25/2024
Brinks Company (The) Common Stock,BCO,2/02/2024,3/01/2024,2/05/2024,0.22,0.88,1/18/2024
Cadence Bank 5.50% Series A ,CADE^A,2/02/2024,2/20/2024,2/05/2024,0.34375,1.375,1/24/2024
"Capital Bancorp, Inc. Common Stock",CBNK,2/02/2024,2/21/2024,2/05/2024,0.08,0.32,2/03/2024
"Carriage Services, Inc. Common Stock",CSV,2/02/2024,3/01/2024,2/05/2024,0.1125,0.45,1/18/2024
"Citigroup, Inc. Common Stock",C,2/02/2024,2/23/2024,2/05/2024,0.53,2.12,1/11/2024
Concentrix Corporation Common Stock,CNXC,2/02/2024,2/15/2024,2/05/2024,0.3025,1.21,1/24/2024
"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",DKL,2/02/2024,2/12/2024,2/05/2024,1.055,4.22,1/24/2024
Dorian LPG Ltd. Common Stock,LPG,2/02/2024,2/27/2024,2/05/2024,1.0,0.0,1/24/2024
Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,DLNG^A,2/02/2024,2/12/2024,2/05/2024,0.5625,2.25,1/22/2024
First Foundation Inc. Common Stock,FFWM,2/02/2024,2/15/2024,2/05/2024,0.01,0.04,1/25/2024
Five Star Bancorp Common Stock,FSBC,2/02/2024,2/12/2024,2/05/2024,0.2,0.8,1/18/2024
Goldman Sachs Nasdaq-100 Core Premium Income ETF,GPIQ,2/02/2024,2/08/2024,2/05/2024,0.39086,4.69032,2/01/2024
Goldman Sachs S&P 500 Core Premium Income ETF,GPIX,2/02/2024,2/08/2024,2/05/2024,0.31584,3.79008,2/01/2024
Hanmi Financial Corporation Common Stock,HAFC,2/02/2024,2/22/2024,2/05/2024,0.25,1.0,2/03/2024
"Home Bancorp, Inc. Common Stock",HBCP,2/02/2024,2/16/2024,2/05/2024,0.25,1.0,1/22/2024
"IDACORP, Inc. Common Stock",IDA,2/02/2024,2/28/2024,2/05/2024,0.83,3.32,1/18/2024
Independent Bank Corporation Common Stock,IBCP,2/02/2024,2/15/2024,2/05/2024,0.24,0.96,1/23/2024
iShares Core Conservative Allocation ETF,AOK,2/02/2024,2/08/2024,2/05/2024,0.058403,1.0665,11/23/2023
iShares Inflation Hedged High Yield Bond ETF,HYGI,2/02/2024,2/08/2024,2/05/2024,0.112578,1.6039,11/23/2023
iShares Inflation Hedged U.S. Aggregate Bond ETF,AGIH,2/02/2024,2/08/2024,2/05/2024,0.05959,0.7778,11/23/2023
iShares Interest Rate Hedged Corporate Bond ETF,LQDH,2/02/2024,2/08/2024,2/05/2024,0.665465,7.3023,11/23/2023
iShares Interest Rate Hedged High Yield Bond ETF,HYGH,2/02/2024,2/08/2024,2/05/2024,0.574936,7.5164,11/23/2023
iShares Interest Rate Hedged Long-Term Corporate Bond ETF,IGBH,2/02/2024,2/08/2024,2/05/2024,0.145715,1.7647,11/23/2023
iShares Interest Rate Hedged U.S. Aggregate Bond ETF,AGRH,2/02/2024,2/08/2024,2/05/2024,0.09651,1.2019,11/23/2023
iShares LifePath Retirement ETF,IRTR,2/02/2024,2/08/2024,2/05/2024,0.034993,1.0595,11/23/2023
iShares Yield Optimized Bond ETF,BYLD,2/02/2024,2/08/2024,2/05/2024,0.085924,1.0137,11/23/2023
"Lakeland Bancorp, Inc. Common Stock",LBAI,2/02/2024,2/15/2024,2/05/2024,0.145,0.58,1/23/2024
LSI Industries Inc. Common Stock,LYTS,2/02/2024,2/13/2024,2/05/2024,0.05,0.2,1/24/2024
Matthews International Corporation Class A Common Stock,MATW,2/02/2024,2/19/2024,2/05/2024,0.24,0.96,1/24/2024
MPLX LP Common Units Representing Limited Partner Interests,MPLX,2/02/2024,2/14/2024,2/05/2024,0.85,3.4,1/24/2024
NiSource Inc Common Stock,NI,2/02/2024,2/20/2024,2/05/2024,0.265,1.06,1/25/2024
OceanFirst Financial Corp. Common Stock,OCFC,2/02/2024,2/16/2024,2/05/2024,0.2,0.8,1/17/2024
"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock",ONBPP,2/02/2024,2/20/2024,2/05/2024,0.4375,1.75,11/15/2023
"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock",ONBPO,2/02/2024,2/20/2024,2/05/2024,0.4375,1.75,11/15/2023
"Omega Healthcare Investors, Inc. Common Stock",OHI,2/02/2024,2/15/2024,2/05/2024,0.67,2.68,1/26/2024
Panagram AAA CLO ETF,CLOX,2/02/2024,2/08/2024,2/05/2024,0.13237283,1.5347,2/01/2024
Panagram BBB-B CLO ETF,CLOZ,2/02/2024,2/08/2024,2/05/2024,0.22206438,2.3531,2/01/2024
Peoples Bancorp Inc. Common Stock,PEBO,2/02/2024,2/20/2024,2/05/2024,0.39,1.56,1/22/2024
"Peoples Bancorp of North Carolina, Inc. Common Stock",PEBK,2/02/2024,2/16/2024,2/05/2024,0.16,0.76,1/18/2024
"SandRidge Energy, Inc. Common Stock",SD,2/02/2024,2/20/2024,2/05/2024,1.5,0.4,1/16/2024
"Schnitzer Steel Industries, Inc. Class A Common Stock",RDUS,2/02/2024,2/20/2024,2/05/2024,0.1875,0.75,1/02/2024
SJW Group Common Stock (DE),SJW,2/02/2024,3/01/2024,2/05/2024,0.4,1.6,1/25/2024
Synchrony Financial Common Stock,SYF,2/02/2024,2/15/2024,2/05/2024,0.25,1.0,1/24/2024
"Synchrony Financial Depositary Shares, each Representing a 1/40th Interest in a Share of 5.625% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",SYF^A,2/02/2024,2/15/2024,2/05/2024,0.351563,1.4063,1/24/2024
"Tectonic Financial, Inc. 9.00% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock",TECTP,2/02/2024,2/15/2024,2/05/2024,0.225,0.9,1/26/2024
Webster Financial Corporation Common Stock,WBS,2/02/2024,2/16/2024,2/05/2024,0.4,1.6,1/24/2024
"WesBanco, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",WSBCP,2/02/2024,2/15/2024,2/05/2024,0.421875,1.6875,1/25/2024
Westamerica Bancorporation Common Stock,WABC,2/02/2024,2/16/2024,2/05/2024,0.44,1.76,1/25/2024
