companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"OFS Credit Company, Inc. 5.25% Series E Term Preferred Stock Due 2026",OCCIN,4/18/2024,4/30/2024,4/19/2024,0.109375,1.3125,2/01/2024
"OFS Credit Company, Inc. 6.125% Series C Term Preferred Stock",OCCIO,4/18/2024,4/30/2024,4/19/2024,0.1276042,1.53125,2/01/2024
"OFS Credit Company, Inc. Common Stock",OCCI,4/18/2024,4/30/2024,4/19/2024,0.1,1.2,2/01/2024
"Revvity, Inc. Common Stock",RVTY,4/18/2024,5/10/2024,4/19/2024,0.07,0.28,1/25/2024
Zoetis Inc. Class A Common Stock,ZTS,4/18/2024,6/04/2024,4/19/2024,0.432,1.728,2/06/2024
