companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Allient Inc. Common Stock,ALNT,5/22/2024,6/06/2024,5/23/2024,0.03,0.12,5/08/2024
"Applied Materials, Inc. Common Stock",AMAT,5/22/2024,6/13/2024,5/23/2024,0.4,1.28,3/08/2024
"Cogent Communications Holdings, Inc.",CCOI,5/22/2024,6/07/2024,5/23/2024,0.975,3.86,5/08/2024
"Littelfuse, Inc. Common Stock",LFUS,5/22/2024,6/06/2024,5/23/2024,0.65,2.6,4/25/2024
SBA Communications Corporation Class A Common Stock,SBAC,5/22/2024,6/19/2024,5/23/2024,0.98,3.92,4/29/2024
"Southside Bancshares, Inc. Common Stock",SBSI,5/22/2024,6/06/2024,5/23/2024,0.36,1.44,5/09/2024
Vinci Partners Investments Ltd. Class A Common Shares,VINP,5/22/2024,6/07/2024,5/23/2024,0.17,0.8,5/07/2024
Warner Music Group Corp. Class A Common Stock,WMG,5/22/2024,6/03/2024,5/23/2024,0.17,0.68,5/21/2024
"abrdn Australia Equity Fund, Inc. Common Stock",IAF,5/22/2024,6/28/2024,5/23/2024,0.12,0.48,5/09/2024
"abrdn Asia-Pacific Income Fund, Inc. Common Stock",FAX,5/22/2024,5/31/2024,5/23/2024,0.0275,0.33,5/09/2024
"abrdn Global Income Fund, Inc. Common Stock",FCO,5/22/2024,5/31/2024,5/23/2024,0.07,0.84,5/09/2024
abrdn National Municipal Income Fund Common Stock,VFL,5/22/2024,5/31/2024,5/23/2024,0.045,0.54,5/09/2024
"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",GIL,5/22/2024,6/17/2024,5/23/2024,0.205,0.82,5/01/2024
Materion Corporation,MTRN,5/22/2024,6/07/2024,5/23/2024,0.135,0.54,5/09/2024
ClearBridge MLP and Midstream Fund Inc. Common Stock,CEM,5/22/2024,5/31/2024,5/23/2024,0.77,3.08,4/29/2024
Pitney Bowes Inc. Common Stock,PBI,5/22/2024,6/07/2024,5/23/2024,0.05,0.2,5/02/2024
Avista Corporation Common Stock,AVA,5/22/2024,6/14/2024,5/23/2024,0.475,1.9,5/01/2024
Western Asset Investment Grade Income Fund Inc.,PAI,5/22/2024,6/03/2024,5/23/2024,0.049,0.588,2/20/2024
abrdn Healthcare Investors Shares of Beneficial Interest,HQH,5/22/2024,6/28/2024,5/23/2024,0.59,2.36,5/09/2024
"Dynex Capital, Inc. Common Stock",DX,5/22/2024,6/03/2024,5/23/2024,0.13,1.56,5/10/2024
"Western Asset Municipal High Income Fund, Inc. Common Stock",MHF,5/22/2024,6/03/2024,5/23/2024,0.034,0.408,2/20/2024
Flaherty & Crumrine Preferred and Income Fund Incorporated,PFD,5/22/2024,5/31/2024,5/23/2024,0.0583,0.6996,4/18/2024
Western Asset Intermediate Muni Fund Inc Common Stock,SBI,5/22/2024,6/03/2024,5/23/2024,0.042,0.504,2/20/2024
Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,PFO,5/22/2024,5/31/2024,5/23/2024,0.0483,0.5796,4/18/2024
abrdn Life Sciences Investors Shares of Beneficial Interest,HQL,5/22/2024,6/28/2024,5/23/2024,0.48,1.92,5/09/2024
"U.S. Physical Therapy, Inc. Common Stock",USPH,5/22/2024,6/14/2024,5/23/2024,0.44,1.76,5/07/2024
"Western Asset Managed Municipals Fund, Inc. Common Stock",MMU,5/22/2024,6/03/2024,5/23/2024,0.0545,0.654,2/20/2024
Litecoin,LTC,5/22/2024,5/31/2024,5/23/2024,0.19,2.28,4/01/2024
"Western Asset High Income Opportunity Fund, Inc. Common Stock",HIO,5/22/2024,6/03/2024,5/23/2024,0.0355,0.426,2/20/2024
"Autoliv, Inc. Common Stock",ALV,5/22/2024,6/12/2024,5/23/2024,0.68,2.72,5/09/2024
Companhia Siderurgica Nacional S.A. Common Stock,SID,5/22/2024,1/01/0001,5/23/2024,0.139508,0.2912,5/13/2024
Western Asset High Income Fund II Inc. Common Stock,HIX,5/22/2024,6/03/2024,5/23/2024,0.049,0.588,2/20/2024
Western Asset Bond Fund Share of Beneficial Interest,WEA,5/22/2024,6/03/2024,5/23/2024,0.07,0.84,2/20/2024
Federated Hermes Premier Municipal Income Fund,FMN,5/22/2024,6/03/2024,5/23/2024,0.035,0.42,5/10/2024
Western Asset Global High Income Fund Inc Common Stock,EHI,5/22/2024,6/03/2024,5/23/2024,0.07,0.84,2/20/2024
Flaherty & Crumrine Total Return Fund Inc Common Stock,FLC,5/22/2024,5/31/2024,5/23/2024,0.0897,1.0764,4/18/2024
Western Asset Inflation-Linked Income Fund,WIA,5/22/2024,5/31/2024,5/23/2024,0.05,0.6,2/20/2024
E-mini S&P MidCap 400 Futures ,EMD,5/22/2024,6/03/2024,5/23/2024,0.0845,1.014,2/20/2024
