companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Air T, Inc. Air T Funding Alpha Income Trust Preferred Securities",AIRTP,2/13/2024,2/15/2024,2/14/2024,0.5,2.0,1/22/2024
BOK Financial Corporation Common Stock,BOKF,2/13/2024,2/28/2024,2/14/2024,0.55,2.2,1/30/2024
"FirstCash Holdings, Inc. Common Stock",FCFS,2/13/2024,2/28/2024,2/14/2024,0.35,1.4,1/31/2024
Landmark Bancorp Inc. Common Stock,LARK,2/13/2024,2/28/2024,2/14/2024,0.21,0.0,1/31/2024
"MarketAxess Holdings, Inc. Common Stock",MKTX,2/13/2024,2/28/2024,2/14/2024,0.74,2.88,1/18/2024
"Powell Industries, Inc. Common Stock",POWL,2/13/2024,3/13/2024,2/14/2024,0.265,1.05,1/30/2024
"Sandy Spring Bancorp, Inc. Common Stock",SASR,2/13/2024,2/21/2024,2/14/2024,0.34,1.36,1/31/2024
"Tetra Tech, Inc. Common Stock",TTEK,2/13/2024,2/27/2024,2/14/2024,0.26,1.04,1/29/2024
Winmark Corporation Common Stock,WINA,2/13/2024,3/01/2024,2/14/2024,0.8,3.2,1/31/2024
BNY Mellon Municipal Income Inc. Common Stock,DMF,2/13/2024,2/29/2024,2/14/2024,0.015,0.18,1/30/2024
Gabelli Global Utility Common Shares of Beneficial Ownership,GLU,2/13/2024,2/22/2024,2/14/2024,0.1,1.2,11/16/2023
"GAMCO Global Gold, Natural Resources & Income Trust",GGN,2/13/2024,2/22/2024,2/14/2024,0.03,0.36,11/16/2023
"WEC Energy Group, Inc. Common Stock",WEC,2/13/2024,3/01/2024,2/14/2024,0.835,3.34,12/20/2023
Exxon Mobil Corporation Common Stock,XOM,2/13/2024,3/11/2024,2/14/2024,0.95,3.8,2/02/2024
"Healthpeak Properties, Inc. Common Stock",PEAK,2/13/2024,2/26/2024,2/14/2024,0.3,1.2,1/31/2024
"Consolidated Edison, Inc. Common Stock",ED,2/13/2024,3/15/2024,2/14/2024,0.83,3.32,1/18/2024
UNITIL Corporation Common Stock,UTL,2/13/2024,2/29/2024,2/14/2024,0.425,1.7,1/31/2024
"United Rentals, Inc. Common Stock",URI,2/13/2024,2/28/2024,2/14/2024,1.63,6.52,1/24/2024
Gabelli Utility Trust (The) Common Stock,GUT,2/13/2024,2/22/2024,2/14/2024,0.05,0.6,11/16/2023
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,2/13/2024,2/22/2024,2/14/2024,0.11,1.32,11/16/2023
"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",DSM,2/13/2024,2/29/2024,2/14/2024,0.018,0.216,1/30/2024
"BNY Mellon Strategic Municipals, Inc. Common Stock",LEO,2/13/2024,2/29/2024,2/14/2024,0.019,0.228,1/30/2024
Cohen & Steers Quality Income Realty Fund Inc Common Shares,RQI,2/13/2024,2/29/2024,2/14/2024,0.08,0.96,12/12/2023
"Cohen & Steers REIT and Preferred and Income Fund, Inc. Common Shares",RNP,2/13/2024,2/29/2024,2/14/2024,0.136,1.632,12/12/2023
MFS Intermediate Income Trust Common Stock,MIN,2/13/2024,2/29/2024,2/14/2024,0.02055,0.2466,2/01/2024
MFS Municipal Income Trust Common Stock,MFM,2/13/2024,2/29/2024,2/14/2024,0.0195,0.234,2/01/2024
MFS Multimarket Income Trust Common Stock,MMT,2/13/2024,2/29/2024,2/14/2024,0.03371,0.4045,2/01/2024
MFS Municipal Income Trust Common Stock,CMU,2/13/2024,2/29/2024,2/14/2024,0.0125,0.15,2/01/2024
MFS Government Markets Income Trust Common Stock,MGF,2/13/2024,2/29/2024,2/14/2024,0.02032,0.2438,2/01/2024
MFS Intermediate High Income Fund Common Stock,CIF,2/13/2024,2/29/2024,2/14/2024,0.01484,0.1781,2/01/2024
MFS High Income Municipal Trust Common Stock,CXE,2/13/2024,2/29/2024,2/14/2024,0.014,0.168,2/01/2024
MFS Investment Grade Municipal Trust Common Stock,CXH,2/13/2024,2/29/2024,2/14/2024,0.0235,0.282,2/01/2024
MFS Charter Income Trust Common Stock,MCR,2/13/2024,2/29/2024,2/14/2024,0.04588,0.5506,2/01/2024
MFS Special Value Trust Common Stock,MFV,2/13/2024,2/29/2024,2/14/2024,0.03671,0.4405,2/01/2024
"Cohen & Steers Total Return Realty Fund, Inc. Common Stock",RFI,2/13/2024,2/29/2024,2/14/2024,0.08,0.96,12/12/2023
Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I,JBK,2/13/2024,2/15/2024,2/14/2024,0.7931,3.1724,N/A
"Cohen & Steers Infrastructure Fund, Inc Common Stock",UTF,2/13/2024,2/29/2024,2/14/2024,0.155,1.86,12/12/2023
"WisdomTree, Inc. Common Stock",WT,2/13/2024,2/28/2024,2/14/2024,0.03,0.12,2/02/2024
"Home BancShares, Inc. Common Stock",HOMB,2/13/2024,3/06/2024,2/14/2024,0.18,0.72,1/24/2024
"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",FOF,2/13/2024,2/29/2024,2/14/2024,0.087,1.044,12/12/2023
Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,2/13/2024,2/29/2024,2/14/2024,0.105,1.26,1/02/2024
Sensata Technologies Holding plc Ordinary Shares,ST,2/13/2024,2/28/2024,2/14/2024,0.12,0.48,1/25/2024
"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock",PSF,2/13/2024,2/29/2024,2/14/2024,0.126,1.512,12/12/2023
"GAMCO Natural Resources, Gold & Income Trust",GNT,2/13/2024,2/22/2024,2/14/2024,0.03,0.36,11/16/2023
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,2/13/2024,2/29/2024,2/14/2024,0.131,1.572,12/12/2023
"New York Community Bancorp, Inc. Common Stock",NYCB,2/13/2024,2/28/2024,2/14/2024,0.05,0.2,1/30/2024
Aramark Common Stock,ARMK,2/13/2024,2/28/2024,2/14/2024,0.095,0.38,1/31/2024
Amerant Bancorp Inc. Class A Common Stock,AMTB,2/13/2024,2/29/2024,2/14/2024,0.09,0.36,1/17/2024
FS KKR Capital Corp. Common Stock,FSK,2/13/2024,2/28/2024,2/14/2024,0.05,2.56,11/06/2023
Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,PTA,2/13/2024,2/29/2024,2/14/2024,0.134,1.608,12/12/2023
The AES Corporation Corporate Units,AESC,2/13/2024,2/15/2024,2/14/2024,1.7188,6.8752,1/11/2024
Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,RLTY,2/13/2024,2/29/2024,2/14/2024,0.11,1.32,12/12/2023
Brookdale Senior Living Inc. 7.00% Tangible Equity Units,BKDT,2/13/2024,2/15/2024,2/14/2024,0.875,3.2664,1/11/2024
Kenvue Inc. Common Stock,KVUE,2/13/2024,2/28/2024,2/14/2024,0.2,0.8,1/25/2024
Monarch Cement Co.,MCEM,2/13/2024,3/15/2024,2/14/2024,0.68,2.72,12/01/2023
F & M Bank Corp.,FMBM,2/13/2024,2/29/2024,2/14/2024,0.26,1.04,1/18/2024
Chester Bancorp Inc.,CNBA,2/13/2024,2/29/2024,2/14/2024,0.15,0.6,2/01/2024
Wisconsin Electric Power Co 3.60% PRF PERPETUAL USD 100,WELPP,2/13/2024,3/01/2024,2/14/2024,0.9,3.6,1/18/2024
National Cap Bancorp Inc,NACB,2/13/2024,2/28/2024,2/14/2024,0.66,2.64,1/24/2024
South Atlantic Bancshares Inc,SABK,2/13/2024,2/28/2024,2/14/2024,0.1,0.1,1/30/2024
Equinor ASA,STOHF,2/13/2024,2/27/2024,2/15/2024,0.9,3.6,N/A
Minster Financial Corp,MTFC,2/13/2024,2/16/2024,2/14/2024,2.15,4.3,1/31/2024
