companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Bank of the James Financial Group, Inc. Common Stock",BOTJ,6/07/2024,6/21/2024,6/07/2024,0.1,0.4,4/16/2024
Booking Holdings Inc. Common Stock,BKNG,6/07/2024,6/28/2024,6/07/2024,8.75,35.0,5/02/2024
"C.H. Robinson Worldwide, Inc. Common Stock",CHRW,6/07/2024,7/01/2024,6/07/2024,0.61,2.44,5/09/2024
CME Group Inc. Class A Common Stock,CME,6/07/2024,6/25/2024,6/07/2024,1.15,4.6,5/09/2024
"Exponent, Inc. Common Stock",EXPO,6/07/2024,6/21/2024,6/07/2024,0.28,1.12,4/24/2024
First Merchants Corporation Common Stock,FRME,6/07/2024,6/21/2024,6/07/2024,0.35,1.36,5/07/2024
"ICF International, Inc. Common Stock",ICFI,6/07/2024,7/12/2024,6/07/2024,0.14,0.56,5/02/2024
Lancaster Colony Corporation Common Stock,LANC,6/07/2024,6/28/2024,6/07/2024,0.9,3.6,5/16/2024
Mercantile Bank Corporation Common Stock,MBWM,6/07/2024,6/19/2024,6/07/2024,0.35,1.4,4/11/2024
Northern Trust Corporation Common Stock,NTRS,6/07/2024,7/01/2024,6/07/2024,0.75,3.0,4/16/2024
"PepsiCo, Inc. Common Stock",PEP,6/07/2024,6/28/2024,6/07/2024,1.355,5.06,4/30/2024
PotlatchDeltic Corporation Common Stock,PCH,6/07/2024,6/28/2024,6/07/2024,0.45,1.8,5/09/2024
"Unity Bancorp, Inc. Common Stock",UNTY,6/07/2024,6/21/2024,6/07/2024,0.13,0.52,5/16/2024
Vodafone Group Plc American Depositary Shares,VOD,6/07/2024,8/02/2024,6/07/2024,0.4860675,0.977625,5/16/2024
"WesBanco, Inc. Common Stock",WSBC,6/07/2024,7/01/2024,6/07/2024,0.36,1.44,5/15/2024
Primo Water Corporation Common Stock,PRMW,6/07/2024,6/18/2024,6/07/2024,0.09,0.36,5/09/2024
Molson Coors Beverage Company Class B Common Stock,TAP,6/07/2024,6/21/2024,6/07/2024,0.44,1.76,5/16/2024
Molson Coors Beverage Company Class A Common Stock,TAP.A,6/07/2024,6/21/2024,6/07/2024,0.44,1.76,5/16/2024
TEGNA Inc,TGNA,6/07/2024,7/01/2024,6/07/2024,0.125,0.5,5/08/2024
Genuine Parts Company Common Stock,GPC,6/07/2024,7/01/2024,6/07/2024,1.0,4.0,4/30/2024
Kimberly-Clark Corporation Common Stock,KMB,6/07/2024,7/02/2024,6/07/2024,1.22,4.88,5/02/2024
