companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Escalade, Incorporated Common Stock",ESCA,7/08/2024,7/15/2024,7/08/2024,0.15,0.6,4/24/2024
Immersion Corporation Common Stock,IMMR,7/08/2024,7/26/2024,7/08/2024,0.045,0.18,6/13/2024
Walt Disney Company (The) Common Stock,DIS,7/08/2024,7/25/2024,7/08/2024,0.45,0.9,2/07/2024
OGE Energy Corp Common Stock,OGE,7/08/2024,7/26/2024,7/08/2024,0.4182,1.6728,5/16/2024
Universal Corporation Common Stock,UVV,7/08/2024,8/05/2024,7/08/2024,0.81,3.24,5/22/2024
Quest Diagnostics Incorporated Common Stock,DGX,7/08/2024,7/22/2024,7/08/2024,0.75,3.0,5/15/2024
Main Street Capital Corporation Common Stock,MAIN,7/08/2024,7/15/2024,7/08/2024,0.245,2.94,5/06/2024
NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,NXG,7/08/2024,7/31/2024,7/08/2024,0.54,6.48,6/03/2024
Sylvamo Corporation Common Stock,SLVM,7/08/2024,7/29/2024,7/08/2024,0.45,1.8,5/17/2024
Sinotruk(Hong Kong)Ltd ADR,SHKLY,7/08/2024,9/23/2024,7/08/2024,6.054416,1.8458,N/A
