companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Manhattan Bridge Capital, Inc",LOAN,4/09/2024,4/15/2024,4/10/2024,0.115,0.45,2/07/2024
"General Mills, Inc. Common Stock",GIS,4/09/2024,5/01/2024,4/10/2024,0.59,2.36,1/30/2024
Eagle Point Credit Company Inc. Common Stock,ECC,4/09/2024,4/30/2024,4/10/2024,0.02,1.68,2/13/2024
Eagle Point Credit Company Inc. Common Stock,ECC,4/09/2024,4/30/2024,4/10/2024,0.14,1.68,2/13/2024
Eagle Point Income Company Inc. Common Stock,EIC,4/09/2024,4/30/2024,4/10/2024,0.2,2.4,2/13/2024
Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,ECCC,4/09/2024,4/30/2024,4/10/2024,0.135417,1.625,2/13/2024
Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,EICA,4/09/2024,4/30/2024,4/10/2024,0.104167,1.25,2/13/2024
Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,ECCF,4/09/2024,4/30/2024,4/10/2024,0.166667,1.6876,2/13/2024
Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,EICB,4/09/2024,4/30/2024,4/10/2024,0.161459,1.9375,2/13/2024
