companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
AGNC Investment Corp. Common Stock,AGNC,2/28/2024,3/11/2024,2/29/2024,0.12,1.44,2/08/2024
Algoma Steel Group Inc. Common Shares,ASTL,2/28/2024,3/29/2024,2/29/2024,0.05,0.2,2/06/2024
"AMMO, Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock",POWWP,2/28/2024,3/15/2024,2/29/2024,0.5529514,2.211806,2/15/2024
Ark Restaurants Corp. Common Stock,ARKR,2/28/2024,3/13/2024,2/29/2024,0.1875,0.75,2/06/2024
Cognex Corporation Common Stock,CGNX,2/28/2024,3/14/2024,2/29/2024,0.075,0.3,2/15/2024
CSX Corporation Common Stock,CSX,2/28/2024,3/15/2024,2/29/2024,0.12,0.44,2/14/2024
"Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",EFSCP,2/28/2024,3/15/2024,2/29/2024,0.3125,1.25,1/22/2024
"First Citizens BancShares, Inc. 5.625% Non-Cumulative Perpetual Preferred Stock, Series C",FCNCO,2/28/2024,3/15/2024,2/29/2024,0.351563,1.406252,1/24/2024
"First Citizens BancShares, Inc. Class A Common Stock",FCNCA,2/28/2024,3/15/2024,2/29/2024,1.64,6.56,1/24/2024
"First Citizens BancShares, Inc. Depositary Shares",FCNCP,2/28/2024,3/15/2024,2/29/2024,0.335938,1.343752,1/24/2024
"LINKBANCORP, Inc. Common Stock",LNKB,2/28/2024,3/15/2024,2/29/2024,0.075,0.3,2/13/2024
Marine Petroleum Trust Units of Beneficial Interest,MARPS,2/28/2024,3/28/2024,2/29/2024,0.101611,0.334644,2/16/2024
"Mesa Laboratories, Inc. Common Stock",MLAB,2/28/2024,3/15/2024,2/29/2024,0.16,0.64,1/02/2024
Newell Brands Inc. Common Stock,NWL,2/28/2024,3/15/2024,2/29/2024,0.07,0.28,2/15/2024
Peoples Financial Services Corp. Common Stock,PFIS,2/28/2024,3/15/2024,2/29/2024,0.41,1.64,1/26/2024
"Power Integrations, Inc. Common Stock",POWI,2/28/2024,3/29/2024,2/29/2024,0.2,0.8,2/19/2024
"Presidio Property Trust, Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value per share",SQFTP,2/28/2024,3/15/2024,2/29/2024,0.19531,2.34372,12/18/2023
QUALCOMM Incorporated Common Stock,QCOM,2/28/2024,3/21/2024,2/29/2024,0.8,3.2,1/04/2024
"Qurate Retail, Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock",QRTEP,2/28/2024,3/15/2024,2/29/2024,2.0,8.0,2/19/2024
"Selective Insurance Group, Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 4.60% Non-Cumulative Preferred Stock, Series B",SIGIP,2/28/2024,3/15/2024,2/29/2024,0.2875,1.15,1/31/2024
Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,SOHOO,2/28/2024,3/15/2024,2/29/2024,0.4921875,1.96875,1/29/2024
Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,SOHOB,2/28/2024,3/15/2024,2/29/2024,0.5,2.0,1/29/2024
Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,SOHON,2/28/2024,3/15/2024,2/29/2024,0.515625,2.0625,1/29/2024
StepStone Group Inc. Class A Common Stock,STEP,2/28/2024,3/15/2024,2/29/2024,0.21,0.84,2/05/2024
York Water Company (The) Common Stock,YORW,2/28/2024,4/15/2024,2/29/2024,0.2108,0.8432,1/29/2024
Neuberger Berman Municipal Fund Inc. Common Stock,NBH,2/28/2024,3/15/2024,2/29/2024,0.03774,0.4529,2/15/2024
Barrick Gold Corporation Common Stock (BC),GOLD,2/28/2024,3/15/2024,2/29/2024,0.1,0.4,2/14/2024
Brookfield Renewable Partners L.P. ,BEP,2/28/2024,3/28/2024,2/29/2024,0.355,1.42,2/02/2024
Corning Incorporated Common Stock,GLW,2/28/2024,3/28/2024,2/29/2024,0.28,1.12,2/07/2024
Dover Corporation Common Stock,DOV,2/28/2024,3/15/2024,2/29/2024,0.51,2.04,2/08/2024
Union Pacific Corporation Common Stock,UNP,2/28/2024,3/29/2024,2/29/2024,1.3,5.2,2/08/2024
Griffon Corporation Common Stock,GFF,2/28/2024,3/21/2024,2/29/2024,0.15,0.6,2/07/2024
RLI Corp. Common Stock (DE),RLI,2/28/2024,3/20/2024,2/29/2024,0.27,1.08,2/08/2024
Tennant Company Common Stock,TNC,2/28/2024,3/15/2024,2/29/2024,0.28,1.12,2/13/2024
Bank of Hawaii Corporation Common Stock,BOH,2/28/2024,3/14/2024,2/29/2024,0.7,2.8,1/22/2024
"Cullen/Frost Bankers, Inc. Common Stock",CFR,2/28/2024,3/15/2024,2/29/2024,0.92,3.68,1/25/2024
Permian Basin Royalty Trust Common Stock,PBT,2/28/2024,3/14/2024,2/29/2024,0.04546,0.5455,2/16/2024
"DNP Select Income Fund, Inc. Common Stock",DNP,2/28/2024,3/11/2024,2/29/2024,0.065,0.78,12/14/2023
Central Pacific Financial Corp New,CPF,2/28/2024,3/15/2024,2/29/2024,0.26,1.04,1/31/2024
"Crane NXT, Co. Common Stock",CXT,2/28/2024,3/13/2024,2/29/2024,0.16,0.64,2/14/2024
Agree Realty Corporation Common Stock,ADC,2/28/2024,3/14/2024,2/29/2024,0.247,2.964,2/08/2024
POSCO Holdings Inc. American Depositary Shares (Each representing 1/4th of a share of Common Stock),PKX,2/28/2024,1/01/0001,2/29/2024,0.468287,1.893,1/31/2024
"Estee Lauder Companies, Inc. (The) Common Stock",EL,2/28/2024,3/15/2024,2/29/2024,0.66,2.64,2/05/2024
FactSet Research Systems Inc. Common Stock,FDS,2/28/2024,3/21/2024,2/29/2024,0.98,3.92,2/02/2024
EPR Properties Common Stock,EPR,2/28/2024,3/15/2024,2/29/2024,0.275,3.3,2/15/2024
"Goldman Sachs Group, Inc. (The) Common Stock",GS,2/28/2024,3/28/2024,2/29/2024,2.75,11.0,1/12/2024
Armstrong World Industries Inc Common Stock,AWI,2/28/2024,3/14/2024,2/29/2024,0.28,1.12,2/14/2024
Tennessee Valley Authority Common Stock,TVC,2/28/2024,3/01/2024,2/29/2024,0.1334,0.5336,N/A
"Stag Industrial, Inc. Common Stock",STAG,2/28/2024,3/15/2024,2/29/2024,0.123333,1.48,1/10/2024
Brookfield Infrastructure Partners LP Limited Partnership Units,BIP,2/28/2024,3/28/2024,2/29/2024,0.405,1.62,2/01/2024
Ellington Financial Inc. Common Stock ,EFC,2/28/2024,3/25/2024,2/29/2024,0.15,1.8,2/07/2024
"Orchid Island Capital, Inc. Common Stock",ORC,2/28/2024,3/26/2024,2/29/2024,0.12,1.44,2/14/2024
Marriott Vacations Worldwide Corporation Common Stock,VAC,2/28/2024,3/14/2024,2/29/2024,0.76,3.04,2/15/2024
"Shutterstock, Inc. Common Stock",SSTK,2/28/2024,3/14/2024,2/29/2024,0.3,1.2,1/30/2024
Stellus Capital Investment Corporation Common Stock,SCM,2/28/2024,3/15/2024,2/29/2024,0.1333,1.5996,1/15/2024
"Entergy New Orleans, LLC First Mortgage Bonds, 5.0% Series due December 1, 2052",ENJ,2/28/2024,3/01/2024,2/29/2024,0.3125,1.25,N/A
PBF Energy Inc. Class A Common Stock,PBF,2/28/2024,3/14/2024,2/29/2024,0.25,1.0,2/15/2024
Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,EARN,2/28/2024,3/25/2024,2/29/2024,0.08,0.96,2/07/2024
Ardmore Shipping Corporation Common Stock,ASC,2/28/2024,3/15/2024,2/29/2024,0.21,0.84,2/15/2024
"Sixth Street Specialty Lending, Inc. Common Stock",TSLX,2/28/2024,3/20/2024,2/29/2024,0.08,1.84,2/15/2024
Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),AVAL,2/28/2024,3/08/2024,2/29/2024,0.0184012,0.2208,9/19/2023
"Apple Hospitality REIT, Inc. Common Shares",APLE,2/28/2024,3/15/2024,2/29/2024,0.08,0.96,2/16/2024
Hubbell Inc Common Stock,HUBB,2/28/2024,3/15/2024,2/29/2024,1.22,4.88,1/26/2024
Brookfield Business Partners L.P. Limited Partnership Units ,BBU,2/28/2024,3/28/2024,2/29/2024,0.0625,0.25,2/02/2024
"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",EAI,2/28/2024,3/01/2024,2/29/2024,0.3046875,1.2188,N/A
"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds, 4.875 % Series due September 1, 2066",ELC,2/28/2024,3/01/2024,2/29/2024,0.30130208,1.2052,N/A
Qwest Corporation 6.5% Notes due 2056,CTBB,2/28/2024,3/01/2024,2/29/2024,0.4062,1.6248,N/A
"Arch Resources, Inc. Class A Common Stock",ARCH,2/28/2024,3/15/2024,2/29/2024,0.25,1.0,2/15/2024
"DuPont de Nemours, Inc. Common Stock",DD,2/28/2024,3/15/2024,2/29/2024,0.38,1.52,2/06/2024
"Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1, 2077",SOJC,2/28/2024,3/01/2024,2/29/2024,0.3281,1.3124,N/A
CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,CMSA,2/28/2024,3/15/2024,2/29/2024,0.3515625,1.4062,N/A
PermRock Royalty Trust Trust Units,PRT,2/28/2024,3/14/2024,2/29/2024,0.03474,0.4169,2/16/2024
Woori Financial Group Inc. American Depositary Shares (each representing three (3) shares of Common Stock),WF,2/28/2024,1/01/0001,2/29/2024,1.446502,2.2652,2/06/2024
