companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Cathay General Bancorp Common Stock,CATY,5/30/2024,6/10/2024,5/30/2024,0.34,1.36,5/16/2024
"H&E Equipment Services, Inc. Common Stock",HEES,5/30/2024,6/14/2024,5/30/2024,0.275,1.1,5/16/2024
Pangaea Logistics Solutions Ltd. Common Shares,PANL,5/30/2024,6/13/2024,5/30/2024,0.1,0.4,5/07/2024
"Popular, Inc. Common Stock",BPOP,5/30/2024,7/01/2024,5/30/2024,0.62,2.48,5/09/2024
QUALCOMM Incorporated Common Stock,QCOM,5/30/2024,6/20/2024,5/30/2024,0.85,3.2,4/12/2024
"Richmond Mutual Bancorporation, Inc. Common Stock",RMBI,5/30/2024,6/13/2024,5/30/2024,0.14,0.56,5/15/2024
Willis Lease Finance Corporation Common Stock,WLFC,5/30/2024,6/07/2024,5/30/2024,1.0,0.0,5/15/2024
Kinross Gold Corporation Common Stock,KGC,5/30/2024,6/13/2024,5/30/2024,0.03,0.12,5/07/2024
Chemed Corp,CHE,5/30/2024,6/18/2024,5/30/2024,0.4,1.6,5/20/2024
"Cullen/Frost Bankers, Inc. Common Stock",CFR,5/30/2024,6/14/2024,5/31/2024,0.92,3.68,4/25/2024
Valero Energy Corporation Common Stock,VLO,5/30/2024,6/28/2024,5/30/2024,1.07,4.28,5/15/2024
"Home Depot, Inc. (The) Common Stock",HD,5/30/2024,6/13/2024,5/30/2024,2.25,9.0,5/16/2024
First BanCorp. New Common Stock,FBP,5/30/2024,6/14/2024,5/30/2024,0.16,0.64,4/25/2024
"India Fund, Inc. (The) Common Stock",IFN,5/30/2024,7/05/2024,5/30/2024,0.45,1.72,5/20/2024
"Goldman Sachs Group, Inc. (The) Common Stock",GS,5/30/2024,6/27/2024,5/30/2024,2.75,11.0,4/11/2024
Xylem Inc. Common Stock New,XYL,5/30/2024,6/27/2024,5/30/2024,0.36,1.44,5/17/2024
"Shutterstock, Inc. Common Stock",SSTK,5/30/2024,6/13/2024,5/30/2024,0.3,1.2,4/22/2024
International Game Technology Ordinary Shares,IGT,5/30/2024,6/13/2024,5/30/2024,0.2,0.8,5/14/2024
"Maiden Holdings, Ltd. 6.625% Notes due 2046",MHLA,5/30/2024,6/14/2024,5/30/2024,0.4140625,1.6562,N/A
Blue Owl Capital Corporation III Common Stock,OBDE,5/30/2024,6/14/2024,5/31/2024,0.06,1.4,1/12/2024
Southeastern Banking Corp.,SEBC,5/30/2024,6/06/2024,5/30/2024,0.19,0.76,5/16/2024
Elders Limited ADR,EDESY,5/30/2024,7/11/2024,5/30/2024,0.300375,0.6008,N/A
Agricultural Bank of China ADR,ACGBY,5/30/2024,7/15/2024,5/31/2024,0.667595,0.6676,N/A
Sma Solar Technology ADR,SMTGY,5/30/2024,6/17/2024,5/30/2024,0.034915,0.0349,N/A
CIM Real Estate Finance Trust Inc Com,CMRF,5/30/2024,6/01/2024,5/30/2024,0.0375,0.2976,3/21/2024
Coca Cola HBC AG ADR,CCHGY,5/30/2024,7/09/2024,5/31/2024,0.597903,0.5979,N/A
Leroy Seafood Group ADR,LYSFY,5/30/2024,6/20/2024,5/30/2024,0.305019,0.305,N/A
Legrand SA ADR,LGRDY,5/30/2024,6/20/2024,5/30/2024,0.450395,0.4504,N/A
Forvia SE ADR,FAURY,5/30/2024,6/21/2024,6/03/2024,0.088745,0.0887,N/A
