companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,BGH,12/19/2023,1/02/2024,12/20/2023,0.1056,1.2672,10/10/2023
Broadcom Inc. Common Stock,AVGO,12/19/2023,12/29/2023,12/20/2023,5.25,18.4,12/06/2023
CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,IGR,12/19/2023,12/29/2023,12/20/2023,0.06,0.72,10/09/2023
Credit Suisse AG Credit Suisse X-Links Crude Oil Shares Covered Call ETN,USOI,12/19/2023,12/27/2023,12/20/2023,0.7674,22.3056,12/05/2023
"Credit Suisse X-Links Gold Shares Covered Call ETNs due February 2, 2033",GLDI,12/19/2023,12/27/2023,12/20/2023,0.5785,18.1836,12/05/2023
"Credit Suisse X-Links Silver Shares Covered Call ETNs due April 21, 2033",SLVO,12/19/2023,12/27/2023,12/20/2023,0.3258,8.1756,12/05/2023
Ecopetrol S.A. American Depositary Shares,EC,12/19/2023,12/29/2023,12/20/2023,0.8275991,2.4837,3/08/2023
Fidus Investment Corporation Common Stock,FDUS,12/19/2023,12/27/2023,12/20/2023,0.8,2.8,10/30/2023
Ituran Location and Control Ltd. Ordinary Shares,ITRN,12/19/2023,1/04/2024,12/20/2023,0.24,0.6,11/27/2023
Main Street Capital Corporation Common Stock,MAIN,12/19/2023,12/27/2023,12/20/2023,0.275,2.82,11/01/2023
Mercer International Inc. Common Stock,MERC,12/19/2023,12/28/2023,12/20/2023,0.075,0.3,11/02/2023
RPT Realty 7.25% ,RPT^D,12/19/2023,1/02/2024,12/20/2023,0.90625,3.625,10/25/2023
"Saga Communications, Inc. Class A Common Stock (FL)",SGA,12/19/2023,1/12/2024,12/20/2023,2.0,1.0,12/07/2023
Silver Spike Investment Corp. Common Stock,SSIC,12/19/2023,12/29/2023,12/20/2023,0.7,0.0,12/12/2023
Vistra Corp. Common Stock,VST,12/19/2023,12/29/2023,12/20/2023,0.213,0.824,11/01/2023
"WhiteHorse Finance, Inc. Common Stock",WHF,12/19/2023,1/03/2024,12/20/2023,0.385,1.48,11/09/2023
"Tootsie Roll Industries, Inc. Common Stock",TR,12/19/2023,1/11/2024,12/20/2023,0.09,0.36,12/05/2023
"One Liberty Properties, Inc. Common Stock",OLP,12/19/2023,1/05/2024,12/20/2023,0.45,1.8,12/05/2023
MFS Municipal Income Trust Common Stock,MFM,12/19/2023,12/29/2023,12/20/2023,0.0175,0.21,12/01/2023
MFS Multimarket Income Trust Common Stock,MMT,12/19/2023,12/29/2023,12/20/2023,0.03211,0.3853,12/01/2023
MFS Municipal Income Trust Common Stock,CMU,12/19/2023,12/29/2023,12/20/2023,0.011,0.132,12/01/2023
MFS Government Markets Income Trust Common Stock,MGF,12/19/2023,12/29/2023,12/20/2023,0.01969,0.2363,12/01/2023
MFS Intermediate Income Trust Common Stock,MIN,12/19/2023,12/29/2023,12/20/2023,0.02017,0.242,12/01/2023
MFS Intermediate High Income Fund Common Stock,CIF,12/19/2023,12/29/2023,12/20/2023,0.01411,0.1693,12/01/2023
MFS High Income Municipal Trust Common Stock,CXE,12/19/2023,12/29/2023,12/20/2023,0.0125,0.15,12/01/2023
MFS Investment Grade Municipal Trust Common Stock,CXH,12/19/2023,12/29/2023,12/20/2023,0.022,0.264,12/01/2023
MFS Charter Income Trust Common Stock,MCR,12/19/2023,12/29/2023,12/20/2023,0.04395,0.5274,12/01/2023
MFS Special Value Trust Common Stock,MFV,12/19/2023,12/29/2023,12/20/2023,0.0354,0.4248,12/01/2023
"Dine Brands Global, Inc. Common Stock",DIN,12/19/2023,1/05/2024,12/20/2023,0.51,2.04,11/30/2023
"Redwood Trust, Inc. Common Stock",RWT,12/19/2023,12/28/2023,12/20/2023,0.16,0.64,12/07/2023
Nordic American Tankers Limited Common Stock,NAT,12/19/2023,1/17/2024,12/20/2023,0.06,0.24,11/29/2023
CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,IGR,12/19/2023,12/29/2023,12/20/2023,0.06,0.72,10/09/2023
Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,BGH,12/19/2023,1/02/2024,12/20/2023,0.1056,1.2672,10/10/2023
Main Street Capital Corporation Common Stock,MAIN,12/19/2023,12/27/2023,12/20/2023,0.275,2.88,11/01/2023
Ecopetrol S.A. American Depositary Shares,EC,12/19/2023,12/29/2023,12/20/2023,0.1479351,2.3358,11/29/2023
Ecopetrol S.A. American Depositary Shares,EC,12/19/2023,12/29/2023,12/20/2023,0.679664,2.3358,3/08/2023
Medtronic plc. Ordinary Shares,MDT,12/19/2023,1/12/2024,12/20/2023,0.69,2.76,12/07/2023
Vistra Corp. Common Stock,VST,12/19/2023,12/29/2023,12/20/2023,0.213,0.852,11/01/2023
BRT Apartments Corp. (MD) Common Stock,BRT,12/19/2023,1/05/2024,12/20/2023,0.25,1.0,12/04/2023
UWM Holdings Corporation Class A Common Stock,UWMC,12/19/2023,1/11/2024,12/20/2023,0.1,0.4,11/08/2023
Diamond Bancshares Inc,DMNB,12/19/2023,1/04/2024,12/20/2023,0.33,1.32,12/04/2023
Lake Ridge Bancorp Inc,LRBI,12/19/2023,12/29/2023,12/20/2023,0.45,2.34,12/05/2023
Constellation Software Inc,CNSWF,12/19/2023,1/11/2024,12/20/2023,1.0,4.0,11/09/2023
"Tootsie Roll Industries, Inc. - Class B",TROLB,12/19/2023,1/11/2024,12/20/2023,0.09,0.36,12/05/2023
