companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Cathay General Bancorp Common Stock,CATY,2/27/2024,3/11/2024,2/28/2024,0.34,1.36,2/15/2024
Electronic Arts Inc. Common Stock,EA,2/27/2024,3/20/2024,2/28/2024,0.19,0.76,1/26/2024
Embecta Corp. Common Stock,EMBC,2/27/2024,3/15/2024,2/28/2024,0.15,0.6,2/09/2024
"Equinix, Inc. Common Stock REIT",EQIX,2/27/2024,3/20/2024,2/28/2024,4.26,17.04,2/14/2024
Perella Weinberg Partners Class A Common Stock,PWP,2/27/2024,3/11/2024,2/28/2024,0.07,0.28,2/08/2024
Hyatt Hotels Corporation Class A Common Stock,H,2/27/2024,3/12/2024,2/28/2024,0.15,0.6,2/15/2024
Sonoco Products Company Common Stock,SON,2/27/2024,3/08/2024,2/28/2024,0.51,2.04,2/14/2024
"Hercules Capital, Inc. Common Stock",HTGC,2/27/2024,3/06/2024,2/28/2024,0.08,1.6,2/13/2024
"Hercules Capital, Inc. Common Stock",HTGC,2/27/2024,3/06/2024,2/28/2024,0.4,1.6,2/13/2024
Danaos Corporation Common Stock,DAC,2/27/2024,3/14/2024,2/28/2024,0.8,3.2,2/13/2024
Employers Holdings Inc Common Stock,EIG,2/27/2024,3/13/2024,2/28/2024,0.28,1.12,2/15/2024
"Century Communities, Inc. Common Stock",CCS,2/27/2024,3/13/2024,2/28/2024,0.26,1.04,2/07/2024
"Waste Connections, Inc. Common Shares",WCN,2/27/2024,3/13/2024,2/28/2024,0.285,1.14,2/13/2024
"Maiden Holdings, Ltd. 6.625% Notes due 2046",MHLA,2/27/2024,3/14/2024,2/28/2024,0.4140625,1.6562,N/A
Amcor plc Ordinary Shares,AMCR,2/27/2024,3/19/2024,2/28/2024,0.125,0.5,2/06/2024
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC,2/27/2024,3/15/2024,2/28/2024,0.31875,1.275,N/A
Thai Oil Public Co Limited ADR,TOIPY,2/27/2024,5/15/2024,2/28/2024,0.636679,1.2734,N/A
