companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"American Assets Trust, Inc. Common Stock",AAT,12/06/2023,12/21/2023,12/07/2023,0.33,1.32,10/24/2023
"Aris Water Solutions, Inc. Class A Common Stock",ARIS,12/06/2023,12/21/2023,12/07/2023,0.09,0.36,11/01/2023
"Dun & Bradstreet Holdings, Inc. Common Stock",DNB,12/06/2023,12/21/2023,12/07/2023,0.05,0.2,10/26/2023
"General American Investors Company, Inc. Cumulative Preferred Stock",GAM^B,12/06/2023,12/26/2023,12/07/2023,0.371875,1.4875,11/01/2023
"Hibbett, Inc. Common Stock",HIBB,12/06/2023,12/19/2023,12/07/2023,0.25,1.0,11/20/2023
Kimco Realty Corporation (HC) Common Stock,KIM,12/06/2023,12/21/2023,12/07/2023,0.24,0.96,10/26/2023
Mosaic Company (The) Common Stock,MOS,12/06/2023,12/21/2023,12/07/2023,0.2,0.8,10/18/2023
"Popular, Inc. Common Stock",BPOP,12/06/2023,1/02/2024,12/07/2023,0.62,2.2,11/16/2023
RPT Realty Common Stock,RPT,12/06/2023,12/21/2023,12/07/2023,0.14,0.56,10/25/2023
Unifirst Corporation Common Stock,UNF,12/06/2023,1/04/2024,12/07/2023,0.33,1.32,10/24/2023
"Willamette Valley Vineyards, Inc. Series A Redeemable Preferred Stock",WVVIP,12/06/2023,12/29/2023,12/07/2023,0.22,0.22,11/08/2023
Halliburton Company Common Stock,HAL,12/06/2023,12/27/2023,12/07/2023,0.16,0.64,11/17/2023
Unifirst Corporation Common Stock,UNF,12/06/2023,1/04/2024,12/07/2023,0.33,1.32,10/24/2023
RPT Realty Common Stock,RPT,12/06/2023,12/21/2023,12/07/2023,0.05444,0.56,11/13/2023
RPT Realty Common Stock,RPT,12/06/2023,12/21/2023,12/07/2023,0.14,0.56,10/25/2023
Kimco Realty Corporation (HC) Common Stock,KIM,12/06/2023,12/21/2023,12/07/2023,0.09,0.96,11/13/2023
Kimco Realty Corporation (HC) Common Stock,KIM,12/06/2023,12/21/2023,12/07/2023,0.24,0.96,10/26/2023
Sociedad Quimica y Minera S.A. Common Stock,SQM,12/06/2023,1/01/0001,12/07/2023,0.50347,2.0139,11/17/2023
"Medical Properties Trust, Inc. common stock",MPW,12/06/2023,1/11/2024,12/07/2023,0.15,0.6,11/09/2023
Franco-Nevada Corporation,FNV,12/06/2023,12/21/2023,12/07/2023,0.34,1.36,11/08/2023
"BlackRock, Inc. Common Stock",BLK,12/06/2023,12/22/2023,12/07/2023,5.0,20.0,11/08/2023
"American Assets Trust, Inc. Common Stock",AAT,12/06/2023,12/21/2023,12/07/2023,0.33,1.32,10/24/2023
Mosaic Company (The) Common Stock,MOS,12/06/2023,12/21/2023,12/07/2023,0.2,0.8,10/18/2023
Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),NVGS,12/06/2023,12/21/2023,12/07/2023,0.05,0.2,11/13/2023
"BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, Inc. Common Stock",DCF,12/06/2023,12/21/2023,12/07/2023,0.035,0.42,11/22/2023
"Dun & Bradstreet Holdings, Inc. Common Stock",DNB,12/06/2023,12/21/2023,12/07/2023,0.05,0.2,10/26/2023
"Aris Water Solutions, Inc. Class A Common Stock",ARIS,12/06/2023,12/21/2023,12/07/2023,0.09,0.36,11/01/2023
Cool Company Ltd. Common Shares,CLCO,12/06/2023,12/15/2023,12/07/2023,0.41,1.64,11/27/2023
CMUV Bancorp,CMUV,12/06/2023,12/29/2023,12/07/2023,0.12,0.48,11/16/2023
OTC Markets Group Inc - Class A,OTCM,12/06/2023,12/21/2023,12/07/2023,0.18,0.72,11/08/2023
First Robinson Financial Corp.,FRFC,12/06/2023,12/21/2023,12/07/2023,0.32,1.28,11/21/2023
First Group ADR,FGROY,12/06/2023,1/18/2024,12/07/2023,0.015893,0.0318,N/A
VTech Holdings Ltd. ADR,VTKLY,12/06/2023,1/04/2024,12/07/2023,0.1496,0.2992,N/A
Severn Trent plc ADR,STRNY,12/06/2023,1/22/2024,12/07/2023,0.539297,1.0786,N/A
Proximus SA ADR,BGAOY,12/06/2023,12/26/2023,12/07/2023,0.066966,0.1339,N/A
Grupo Nutresa S.A. ADR,GCHOY,12/06/2023,12/26/2023,12/07/2023,0.011827,0.2579,N/A
Grupo Nutresa S.A. ADR,GCHOY,12/06/2023,12/26/2023,12/07/2023,0.023648,0.2579,N/A
