companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Amcor plc Ordinary Shares,AMCR,11/21/2023,12/12/2023,11/22/2023,0.125,0.5,10/31/2023
"Barnes Group, Inc. Common Stock",B,11/21/2023,12/08/2023,11/22/2023,0.16,0.64,10/12/2023
BrandywineGLOBAL Global Income Opportunities Fund Inc.,BWG,11/21/2023,12/01/2023,11/22/2023,0.08,0.99,8/02/2023
Brunswick Corporation Common Stock,BC,11/21/2023,12/15/2023,11/22/2023,0.4,1.6,10/17/2023
Discover Financial Services Common Stock,DFS,11/21/2023,12/07/2023,11/22/2023,0.7,2.8,10/18/2023
E-mini S&P MidCap 400 Futures ,EMD,11/21/2023,12/01/2023,11/22/2023,0.0845,1.014,8/02/2023
"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EVM,11/21/2023,11/30/2023,11/22/2023,0.0292,0.3504,11/01/2023
Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,ETV,11/21/2023,11/30/2023,11/22/2023,0.0949,1.1388,11/01/2023
Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,ETW,11/21/2023,11/30/2023,11/22/2023,0.0582,0.6984,11/01/2023
Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,EOI,11/21/2023,11/30/2023,11/22/2023,0.1095,1.314,11/01/2023
Eaton Vance Enhance Equity Income Fund II Common Stock,EOS,11/21/2023,11/30/2023,11/22/2023,0.1152,1.3824,11/01/2023
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,EFT,11/21/2023,11/30/2023,11/22/2023,0.116,1.392,11/01/2023
"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EIM,11/21/2023,11/30/2023,11/22/2023,0.0333,0.3996,11/01/2023
Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,ETX           ,11/21/2023,11/30/2023,11/22/2023,0.0583,0.6996,11/01/2023
Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,EOT,11/21/2023,11/30/2023,11/22/2023,0.0625,0.75,11/01/2023
"Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",ENX,11/21/2023,11/30/2023,11/22/2023,0.0297,0.3564,11/01/2023
Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,ETJ,11/21/2023,11/30/2023,11/22/2023,0.0579,0.6948,11/01/2023
Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,EFR,11/21/2023,11/30/2023,11/22/2023,0.118,1.416,11/01/2023
Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,EVG,11/21/2023,11/30/2023,11/22/2023,0.0744,1.0655,11/01/2023
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,EVT,11/21/2023,11/30/2023,11/22/2023,0.1488,1.7856,11/01/2023
Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,ETO,11/21/2023,11/30/2023,11/22/2023,0.1374,1.6488,11/01/2023
Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,ETG,11/21/2023,11/30/2023,11/22/2023,0.1001,1.2012,11/01/2023
Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,ETB,11/21/2023,11/30/2023,11/22/2023,0.0932,1.1184,11/01/2023
"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",ETY,11/21/2023,11/30/2023,11/22/2023,0.0805,0.966,11/01/2023
Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,EXG,11/21/2023,11/30/2023,11/22/2023,0.0553,0.6636,11/01/2023
Ecofin Sustainable and Social Impact Term Fund,TEAF,11/21/2023,11/30/2023,11/22/2023,0.09,1.08,8/10/2023
EOS,EOS,11/21/2023,11/30/2023,11/22/2023,0.1152,1.3824,11/01/2023
"Evergy, Inc. Common Stock",EVRG,11/21/2023,12/20/2023,11/22/2023,0.6425,2.45,10/31/2023
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,DFP,11/21/2023,11/30/2023,11/22/2023,0.104,1.248,10/19/2023
Flaherty & Crumrine Preferred and Income Fund Incorporated,PFD,11/21/2023,11/30/2023,11/22/2023,0.055,0.66,10/19/2023
Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,PFO,11/21/2023,11/30/2023,11/22/2023,0.045,0.54,10/19/2023
Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,FFC,11/21/2023,11/30/2023,11/22/2023,0.0815,0.978,10/19/2023
Flaherty & Crumrine Total Return Fund Inc Common Stock,FLC,11/21/2023,11/30/2023,11/22/2023,0.0835,1.002,10/19/2023
Forward Air Corporation Common Stock,FWRD,11/21/2023,12/07/2023,11/22/2023,0.24,0.96,10/24/2023
"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",GIL,11/21/2023,12/18/2023,11/22/2023,0.186,0.744,11/01/2023
Highland Opportunities and Income Fund Common Shares of Beneficial Interest,HFRO,11/21/2023,11/30/2023,11/22/2023,0.077,0.924,11/01/2023
"Kelly Services, Inc. Class A Common Stock",KELYA,11/21/2023,12/06/2023,11/22/2023,0.075,0.3,11/07/2023
"Kelly Services, Inc. Class B Common Stock",KELYB,11/21/2023,12/06/2023,11/22/2023,0.075,0.3,11/07/2023
"Littelfuse, Inc. Common Stock",LFUS,11/21/2023,12/07/2023,11/23/2023,0.65,2.6,10/25/2023
LMP Capital and Income Fund Inc. Common Stock,SCD,11/21/2023,12/01/2023,11/22/2023,0.113,1.356,8/02/2023
Marriott International Class A Common Stock,MAR,11/21/2023,12/29/2023,11/22/2023,0.52,2.08,11/09/2023
Microchip Technology Incorporated Common Stock,MCHP,11/21/2023,12/06/2023,11/22/2023,0.439,1.64,11/02/2023
"Newmark Group, Inc. Class A Common Stock",NMRK,11/21/2023,12/06/2023,11/22/2023,0.03,0.12,10/31/2023
