companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Amdocs Limited Ordinary Shares,DOX,6/28/2024,7/26/2024,6/28/2024,0.479,1.916,5/08/2024
BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,BANFP,6/28/2024,7/15/2024,6/28/2024,0.45,1.8,5/23/2024
BancFirst Corporation Common Stock,BANF,6/28/2024,7/15/2024,6/28/2024,0.43,1.72,5/23/2024
"Carlyle Secured Lending, Inc. Common Stock",CGBD,6/28/2024,7/17/2024,6/28/2024,0.47,1.92,5/02/2024
Colliers International Group Inc. Subordinate Voting Shares,CIGI,6/28/2024,7/12/2024,6/28/2024,0.15,0.3,5/14/2024
"Crescent Capital BDC, Inc. Common stock",CCAP,6/28/2024,7/15/2024,6/28/2024,0.42,1.64,6/13/2024
DENTSPLY SIRONA Inc. Common Stock,XRAY,6/28/2024,7/12/2024,6/28/2024,0.16,0.64,5/21/2024
FirstService Corporation Common Shares,FSV,6/28/2024,7/05/2024,6/28/2024,0.25,1.0,5/07/2024
"Heartland Financial USA, Inc. Depositary Shares, each representing a 1/400th ownership interest in a share of 7.00% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series E",HTLFP,6/28/2024,7/15/2024,6/30/2024,0.4375,1.75,6/13/2024
"Himax Technologies, Inc. American Depositary Shares",HIMX,6/28/2024,7/12/2024,6/28/2024,0.29,0.48,5/13/2024
"John Marshall Bancorp, Inc. Common Stock",JMSB,6/28/2024,7/08/2024,6/28/2024,0.25,0.22,4/24/2024
Keurig Dr Pepper Inc. Common Stock,KDP,6/28/2024,7/12/2024,6/28/2024,0.215,0.86,5/15/2024
"Lincoln Electric Holdings, Inc. Common Shares",LECO,6/28/2024,7/15/2024,6/30/2024,0.71,2.84,4/18/2024
"Mondelez International, Inc. Class A Common Stock",MDLZ,6/28/2024,7/12/2024,6/28/2024,0.425,1.7,5/22/2024
National Research Corporation Common Stock (Delaware),NRC,6/28/2024,7/15/2024,6/28/2024,0.12,0.48,5/07/2024
"Presidio Property Trust, Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value per share",SQFTP,6/28/2024,7/15/2024,6/28/2024,0.19531,2.34372,4/03/2024
"Steel Dynamics, Inc.",STLD,6/28/2024,7/12/2024,6/30/2024,0.46,1.84,5/10/2024
TowneBank Common Stock,TOWN,6/28/2024,7/12/2024,6/28/2024,0.25,1.0,5/29/2024
Vox Royalty Corp. Common Stock,VOXR,6/28/2024,7/12/2024,6/28/2024,0.012,0.048,5/08/2024
"WaFd, Inc. Depositary Shares",WAFDP,6/28/2024,7/15/2024,6/30/2024,0.3046875,1.21875,5/14/2024
Willis Towers Watson Public Limited Company Ordinary Shares,WTW,6/28/2024,7/15/2024,6/30/2024,0.88,3.52,5/20/2024
Xerox Holdings Corporation Common Stock,XRX,6/28/2024,7/31/2024,6/28/2024,0.25,1.0,5/22/2024
York Water Company (The) Common Stock,YORW,6/28/2024,7/15/2024,6/28/2024,0.2108,0.8432,5/06/2024
National HealthCare Corporation Common Stock,NHC,6/28/2024,8/01/2024,6/28/2024,0.61,2.44,5/09/2024
Algonquin Power & Utilities Corp. Common Shares,AQN,6/28/2024,7/15/2024,6/28/2024,0.1085,0.434,5/10/2024
CTS Corporation Common Stock,CTS,6/28/2024,7/26/2024,6/28/2024,0.04,0.16,5/09/2024
Deere & Company Common Stock,DE,6/28/2024,8/08/2024,6/28/2024,1.47,5.88,5/29/2024
Nucor Corporation Common Stock,NUE,6/28/2024,8/09/2024,6/28/2024,0.54,2.16,6/06/2024
Pacific Gas & Electric Co. Common Stock,PCG,6/28/2024,7/15/2024,6/28/2024,0.01,0.04,5/17/2024
"Dillard's, Inc. Common Stock",DDS,6/28/2024,8/05/2024,6/28/2024,0.25,1.0,5/20/2024
"EastGroup Properties, Inc. Common Stock",EGP,6/28/2024,7/15/2024,6/28/2024,1.27,5.08,5/23/2024
"Valmont Industries, Inc. Common Stock",VMI,6/28/2024,7/15/2024,6/28/2024,0.6,2.4,5/06/2024
Illinois Tool Works Inc. Common Stock,ITW,6/28/2024,7/11/2024,6/28/2024,1.4,5.6,5/03/2024
Regal Rexnord Corporation Common Stock,RRX,6/28/2024,7/12/2024,6/28/2024,0.35,1.4,4/22/2024
Danaher Corporation Common Stock,DHR,6/28/2024,7/26/2024,6/28/2024,0.27,1.08,5/07/2024
Stryker Corporation Common Stock,SYK,6/28/2024,7/31/2024,6/28/2024,0.8,3.2,5/09/2024
"Franklin Resources, Inc. Common Stock",BEN,6/28/2024,7/12/2024,6/28/2024,0.31,1.24,5/21/2024
Greystone Housing Impact Investors LP Beneficial Unit Certificates representing assignments of limited partnership interests,GHI,6/28/2024,7/31/2024,6/28/2024,0.37,1.48,6/12/2024
FMC Corporation Common Stock,FMC,6/28/2024,7/18/2024,6/28/2024,0.58,2.32,4/30/2024
"DNP Select Income Fund, Inc. Common Stock",DNP,6/28/2024,7/10/2024,6/28/2024,0.065,0.78,3/15/2024
OFG Bancorp Common Stock,OFG,6/28/2024,7/15/2024,6/28/2024,0.25,1.0,5/08/2024
Granite Construction Incorporated Common Stock,GVA,6/28/2024,7/15/2024,6/28/2024,0.13,0.52,6/05/2024
