companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
ACNB Corporation Common Stock,ACNB,11/30/2023,12/15/2023,12/01/2023,0.3,1.12,10/17/2023
"Advanced Drainage Systems, Inc. Common Stock",WMS,11/30/2023,12/15/2023,12/01/2023,0.14,0.56,11/02/2023
Agnico Eagle Mines Limited Common Stock,AEM,11/30/2023,12/15/2023,12/01/2023,0.4,1.6,10/25/2023
"AMERISAFE, Inc. Common Stock",AMSF,11/30/2023,12/15/2023,12/01/2023,3.84,1.36,10/24/2023
"Argo Group International Holdings, Ltd. 6.5% Senior Notes Due 2042",ARGD,11/30/2023,12/15/2023,12/01/2023,0.40625,1.625,11/19/2023
Arrow Financial Corporation Common Stock,AROW,11/30/2023,12/15/2023,12/01/2023,0.27,1.048544,10/25/2023
Arthur J. Gallagher & Co. Common Stock,AJG,11/30/2023,12/15/2023,12/01/2023,0.55,2.2,10/25/2023
Associated Banc-Corp Common Stock,ASB,11/30/2023,12/15/2023,12/01/2023,0.22,0.88,10/24/2023
"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series E",ASB^E,11/30/2023,12/15/2023,12/01/2023,0.3671875,1.4688,10/24/2023
"Associated Banc-Corp Depositary Shares, each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock, Series F",ASB^F,11/30/2023,12/15/2023,12/01/2023,0.3515625,1.4062,10/24/2023
"Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",ATLCP,11/30/2023,12/15/2023,12/01/2023,0.476563,1.906252,11/13/2023
Atrion Corporation Common Stock,ATRI,11/30/2023,12/15/2023,12/01/2023,2.2,8.8,11/13/2023
"Avangrid, Inc. Common Stock",AGR,11/30/2023,1/02/2024,12/01/2023,0.44,1.76,10/18/2023
Ball Corporation Common Stock,BALL,11/30/2023,12/15/2023,12/01/2023,0.2,0.8,10/25/2023
Bank of America Corporation Common Stock,BAC,11/30/2023,12/29/2023,12/01/2023,0.24,0.96,10/18/2023
"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",BAC^N,11/30/2023,12/18/2023,12/01/2023,0.3125,1.25,10/16/2023
"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",BAC^M,11/30/2023,12/26/2023,12/01/2023,0.3359375,1.3438,10/16/2023
BayFirst Financial Corp. Common Stock,BAFN,11/30/2023,12/15/2023,12/01/2023,0.08,0.32,10/24/2023
Big 5 Sporting Goods Corporation Common Stock,BGFV,11/30/2023,12/15/2023,12/01/2023,0.125,1.0,10/26/2023
"Boise Cascade, L.L.C. Common Stock",BCC,11/30/2023,12/15/2023,12/01/2023,0.2,0.8,10/26/2023
"Boise Cascade, L.L.C. Common Stock",BCC,11/30/2023,12/15/2023,12/01/2023,5.0,0.8,10/26/2023
"Brighthouse Financial, Inc. 6.25% Junior Subordinated Debentures due 2058",BHFAL,11/30/2023,12/15/2023,12/01/2023,0.390625,1.5625,11/19/2023
