companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"CRA International, Inc. Common Stock",CRAI,11/27/2023,12/08/2023,11/28/2023,0.42,1.44,11/01/2023
"H&E Equipment Services, Inc. Common Stock",HEES,11/27/2023,12/15/2023,11/28/2023,0.275,1.1,11/09/2023
"Magyar Bancorp, Inc. Common Stock",MGYR,11/27/2023,12/12/2023,11/28/2023,0.07,0.16,11/14/2023
Prospect Capital Corporation Common Stock,PSEC,11/27/2023,12/19/2023,11/28/2023,0.06,0.72,11/07/2023
"Yum China Holdings, Inc. Common Stock",YUMC,11/27/2023,12/19/2023,11/28/2023,0.13,0.52,10/31/2023
Wheaton Precious Metals Corp Common Shares (Canada),WPM,11/27/2023,12/08/2023,11/28/2023,0.15,0.6,11/09/2023
Griffon Corporation Common Stock,GFF,11/27/2023,12/14/2023,11/28/2023,0.15,0.6,11/15/2023
"Nordstrom, Inc. Common Stock",JWN,11/27/2023,12/13/2023,11/28/2023,0.19,0.76,11/15/2023
KeyCorp Common Stock,KEY,11/27/2023,12/15/2023,11/28/2023,0.205,0.82,11/16/2023
"Haverty Furniture Companies, Inc. Common Stock",HVT,11/27/2023,12/13/2023,11/28/2023,1.0,1.2,11/10/2023
"Haverty Furniture Companies, Inc. Common Stock",HVT,11/27/2023,12/13/2023,11/28/2023,0.3,1.2,11/10/2023
"Haverty Furniture Companies, Inc. Common Stock",HVT.A,11/27/2023,12/13/2023,11/28/2023,0.95,1.12,11/10/2023
"Haverty Furniture Companies, Inc. Common Stock",HVT.A,11/27/2023,12/13/2023,11/28/2023,0.28,1.12,11/10/2023
"Autoliv, Inc. Common Stock",ALV,11/27/2023,12/13/2023,11/28/2023,0.68,2.72,11/09/2023
"Yum! Brands, Inc.",YUM,11/27/2023,12/08/2023,11/28/2023,0.605,2.42,11/16/2023
"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",ASR,11/27/2023,12/11/2023,11/28/2023,5.711446,0.0,11/08/2023
"Carter's, Inc. Common Stock",CRI,11/27/2023,12/08/2023,11/28/2023,0.75,3.0,11/16/2023
"W&T Offshore, Inc. Common Stock",WTI,11/27/2023,12/22/2023,11/28/2023,0.01,0.04,11/08/2023
Dolby Laboratories Common Stock,DLB,11/27/2023,12/05/2023,11/28/2023,0.3,1.2,11/16/2023
Aramark Common Stock,ARMK,11/27/2023,12/08/2023,11/28/2023,0.095,0.38,11/14/2023
"Cable One, Inc. Common Stock",CABO,11/27/2023,12/15/2023,11/28/2023,2.95,11.8,11/16/2023
"Live Oak Bancshares, Inc. Common Stock",LOB,11/27/2023,12/12/2023,11/28/2023,0.03,0.12,11/14/2023
"Yum China Holdings, Inc. Common Stock",YUMC,11/27/2023,12/19/2023,11/28/2023,0.13,0.52,10/31/2023
FLEX LNG Ltd. Ordinary Shares,FLNG,11/27/2023,12/08/2023,11/28/2023,0.125,3.0,11/07/2023
FLEX LNG Ltd. Ordinary Shares,FLNG,11/27/2023,12/08/2023,11/28/2023,0.75,3.0,11/07/2023
"Excelerate Energy, Inc. Class A Common Stock",EE,11/27/2023,12/13/2023,11/28/2023,0.025,0.1,11/07/2023
Jeffersonville Bancorp,JFBC,11/27/2023,12/05/2023,11/28/2023,0.15,0.6,11/14/2023
Wal-mart de Mexico S A B de C V ADR,WMMVY,11/27/2023,12/11/2023,11/28/2023,0.467785,1.8711,N/A
Sanford ADR,SARDY,11/27/2023,12/21/2023,11/28/2023,0.096414,1.1535,N/A
Sanford ADR,SARDY,11/27/2023,12/21/2023,11/28/2023,0.46439835,1.1535,N/A
Man Wah Holdings Ltd ADR,MAWHY,11/27/2023,1/05/2024,11/28/2023,0.338167,0.6763,N/A
