companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
First United Corporation Common Stock,FUNC,1/17/2024,2/01/2024,1/18/2024,0.2,0.8,11/29/2023
Horizon Technology Finance Corporation Common Stock,HRZN,1/17/2024,2/14/2024,1/18/2024,0.11,1.32,10/27/2023
"Credit Suisse Asset Management Income Fund, Inc. Common Stock",CIK,1/17/2024,1/24/2024,1/18/2024,0.0225,0.27,1/02/2024
Credit Suisse High Yield Bond Fund Common Stock,DHY,1/17/2024,1/24/2024,1/18/2024,0.0155,0.186,1/02/2024
Accenture plc Class A Ordinary Shares (Ireland),ACN,1/17/2024,2/15/2024,1/18/2024,1.29,5.16,11/15/2023
Commercial Metals Company Common Stock,CMC,1/17/2024,2/01/2024,1/18/2024,0.16,0.64,1/04/2024
Certificate of Deposit Index,CODI,1/17/2024,1/25/2024,1/18/2024,0.25,1.0,1/04/2024
DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DSL,1/17/2024,1/31/2024,1/18/2024,0.11,1.32,1/02/2024
DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,DBL,1/17/2024,1/31/2024,1/18/2024,0.11,1.32,1/02/2024
DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,DLY,1/17/2024,1/31/2024,1/18/2024,0.1167,1.4004,1/02/2024
Fairfax Financial Holdings Ltd. Subordinate Voting Shares,FRFHF,1/17/2024,1/25/2024,1/18/2024,15.0,15.0,1/03/2024
Massachusetts Electric Company 4.44% PRF PERPETUAL USD,MSSEL,1/17/2024,2/01/2024,1/18/2024,1.11,4.44,11/09/2023
