companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"First Horizon Corporation Depositary Shares, each representing 1/4000th Interest in a Share of Non-Cumulative Perpetual Preferred Stock, Series F",FHN^F,12/22/2023,1/10/2024,12/26/2023,0.29375,1.175,10/24/2023
"First Horizon Corporation Depositary Shares, each representing a 1/4,000th interest in a share of Non-Cumulative Perpetual Preferred Stock, Series E",FHN^E,12/22/2023,1/10/2024,12/26/2023,0.40625,1.625,10/24/2023
Portland General Electric Co Common Stock,POR,12/22/2023,1/15/2024,12/26/2023,0.475,1.9,10/20/2023
Portland General Electric Co Common Stock,POR,12/22/2023,1/15/2024,12/26/2023,0.475,1.9,10/20/2023
