companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Amkor Technology, Inc. Common Stock",AMKR,6/04/2024,6/24/2024,6/04/2024,0.07875,0.315,5/14/2024
"Cass Information Systems, Inc Common Stock",CASS,6/04/2024,6/14/2024,6/04/2024,0.3,1.2,4/16/2024
Linde plc Ordinary Shares,LIN,6/04/2024,6/18/2024,6/04/2024,1.39,5.56,4/29/2024
"Orange County Bancorp, Inc. Common Stock",OBT,6/04/2024,6/14/2024,6/04/2024,0.23,0.92,5/16/2024
"Stanley Black & Decker, Inc. Common Stock",SWK,6/04/2024,6/18/2024,6/04/2024,0.81,3.24,4/26/2024
La-Z-Boy Incorporated Common Stock,LZB,6/04/2024,6/14/2024,6/04/2024,0.2,0.8,5/01/2024
Newmont Corporation,NEM,6/04/2024,6/27/2024,6/04/2024,0.25,1.0,4/25/2024
The Cigna Group Common Stock,CI,6/04/2024,6/20/2024,6/04/2024,1.4,5.6,4/24/2024
"L3Harris Technologies, Inc. Common Stock",LHX,6/04/2024,6/18/2024,6/04/2024,1.16,4.64,4/19/2024
Old Republic International Corporation Common Stock,ORI,6/04/2024,6/14/2024,6/04/2024,0.265,1.06,5/17/2024
FutureFuel Corp.  Common shares,FF,6/04/2024,6/18/2024,6/04/2024,0.06,0.24,2/06/2024
Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),ITUB,6/04/2024,7/09/2024,6/04/2024,0.0034792,0.0418,5/06/2024
Whitestone REIT Common Shares,WSR,6/04/2024,6/13/2024,6/04/2024,0.04125,0.495,3/05/2024
Air Lease Corporation Class A Common Stock,AL,6/04/2024,7/08/2024,6/04/2024,0.21,0.84,5/03/2024
Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),NVGS,6/04/2024,6/25/2024,6/04/2024,0.05,0.2,5/14/2024
"Corteva, Inc. Common Stock ",CTVA,6/04/2024,6/18/2024,6/04/2024,0.16,0.64,4/26/2024
"CSB Bancorp, Inc.",CSBB,6/04/2024,6/18/2024,6/04/2024,0.39,1.56,5/09/2024
Farmers and Merchants Bancshares Inc (IA),FMBN,6/04/2024,6/27/2024,6/04/2024,0.5,1.0,5/16/2024
New Tripoli Bancorp Inc,NTBP,6/04/2024,6/14/2024,6/04/2024,21.0,42.0,5/07/2024
Anhui Conch Cement Company Limited ADR,AHCHY,6/04/2024,7/18/2024,6/04/2024,0.549608,0.5496,N/A
Eramet ADR,ERMAY,6/04/2024,6/21/2024,6/05/2024,0.15978,0.1598,N/A
Kunlun Energy Company Limited ADR,KLYCY,6/04/2024,8/02/2024,6/04/2024,0.345528,0.3455,N/A
Xinyi Glass Holdings Ltd. ADR,XYIGY,6/04/2024,8/22/2024,6/05/2024,0.895445,1.7909,N/A
Xinyi Solar Holdings Limited ADR,XISHY,6/04/2024,8/22/2024,6/05/2024,0.337294,0.7298,N/A
