companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
ACNB Corporation Common Stock,ACNB,5/31/2024,6/14/2024,5/31/2024,0.32,1.2,4/23/2024
AGNC Investment Corp. Common Stock,AGNC,5/31/2024,6/11/2024,5/31/2024,0.12,1.44,5/08/2024
"AMMO, Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock",POWWP,5/31/2024,6/17/2024,5/31/2024,0.5590278,2.211806,5/15/2024
Ark Restaurants Corp. Common Stock,ARKR,5/31/2024,6/12/2024,5/31/2024,0.1875,0.75,5/07/2024
Atlantica Sustainable Infrastructure plc Ordinary Shares,AY,5/31/2024,6/14/2024,5/31/2024,0.445,1.78,5/07/2024
"Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",ATLCP,5/31/2024,6/15/2024,6/01/2024,0.476563,1.906252,5/07/2024
BayFirst Financial Corp. Common Stock,BAFN,5/31/2024,6/15/2024,6/01/2024,0.08,0.32,4/23/2024
Big 5 Sporting Goods Corporation Common Stock,BGFV,5/31/2024,6/14/2024,5/31/2024,0.05,0.2,4/25/2024
"Brighthouse Financial, Inc. 6.25% Junior Subordinated Debentures due 2058",BHFAL,5/31/2024,6/17/2024,6/01/2024,0.390625,1.5625,5/21/2024
CNB Financial Corporation Common Stock,CCNE,5/31/2024,6/14/2024,5/31/2024,0.175,0.7,5/14/2024
"Crescent Capital BDC, Inc. Common stock",CCAP,5/31/2024,6/17/2024,5/31/2024,0.11,1.64,5/21/2024
CSX Corporation Common Stock,CSX,5/31/2024,6/14/2024,5/31/2024,0.12,0.48,5/08/2024
eBay Inc. Common Stock,EBAY,5/31/2024,6/14/2024,5/31/2024,0.27,1.08,4/26/2024
"First Citizens BancShares, Inc. 5.625% Non-Cumulative Perpetual Preferred Stock, Series C",FCNCO,5/31/2024,6/17/2024,5/31/2024,0.351563,1.406252,4/16/2024
"First Citizens BancShares, Inc. Class A Common Stock",FCNCA,5/31/2024,6/17/2024,5/31/2024,1.64,6.56,4/16/2024
"First Citizens BancShares, Inc. Depositary Shares",FCNCP,5/31/2024,6/17/2024,5/31/2024,0.335938,1.343752,4/16/2024
Hancock Whitney Corporation 6.25% Subordinated Notes due 2060,HWCPZ,5/31/2024,6/17/2024,5/31/2024,0.390625,1.5625,5/21/2024
"Hawkins, Inc. Common Stock",HWKN,5/31/2024,6/14/2024,5/31/2024,0.16,0.64,5/15/2024
"Haynes International, Inc. Common Stock",HAYN,5/31/2024,6/14/2024,5/31/2024,0.22,0.88,5/21/2024
"Interactive Brokers Group, Inc. Class A Common Stock",IBKR,5/31/2024,6/14/2024,5/31/2024,0.25,0.4,4/16/2024
"Interface, Inc. Common Stock",TILE,5/31/2024,6/14/2024,5/31/2024,0.01,0.04,5/16/2024
"John B. Sanfilippo & Son, Inc. Common Stock",JBSS,5/31/2024,6/20/2024,5/31/2024,1.0,2.0,5/01/2024
Lifevantage Corporation Common Stock (Delaware),LFVN,5/31/2024,6/14/2024,5/31/2024,0.04,0.14,4/22/2024
"LINKBANCORP, Inc. Common Stock",LNKB,5/31/2024,6/14/2024,5/31/2024,0.075,0.3,5/14/2024
Marine Petroleum Trust Units of Beneficial Interest,MARPS,5/31/2024,6/28/2024,5/31/2024,0.055961,0.406444,5/20/2024
"Mesa Laboratories, Inc. Common Stock",MLAB,5/31/2024,6/14/2024,5/31/2024,0.16,0.64,4/02/2024
MidCap Financial Investment Corporation 8.00% Notes due 2028,MFICL,5/31/2024,6/15/2024,6/01/2024,0.5,2.038356,5/07/2024
Middlefield Banc Corp. Common Stock,MBCN,5/31/2024,6/14/2024,5/31/2024,0.2,0.8,5/13/2024
"MillerKnoll, Inc. Common Stock",MLKN,5/31/2024,7/15/2024,6/01/2024,0.1875,0.75,4/16/2024
"Monarch Casino & Resort, Inc. Common Stock",MCRI,5/31/2024,6/15/2024,6/01/2024,0.3,1.2,2/06/2023
Newell Brands Inc. Common Stock,NWL,5/31/2024,6/14/2024,5/31/2024,0.07,0.28,5/08/2024
Open Text Corporation Common Shares,OTEX,5/31/2024,6/18/2024,5/31/2024,0.25,1.0,4/30/2024
Pactiv Evergreen Inc. Common stock,PTVE,5/31/2024,6/14/2024,5/31/2024,0.1,0.4,4/30/2024
Peoples Financial Services Corp. Common Stock,PFIS,5/31/2024,6/14/2024,5/31/2024,0.41,1.64,4/26/2024
Perdoceo Education Corporation Common Stock,PRDO,5/31/2024,6/15/2024,6/01/2024,0.11,0.44,5/01/2024
"Power Integrations, Inc. Common Stock",POWI,5/31/2024,6/28/2024,5/31/2024,0.2,0.8,5/21/2024
"Premier, Inc. Class A Common Stock",PINC,5/31/2024,6/15/2024,6/01/2024,0.21,0.84,4/25/2024
"Presidio Property Trust, Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value per share",SQFTP,5/31/2024,6/17/2024,5/31/2024,0.19531,2.34372,4/03/2024
"Qurate Retail, Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock",QRTEP,5/31/2024,6/17/2024,5/31/2024,2.0,8.0,5/21/2024
"Ramaco Resources, Inc. Class A Common Stock",METC,5/31/2024,6/15/2024,6/01/2024,0.1375,0.55,5/21/2024
"Ramaco Resources, Inc. Class B Common Stock",METCB,5/31/2024,6/15/2024,6/01/2024,0.2376,0.9664,5/21/2024
Rand Capital Corporation Common Stock,RAND,5/31/2024,6/14/2024,5/31/2024,0.29,1.0,5/08/2024
Smart Share Global Limited American Depositary Shares,EM,5/31/2024,6/14/2024,5/31/2024,0.03,0.0,3/14/2024
Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,SOHOO,5/31/2024,6/17/2024,5/31/2024,0.4921875,1.96875,4/29/2024
Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,SOHOB,5/31/2024,6/17/2024,5/31/2024,0.5,2.0,4/29/2024
