companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Cohen & Steers Quality Income Realty Fund Inc Common Shares,RQI,9/10/2024,9/30/2024,9/10/2024,0.08,0.96,6/24/2024
"Cohen & Steers REIT and Preferred and Income Fund, Inc. Common Shares",RNP,9/10/2024,9/30/2024,9/10/2024,0.136,1.632,6/24/2024
"Cohen & Steers Total Return Realty Fund, Inc. Common Stock",RFI,9/10/2024,9/30/2024,9/10/2024,0.08,0.96,6/24/2024
"Cohen & Steers Infrastructure Fund, Inc Common Stock",UTF,9/10/2024,9/30/2024,9/10/2024,0.155,1.86,6/24/2024
"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",FOF,9/10/2024,9/30/2024,9/10/2024,0.087,1.044,6/24/2024
"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock",PSF,9/10/2024,9/30/2024,9/10/2024,0.126,1.512,6/24/2024
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,9/10/2024,9/30/2024,9/10/2024,0.131,1.572,6/24/2024
Eagle Point Credit Company Inc. Common Stock,ECC,9/10/2024,9/30/2024,9/10/2024,0.02,1.68,5/15/2024
Eagle Point Credit Company Inc. Common Stock,ECC,9/10/2024,9/30/2024,9/10/2024,0.14,1.68,5/15/2024
Brookfield Real Assets Income Fund Inc. Common Stock,RA,9/10/2024,9/24/2024,9/10/2024,0.118,1.416,6/28/2024
Eagle Point Income Company Inc. Common Stock,EIC,9/10/2024,9/30/2024,9/10/2024,0.2,2.4,5/15/2024
Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,PTA,9/10/2024,9/30/2024,9/10/2024,0.134,1.608,6/24/2024
Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,ECCC,9/10/2024,9/30/2024,9/10/2024,0.135417,1.625,5/15/2024
Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,EICA,9/10/2024,9/30/2024,9/10/2024,0.104167,1.25,5/15/2024
Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,ECCF,9/10/2024,9/30/2024,9/10/2024,0.166667,2.0,5/15/2024
Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,RLTY,9/10/2024,9/30/2024,9/10/2024,0.11,1.32,6/24/2024
Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,EICB,9/10/2024,9/30/2024,9/10/2024,0.161459,1.9375,5/15/2024
Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,EICC,9/10/2024,9/30/2024,9/10/2024,0.166667,2.0,5/15/2024
Connecticut Light & Power Co 6.48% PRF PERPETUAL USD 50 - Series G,CNLPL,9/10/2024,10/01/2024,9/10/2024,0.81,3.24,6/18/2024
Connecticut Light & Power Co 5.28% PRF PERPETUAL USD 50,CNTHO,9/10/2024,10/01/2024,9/10/2024,0.66,2.64,6/18/2024
