companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
MidCap Financial Investment Corporation Common Stock,MFIC,6/11/2024,6/27/2024,6/11/2024,0.38,1.52,5/07/2024
"Pathward Financial, Inc. Common Stock",CASH,6/11/2024,7/01/2024,6/11/2024,0.05,0.2,5/09/2024
B2Gold Corp Common shares (Canada),BTG,6/11/2024,6/24/2024,6/11/2024,0.04,0.16,5/07/2024
"Cohen & Steers Total Return Realty Fund, Inc. Common Stock",RFI,6/11/2024,6/28/2024,6/11/2024,0.08,0.96,3/21/2024
Cohen & Steers Quality Income Realty Fund Inc Common Shares,RQI,6/11/2024,6/28/2024,6/11/2024,0.08,0.96,3/21/2024
"Cohen & Steers REIT and Preferred and Income Fund, Inc. Common Shares",RNP,6/11/2024,6/28/2024,6/11/2024,0.136,1.632,3/21/2024
"Cohen & Steers Infrastructure Fund, Inc Common Stock",UTF,6/11/2024,6/28/2024,6/11/2024,0.155,1.86,3/21/2024
"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",FOF,6/11/2024,6/28/2024,6/11/2024,0.087,1.044,3/21/2024
"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock",PSF,6/11/2024,6/28/2024,6/11/2024,0.126,1.512,3/21/2024
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,6/11/2024,6/28/2024,6/11/2024,0.131,1.572,3/21/2024
Orion S.A. Common Shares,OEC,6/11/2024,7/02/2024,6/11/2024,0.0207,0.0828,4/25/2024
Spire Inc. Common Stock,SR,6/11/2024,7/02/2024,6/11/2024,0.755,3.02,4/25/2024
Brookfield Real Assets Income Fund Inc. Common Stock,RA,6/11/2024,6/25/2024,6/11/2024,0.118,1.416,3/29/2024
Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,PTA,6/11/2024,6/28/2024,6/11/2024,0.134,1.608,3/21/2024
Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,RLTY,6/11/2024,6/28/2024,6/11/2024,0.11,1.32,3/21/2024
GAMCO Investors,GAMI,6/11/2024,6/25/2024,6/11/2024,0.2,0.16,5/07/2024
GAMCO Investors,GAMI,6/11/2024,6/25/2024,6/11/2024,0.04,0.16,5/07/2024
Farmers & Merchants Bancorp,FMCB,6/11/2024,7/01/2024,6/11/2024,8.8,17.6,5/15/2024
"Ping AN Insurance (Group) Co. of China, Ltd. ADR - Level I",PNGAY,6/11/2024,8/05/2024,6/11/2024,0.353242,0.7065,N/A
Truxton Corp,TRUX,6/11/2024,6/25/2024,6/11/2024,0.43,1.72,4/18/2024
Tingyi Cayman Islands Holdings Corp. ADR,TYCMY,6/11/2024,7/24/2024,6/12/2024,0.6178221,0.6064,N/A
Dr. Ing. h.c. F. Porsche AG ADR,DRPRY,6/11/2024,6/27/2024,6/11/2024,0.202598,0.2907,N/A
