companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Consolidated Water Co. Ltd. Ordinary Shares,CWCO,7/01/2024,7/31/2024,7/01/2024,0.095,0.38,5/29/2024
Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,HBANP,7/01/2024,7/15/2024,7/01/2024,0.28125,1.125,4/19/2024
"Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock",HBANL,7/01/2024,7/15/2024,7/01/2024,0.42975,1.719,4/19/2024
Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,LBRDP,7/01/2024,7/15/2024,7/01/2024,0.4375,1.75,6/13/2024
"Via Renewables, Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock",VIASP,7/01/2024,7/15/2024,7/01/2024,0.76051,3.0384,4/17/2024
"Werner Enterprises, Inc. Common Stock",WERN,7/01/2024,7/17/2024,7/01/2024,0.14,0.56,5/14/2024
"Wintrust Financial Corporation Depositary Shares, Each Representing a 1/1,000th Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series E",WTFCP,7/01/2024,7/15/2024,7/01/2024,0.42969,1.71876,4/25/2024
"Wintrust Financial Corporation Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series D",WTFCM,7/01/2024,7/15/2024,7/01/2024,0.41,1.64,4/25/2024
"Air Products and Chemicals, Inc. Common Stock",APD,7/01/2024,8/12/2024,7/01/2024,1.77,7.08,5/17/2024
"Wolverine World Wide, Inc. Common Stock",WWW,7/01/2024,8/01/2024,7/01/2024,0.1,0.4,5/01/2024
Park Aerospace Corp. Common Stock,PKE,7/01/2024,8/02/2024,7/01/2024,0.125,0.5,6/10/2024
State Street Corporation Common Stock,STT,7/01/2024,7/11/2024,7/01/2024,0.69,2.76,5/15/2024
"Raymond James Financial, Inc. Common Stock",RJF,7/01/2024,7/15/2024,7/01/2024,0.45,1.8,5/20/2024
"Cardinal Health, Inc. Common Stock",CAH,7/01/2024,7/15/2024,7/01/2024,0.5056,2.0224,5/07/2024
Realty Income Corporation Common Stock,O,7/01/2024,7/15/2024,7/01/2024,0.263,3.156,6/11/2024
"Choice Hotels International, Inc. Common Stock",CHH,7/01/2024,7/16/2024,7/01/2024,0.2875,1.15,5/15/2024
Ingredion Incorporated Common Stock,INGR,7/01/2024,7/23/2024,7/01/2024,0.78,3.12,5/15/2024
"Quanta Services, Inc. Common Stock",PWR,7/01/2024,7/12/2024,7/01/2024,0.09,0.36,5/24/2024
"Ventas, Inc. Common Stock",VTR,7/01/2024,7/18/2024,7/01/2024,0.45,1.8,5/14/2024
CubeSmart Common Shares,CUBE,7/01/2024,7/15/2024,7/01/2024,0.51,2.04,5/21/2024
Farmland Partners Inc. Common Stock,FPI,7/01/2024,7/15/2024,7/01/2024,0.06,0.24,4/30/2024
Encompass Health Corporation Common Stock,EHC,7/01/2024,7/15/2024,7/01/2024,0.15,0.6,5/02/2024
Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),AVAL,7/01/2024,7/10/2024,7/01/2024,0.0106168,0.1274,4/04/2024
Stifel Financial Corporation 5.20% Senior Notes due 2047,SFB,7/01/2024,7/15/2024,7/01/2024,0.325,1.3,N/A
"Assurant, Inc. 5.25% Subordinated Notes due 2061",AIZN,7/01/2024,7/15/2024,7/01/2024,0.3281,1.3124,N/A
"Reinsurance Group of America, Incorporated 7.125% Fixed-Rate Reset Subordinated Debentures due 2052",RZC,7/01/2024,7/15/2024,7/01/2024,0.4453,1.7812,N/A
Adirondack Trust Co.,ADKT,7/01/2024,7/10/2024,7/01/2024,29.0,58.0,6/12/2024
HCB Financial Corp.,HCBN,7/01/2024,7/22/2024,7/01/2024,0.26,1.04,6/12/2024
Redwood Trust Inc. FXDFR PRF PERPETUAL USD 25 - Ser A,RWTRV,7/01/2024,7/15/2024,7/01/2024,0.625,2.5,6/11/2024
"Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock",HBANL,7/01/2024,7/15/2024,7/01/2024,0.42975,2.464,4/19/2024
