companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Codorus Valley Bancorp, Inc Common Stock",CVLY,1/22/2024,2/13/2024,1/23/2024,0.17,0.68,1/09/2024
Finward Bancorp Common Stock,FNWD,1/22/2024,2/05/2024,1/23/2024,0.12,1.24,12/22/2023
Gladstone Capital Corporation Common Stock,GLAD,1/22/2024,1/31/2024,1/23/2024,0.0825,0.99,1/09/2024
"Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock, par value $0.001 per share",GOODO,1/22/2024,1/31/2024,1/23/2024,0.125,1.5,1/09/2024
Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,GOODN,1/22/2024,1/31/2024,1/23/2024,0.138021,1.656252,1/09/2024
Gladstone Commercial Corporation Real Estate Investment Trust,GOOD,1/22/2024,1/31/2024,1/23/2024,0.1,1.2,1/09/2024
Gladstone Investment Corporation Business Development Company,GAIN,1/22/2024,1/31/2024,1/23/2024,0.08,0.96,1/09/2024
Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,LANDM,1/22/2024,1/31/2024,1/23/2024,0.104167,1.250004,1/09/2024
Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,LANDO,1/22/2024,1/31/2024,1/23/2024,0.125,1.5,1/09/2024
Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,LANDP,1/22/2024,1/31/2024,1/23/2024,0.125,1.5,1/09/2024
Gladstone Land Corporation Common Stock,LAND,1/22/2024,1/31/2024,1/23/2024,0.0465,0.5568,1/09/2024
"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EIM,1/22/2024,1/31/2024,1/23/2024,0.0468,0.5616,1/02/2024
"Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",ENX,1/22/2024,1/31/2024,1/23/2024,0.0394,0.4728,1/02/2024
"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EVM,1/22/2024,1/31/2024,1/23/2024,0.0383,0.4596,1/02/2024
Litecoin,LTC,1/22/2024,1/31/2024,1/23/2024,0.19,2.28,1/02/2024
"Argan, Inc. Common Stock",AGX,1/22/2024,1/31/2024,1/23/2024,0.3,1.2,12/14/2023
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,EVT,1/22/2024,1/31/2024,1/23/2024,0.1488,1.7856,1/02/2024
Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,ETG,1/22/2024,1/31/2024,1/23/2024,0.1001,1.2012,1/02/2024
Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,ETO,1/22/2024,1/31/2024,1/23/2024,0.1374,1.6488,1/02/2024
Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,EOI,1/22/2024,1/31/2024,1/23/2024,0.1095,1.314,1/02/2024
EOS,EOS,1/22/2024,1/31/2024,1/23/2024,0.1152,1.3824,1/02/2024
Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,EVG,1/22/2024,1/31/2024,1/23/2024,0.0786,0.9432,1/02/2024
Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,ETB,1/22/2024,1/31/2024,1/23/2024,0.0932,1.1184,1/02/2024
Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,ETW,1/22/2024,1/31/2024,1/23/2024,0.0582,0.6984,1/02/2024
Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,BGH,1/22/2024,2/01/2024,1/23/2024,0.1056,1.2672,11/15/2023
"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",ETY,1/22/2024,1/31/2024,1/23/2024,0.0805,0.966,1/02/2024
Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,ETJ,1/22/2024,1/31/2024,1/23/2024,0.0579,0.6948,1/02/2024
Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,EOT,1/22/2024,1/31/2024,1/23/2024,0.0625,0.75,1/02/2024
Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,ETV,1/22/2024,1/31/2024,1/23/2024,0.0949,1.1388,1/02/2024
Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,ETX,1/22/2024,1/31/2024,1/23/2024,0.0782,0.9384,1/02/2024
Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,EXG,1/22/2024,1/31/2024,1/23/2024,0.0553,0.6636,1/02/2024
Dell Technologies Inc. Class C Common Stock ,DELL,1/22/2024,2/02/2024,1/23/2024,0.37,1.48,12/05/2023
Enel Spa ADR,ENLAY,1/22/2024,2/14/2024,1/23/2024,0.1249353,0.2499,N/A
