companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Cohen & Steers Quality Income Realty Fund Inc Common Shares,RQI,3/12/2024,3/28/2024,3/13/2024,0.08,0.96,12/12/2023
"Cohen & Steers REIT and Preferred and Income Fund, Inc. Common Shares",RNP,3/12/2024,3/28/2024,3/13/2024,0.136,1.632,12/12/2023
"Cohen & Steers Total Return Realty Fund, Inc. Common Stock",RFI,3/12/2024,3/28/2024,3/13/2024,0.08,0.96,12/12/2023
"Cohen & Steers Infrastructure Fund, Inc Common Stock",UTF,3/12/2024,3/28/2024,3/13/2024,0.155,1.86,12/12/2023
"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",FOF,3/12/2024,3/28/2024,3/13/2024,0.087,1.044,12/12/2023
"Cohen & Steers Select Preferred and Income Fund, Inc. Common Stock",PSF,3/12/2024,3/28/2024,3/13/2024,0.126,1.512,12/12/2023
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,3/12/2024,3/28/2024,3/13/2024,0.131,1.572,12/12/2023
Brookfield Real Assets Income Fund Inc. Common Stock,RA,3/12/2024,3/26/2024,3/13/2024,0.118,1.416,12/29/2023
Cohen & Steers Tax-Advantaged Preferred Securities and Income Fund Common Shares of Beneficial Interest,PTA,3/12/2024,3/28/2024,3/13/2024,0.134,1.608,12/12/2023
Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,RLTY,3/12/2024,3/28/2024,3/13/2024,0.11,1.32,12/12/2023
