companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC,11/29/2023,12/15/2023,11/30/2023,0.31875,1.275,11/19/2023
AGNC Investment Corp. Common Stock,AGNC,11/29/2023,12/11/2023,11/30/2023,0.12,1.44,11/08/2023
Algoma Steel Group Inc. Common Shares,ASTL,11/29/2023,12/29/2023,11/30/2023,0.05,0.2,11/02/2023
"American International Group, Inc. Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock",AIG^A,11/29/2023,12/15/2023,11/30/2023,0.365625,1.4625,11/01/2023
"Arch Resources, Inc. Class A Common Stock",ARCH,11/29/2023,12/15/2023,11/30/2023,0.88,0.0,10/26/2023
Arlington Asset Investment Corp 6.750% Notes due 2025,AIC,11/29/2023,12/15/2023,11/30/2023,0.421875,1.6875,11/19/2023
Atlantica Sustainable Infrastructure plc Ordinary Shares,AY,11/29/2023,12/15/2023,11/30/2023,0.445,1.78,11/07/2023
Bank of Hawaii Corporation Common Stock,BOH,11/29/2023,12/14/2023,11/30/2023,0.7,2.8,10/23/2023
Barrick Gold Corporation Common Stock (BC),GOLD,11/29/2023,12/15/2023,11/30/2023,0.1,0.4,11/02/2023
Brookfield Infrastructure Corporation ,BIPC,11/29/2023,12/29/2023,11/30/2023,0.3825,1.53,11/01/2023
Brookfield Infrastructure Partners LP Limited Partnership Units,BIP,11/29/2023,12/29/2023,11/30/2023,0.3825,1.53,11/01/2023
"CareCloud, Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock",CCLDP,11/29/2023,12/15/2023,11/30/2023,0.22917,2.75004,8/01/2023
"CareCloud, Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock",CCLDO,11/29/2023,12/15/2023,11/30/2023,0.18229,2.18748,8/01/2023
Central Pacific Financial Corp New,CPF,11/29/2023,12/15/2023,11/30/2023,0.26,1.04,10/24/2023
Crane Company Common Stock,CR,11/29/2023,12/13/2023,11/30/2023,0.18,0.72,10/23/2023
"Crescent Capital BDC, Inc. Common stock",CCAP,11/29/2023,12/15/2023,11/30/2023,0.09,1.64,11/19/2023
CSX Corporation Common Stock,CSX,11/29/2023,12/15/2023,11/30/2023,0.11,0.44,10/11/2023
"Cullen/Frost Bankers, Inc. Common Stock",CFR,11/29/2023,12/15/2023,11/30/2023,0.92,3.68,10/26/2023
