companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Oxford Lane Capital Corp. Common Stock,OXLC,9/16/2024,9/30/2024,9/16/2024,0.09,0.96,5/14/2024
Oxford Square Capital Corp. Common Stock,OXSQ,9/16/2024,9/30/2024,9/16/2024,0.035,0.42,4/25/2024
"U.S. Global Investors, Inc. Class A Common Stock",GROW,9/16/2024,9/30/2024,9/16/2024,0.0075,0.09,6/10/2024
"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,9/16/2024,9/30/2024,9/16/2024,0.1086,1.3032,5/03/2024
"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,9/16/2024,9/30/2024,9/16/2024,0.1037,1.2444,5/03/2024
Gabelli Global Utility Common Shares of Beneficial Ownership,GLU,9/16/2024,9/23/2024,9/16/2024,0.1,1.2,5/16/2024
"GAMCO Global Gold, Natural Resources & Income Trust",GGN,9/16/2024,9/23/2024,9/16/2024,0.03,0.36,5/16/2024
DTE Energy Company Common Stock,DTE,9/16/2024,10/15/2024,9/16/2024,1.02,4.08,6/20/2024
Gabelli Utility Trust (The) Common Stock,GUT,9/16/2024,9/23/2024,9/16/2024,0.05,0.6,5/16/2024
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,9/16/2024,9/23/2024,9/16/2024,0.11,1.32,5/16/2024
DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,DTF,9/16/2024,9/30/2024,9/16/2024,0.0325,0.39,6/17/2024
Intercontinental Exchange Inc. Common Stock,ICE,9/16/2024,9/30/2024,9/16/2024,0.45,1.8,2/08/2024
Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,9/16/2024,9/30/2024,9/16/2024,0.105,1.26,7/01/2024
"GAMCO Natural Resources, Gold & Income Trust",GNT,9/16/2024,9/23/2024,9/16/2024,0.03,0.36,5/16/2024
MainStay MacKay DefinedTerm Municipal Opportunities Fund,MMD,9/16/2024,9/30/2024,9/16/2024,0.06,0.72,7/01/2024
"Sound Point Meridian Capital, Inc. Common Stock",SPMC,9/16/2024,9/30/2024,9/16/2024,0.2,3.6,6/27/2024
Bexil Investment Trust Com (New),BXSY,9/16/2024,9/27/2024,9/17/2024,0.25,1.0,12/14/2023
Huadian Power International Corporation Ltd. ADR,HPIFY,9/16/2024,9/16/2024,1/01/0001,0.508289,0.0,N/A
