companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests",ARLP,2/06/2024,2/14/2024,2/07/2024,0.7,2.8,1/26/2024
Banner Corporation Common Stock,BANR,2/06/2024,2/16/2024,2/07/2024,0.48,1.92,2/03/2024
"Colony Bankcorp, Inc. Common Stock",CBAN,2/06/2024,2/21/2024,2/07/2024,0.1125,0.44,1/24/2024
"First Bancshares, Inc.",FBMS,2/06/2024,2/23/2024,2/07/2024,0.25,0.96,1/18/2024
"Hanover Bancorp, Inc. Common Stock",HNVR,2/06/2024,2/14/2024,2/07/2024,0.1,0.4,1/24/2024
Intel Corporation Common Stock,INTC,2/06/2024,3/01/2024,2/07/2024,0.125,0.5,1/24/2024
Kearny Financial Corp Common Stock,KRNY,2/06/2024,2/21/2024,2/07/2024,0.11,0.44,1/24/2024
Martin Midstream Partners L.P. Limited Partnership,MMLP,2/06/2024,2/14/2024,2/07/2024,0.005,0.02,1/23/2024
"Northfield Bancorp, Inc. Common Stock (Delaware)",NFBK,2/06/2024,2/21/2024,2/07/2024,0.13,0.52,1/24/2024
"Sound Financial Bancorp, Inc. Common Stock",SFBC,2/06/2024,2/21/2024,2/07/2024,0.19,0.76,1/26/2024
Univest Financial Corporation Common Stock,UVSP,2/06/2024,2/21/2024,2/07/2024,0.21,0.84,1/24/2024
West Bancorporation Common Stock,WTBA,2/06/2024,2/21/2024,2/07/2024,0.25,1.0,1/24/2024
"Western New England Bancorp, Inc. Common Stock",WNEB,2/06/2024,2/21/2024,2/07/2024,0.07,0.28,1/23/2024
H. B. Fuller Company Common Stock,FUL,2/06/2024,2/21/2024,2/07/2024,0.205,0.82,1/24/2024
FirstEnergy Corp. Common Stock,FE,2/06/2024,3/01/2024,2/07/2024,0.41,1.64,12/20/2023
Schlumberger N.V. Common Stock,SLB,2/06/2024,4/04/2024,2/07/2024,0.275,1.1,1/18/2024
"M.D.C. Holdings, Inc. Common Stock",MDC,2/06/2024,2/21/2024,2/07/2024,0.55,2.2,1/17/2024
Nustar Energy L.P.  Common Units,NS,2/06/2024,2/13/2024,2/07/2024,0.4,1.6,1/25/2024
BNY Mellon High Yield Strategies Fund Common Stock,DHF,2/06/2024,2/22/2024,2/07/2024,0.015,0.18,1/24/2024
Sunoco LP Common Units representing limited partner interests,SUN,2/06/2024,2/20/2024,2/07/2024,0.842,3.368,1/25/2024
Energy Transfer LP Common Units ,ET,2/06/2024,2/20/2024,2/07/2024,0.315,1.26,1/25/2024
Brookfield Real Assets Income Fund Inc. Common Stock,RA,2/06/2024,2/22/2024,2/07/2024,0.118,1.416,12/29/2023
"Select Water Solutions, Inc. Class A common stock",WTTR,2/06/2024,2/20/2024,2/07/2024,0.06,0.24,1/29/2024
Levi Strauss & Co Class A Common Stock,LEVI,2/06/2024,2/23/2024,2/07/2024,0.12,0.48,1/25/2024
Harleysville Financial Corp,HARL,2/06/2024,2/21/2024,2/07/2024,0.31,1.24,1/24/2024
Incitec Pivot ADR,INCZY,2/06/2024,2/20/2024,2/07/2024,0.067081,0.1181,N/A
Incitec Pivot ADR,INCZY,2/06/2024,2/20/2024,2/07/2024,0.059032,0.1181,N/A
