companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Krispy Kreme, Inc. Common Stock",DNUT,7/24/2024,8/07/2024,7/24/2024,0.035,0.14,4/30/2024
"Lowe's Companies, Inc. Common Stock",LOW,7/24/2024,8/07/2024,7/24/2024,1.15,4.6,5/31/2024
Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,FFC,7/24/2024,7/31/2024,7/24/2024,0.088,1.056,4/18/2024
Western Asset Investment Grade Income Fund Inc.,PAI,7/24/2024,8/01/2024,7/24/2024,0.0515,0.618,5/22/2024
Western Asset Inflation-Linked Income Fund,WIA,7/24/2024,7/31/2024,7/24/2024,0.05,0.6,5/22/2024
"SRH Total Return Fund, Inc. Common Stock",STEW,7/24/2024,7/31/2024,7/24/2024,0.1375,0.55,5/09/2024
Flaherty & Crumrine Total Return Fund Inc Common Stock,FLC,7/24/2024,7/31/2024,7/24/2024,0.0897,1.0764,4/18/2024
Putnam Premier Income Trust Common Stock,PPT,7/24/2024,8/01/2024,7/24/2024,0.026,0.312,7/01/2024
Western Asset High Income Fund II Inc. Common Stock,HIX,7/24/2024,8/01/2024,7/24/2024,0.049,0.588,5/22/2024
"Western Asset Managed Municipals Fund, Inc. Common Stock",MMU,7/24/2024,8/01/2024,7/24/2024,0.0545,0.654,5/22/2024
Western Asset High Yield Defined Opportunity Fund Inc. Common Stock,HYI,7/24/2024,8/01/2024,7/24/2024,0.095,1.14,5/22/2024
Putnam Master Intermediate Income Trust Common Stock,PIM,7/24/2024,8/01/2024,7/24/2024,0.022,0.264,7/01/2024
"Western Asset Municipal High Income Fund, Inc. Common Stock",MHF,7/24/2024,8/01/2024,7/24/2024,0.034,0.408,5/22/2024
Putnam Managed Municipal Income Trust Common Stock,PMM,7/24/2024,8/01/2024,7/24/2024,0.0238,0.2856,7/01/2024
Flaherty & Crumrine Preferred and Income Fund Incorporated,PFD,7/24/2024,7/31/2024,7/24/2024,0.0583,0.6996,4/18/2024
Western Asset Intermediate Muni Fund Inc Common Stock,SBI,7/24/2024,8/01/2024,7/24/2024,0.042,0.504,5/22/2024
Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,PFO,7/24/2024,7/31/2024,7/24/2024,0.0483,0.5796,4/18/2024
Putnam Municipal Opportunities Trust Common Stock,PMO,7/24/2024,8/01/2024,7/24/2024,0.035,0.42,7/01/2024
"Western Asset High Income Opportunity Fund, Inc. Common Stock",HIO,7/24/2024,8/01/2024,7/24/2024,0.0355,0.426,5/22/2024
Western Asset Bond Fund Share of Beneficial Interest,WEA,7/24/2024,8/01/2024,7/24/2024,0.07,0.84,5/22/2024
Western Asset Global High Income Fund Inc Common Stock,EHI,7/24/2024,8/01/2024,7/24/2024,0.07,0.84,5/22/2024
E-mini S&P MidCap 400 Futures ,EMD,7/24/2024,8/01/2024,7/24/2024,0.0845,1.014,5/22/2024
LMP Capital and Income Fund Inc. Common Stock,SCD,7/24/2024,8/01/2024,7/24/2024,0.113,1.356,5/22/2024
Western Asset Inflation-Linked Opportunities & Income Fund,WIW,7/24/2024,7/31/2024,7/24/2024,0.0605,0.726,5/22/2024
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,DFP,7/24/2024,7/31/2024,7/24/2024,0.1107,1.3284,4/18/2024
Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,BSL,7/24/2024,7/31/2024,7/24/2024,0.114,1.368,6/11/2024
Western Asset Investment Grade Defined Opportunity Trust Inc. Common Stock,IGI,7/24/2024,8/01/2024,7/24/2024,0.071,0.852,5/22/2024
Western Asset Global Corporate Defined Opportunity Fund Inc.,GDO,7/24/2024,8/01/2024,7/24/2024,0.122,1.464,5/22/2024
Western Asset Mortgage Opportunity Fund Inc. Common Stock,DMO,7/24/2024,8/01/2024,7/24/2024,0.13,1.56,5/22/2024
Blackstone Long Short Credit Income Fund Common Shares,BGX,7/24/2024,7/31/2024,7/24/2024,0.105,1.26,6/11/2024
BrandywineGLOBAL Global Income Opportunities Fund Inc.,BWG,7/24/2024,8/01/2024,7/24/2024,0.08,0.96,5/22/2024
Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,BGB,7/24/2024,7/31/2024,7/24/2024,0.101,1.212,6/11/2024
Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,HIE,7/24/2024,7/31/2024,7/24/2024,0.051,0.612,7/01/2024
Highland Opportunities and Income Fund Common Shares of Beneficial Interest,HFRO,7/24/2024,7/31/2024,7/24/2024,0.0385,0.462,7/01/2024
Highland Global Allocation Fund Common Stock,HGLB,7/24/2024,7/31/2024,7/24/2024,0.081,0.972,7/01/2024
Ecofin Sustainable and Social Impact Term Fund,TEAF,7/24/2024,7/31/2024,7/24/2024,0.09,1.08,5/08/2024
Western Asset Diversified Income Fund Common Shares of Beneficial Interest,WDI,7/24/2024,8/01/2024,7/24/2024,0.1485,1.782,5/22/2024
FS Credit Opportunities Corp. Common Stock,FSCO,7/24/2024,7/31/2024,7/24/2024,0.06,0.72,7/03/2024
