companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Jack In The Box Inc. Common Stock,JACK,6/06/2024,6/25/2024,6/06/2024,0.44,1.76,5/10/2024
SLM Corporation Common Stock,SLM,6/06/2024,6/17/2024,6/06/2024,0.11,0.44,4/22/2024
"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",SLMBP,6/06/2024,6/17/2024,6/06/2024,1.9038002,7.420898,4/22/2024
The Kraft Heinz Company Common Stock,KHC,6/06/2024,6/28/2024,6/06/2024,0.4,1.6,5/01/2024
Ryerson Holding Corporation Common Stock,RYI,6/06/2024,6/20/2024,6/06/2024,0.1875,0.75,4/30/2024
Kimco Realty Corporation (HC) Common Stock,KIM,6/06/2024,6/20/2024,6/06/2024,0.24,0.96,5/02/2024
Lear Corporation Common Stock,LEA,6/06/2024,6/25/2024,6/06/2024,0.77,3.08,5/16/2024
"American Assets Trust, Inc. Common Stock",AAT,6/06/2024,6/20/2024,6/06/2024,0.335,1.34,4/30/2024
Mosaic Company (The) Common Stock,MOS,6/06/2024,6/20/2024,6/06/2024,0.21,0.84,3/21/2024
F.N.B. Corporation Common Stock,FNB,6/06/2024,6/15/2024,6/06/2024,0.12,0.48,4/30/2024
Edgewell Personal Care Company Common Stock,EPC,6/06/2024,7/09/2024,6/06/2024,0.15,0.6,5/08/2024
Liberty Energy Inc. Class A common stock,LBRT,6/06/2024,6/20/2024,6/06/2024,0.07,0.28,4/16/2024
"Dun & Bradstreet Holdings, Inc. Common Stock",DNB,6/06/2024,6/20/2024,6/06/2024,0.05,0.2,4/30/2024
Jackson Financial Inc. Class A Common Stock ,JXN,6/06/2024,6/20/2024,6/06/2024,0.7,2.8,5/08/2024
"Aris Water Solutions, Inc. Class A Common Stock",ARIS,6/06/2024,6/20/2024,6/06/2024,0.105,0.42,4/30/2024
Noble Corporation plc A Ordinary Shares,NE,6/06/2024,6/27/2024,6/06/2024,0.4,1.6,5/06/2024
CMUV Bancorp,CMUV,6/06/2024,6/28/2024,6/06/2024,0.12,0.48,5/14/2024
Dah Sing Financial Holdings Ltd. ADR,DSFGY,6/06/2024,7/05/2024,6/06/2024,0.58009,1.1602,N/A
Henderson Land Development Co. Ltd. ADR,HLDCY,6/06/2024,6/28/2024,6/06/2024,0.14621,0.2924,N/A
OMV AG ADR,OMVKY,6/06/2024,6/17/2024,6/06/2024,0.5727733,0.5728,N/A
OMV AG ADR,OMVKY,6/06/2024,6/17/2024,6/06/2024,0.4077369,0.5728,N/A
Shenguan Holdings (Group) Ltd ADR,SHGXY,6/06/2024,7/22/2024,6/06/2024,0.051201,0.0512,N/A
Shenguan Holdings (Group) Ltd ADR,SHGXY,6/06/2024,7/22/2024,6/06/2024,0.051201,0.0512,N/A
Evonik Industries AG ADR,EVKIY,6/06/2024,6/24/2024,6/06/2024,0.417144,0.4171,N/A
Ageas SA/NV ADR,AGESY,6/06/2024,6/14/2024,6/06/2024,1.3185043,2.637,N/A
