companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Applied Materials, Inc. Common Stock",AMAT,2/21/2024,3/14/2024,2/22/2024,0.32,1.28,12/07/2023
"Littelfuse, Inc. Common Stock",LFUS,2/21/2024,3/07/2024,2/22/2024,0.65,2.6,1/25/2024
Marriott International Class A Common Stock,MAR,2/21/2024,3/29/2024,2/22/2024,0.52,2.08,2/08/2024
"Meta Platforms, Inc. Class A Common Stock",META,2/21/2024,3/26/2024,2/22/2024,0.5,0.0,2/01/2024
Patria Investments Limited Class A Common Shares,PAX,2/21/2024,3/08/2024,2/22/2024,0.399,0.796,2/06/2024
"Red Rock Resorts, Inc. Class A Common Stock",RRR,2/21/2024,3/04/2024,2/22/2024,1.0,1.0,2/07/2024
Vinci Partners Investments Ltd. Class A Common Shares,VINP,2/21/2024,3/07/2024,2/22/2024,0.2,0.68,2/07/2024
Warner Music Group Corp. Class A Common Stock,WMG,2/21/2024,3/01/2024,2/22/2024,0.17,0.68,2/19/2024
"abrdn Australia Equity Fund, Inc. Common Stock",IAF,2/21/2024,3/28/2024,2/22/2024,0.12,0.48,2/09/2024
"abrdn Asia-Pacific Income Fund, Inc. Common Stock",FAX,2/21/2024,2/29/2024,2/22/2024,0.0275,0.33,2/09/2024
"abrdn Global Income Fund, Inc. Common Stock",FCO,2/21/2024,2/29/2024,2/22/2024,0.07,0.84,2/09/2024
abrdn National Municipal Income Fund Common Stock,VFL,2/21/2024,2/29/2024,2/22/2024,0.0375,0.45,2/09/2024
"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EIM,2/21/2024,2/29/2024,2/22/2024,0.0468,0.5616,2/01/2024
"Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",ENX,2/21/2024,2/29/2024,2/22/2024,0.0394,0.4728,2/01/2024
"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EVM,2/21/2024,2/29/2024,2/22/2024,0.0383,0.4596,2/01/2024
"Barnes Group, Inc. Common Stock",B,2/21/2024,3/08/2024,2/22/2024,0.16,0.64,2/09/2024
Materion Corporation,MTRN,2/21/2024,3/08/2024,2/22/2024,0.13,0.52,1/31/2024
ClearBridge MLP and Midstream Fund Inc. Common Stock,CEM,2/21/2024,2/29/2024,2/22/2024,0.77,3.08,1/19/2024
International Paper Company Common Stock,IP,2/21/2024,3/15/2024,2/22/2024,0.4625,1.85,1/09/2024
Masco Corporation Common Stock,MAS,2/21/2024,3/11/2024,2/22/2024,0.29,1.16,2/08/2024
Western Asset Investment Grade Income Fund Inc.,PAI,2/21/2024,3/01/2024,2/22/2024,0.0485,0.566,11/21/2023
abrdn Healthcare Investors Shares of Beneficial Interest,HQH,2/21/2024,3/28/2024,2/22/2024,0.48,1.92,2/09/2024
"Western Asset Municipal High Income Fund, Inc. Common Stock",MHF,2/21/2024,3/01/2024,2/22/2024,0.022,0.264,11/14/2023
Flaherty & Crumrine Preferred and Income Fund Incorporated,PFD,2/21/2024,2/29/2024,2/22/2024,0.0555,0.666,1/19/2024
Western Asset Intermediate Muni Fund Inc Common Stock,SBI,2/21/2024,3/01/2024,2/22/2024,0.031,0.372,11/14/2023
Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,PFO,2/21/2024,2/29/2024,2/22/2024,0.0456,0.5472,1/19/2024
abrdn Life Sciences Investors Shares of Beneficial Interest,HQL,2/21/2024,3/28/2024,2/22/2024,0.39,1.56,2/09/2024
"Western Asset Managed Municipals Fund, Inc. Common Stock",MMU,2/21/2024,3/01/2024,2/22/2024,0.0415,0.498,11/14/2023
"Western Asset High Income Opportunity Fund, Inc. Common Stock",HIO,2/21/2024,3/01/2024,2/22/2024,0.0355,0.426,11/14/2023
"India Fund, Inc. (The) Common Stock",IFN,2/21/2024,3/28/2024,2/22/2024,0.43,1.72,2/09/2024
Western Asset High Income Fund II Inc. Common Stock,HIX,2/21/2024,3/01/2024,2/22/2024,0.049,0.588,11/14/2023
"Tortoise Midstream Energy Fund, Inc. Common Stock",NTG,2/21/2024,2/29/2024,2/22/2024,0.77,3.08,2/07/2024
Western Asset Bond Fund Share of Beneficial Interest,WEA,2/21/2024,3/01/2024,2/22/2024,0.07,0.84,11/21/2023
Western Asset Global High Income Fund Inc Common Stock,EHI,2/21/2024,3/01/2024,2/22/2024,0.067,0.804,11/14/2023
Flaherty & Crumrine Total Return Fund Inc Common Stock,FLC,2/21/2024,2/29/2024,2/22/2024,0.0856,1.0272,1/19/2024
Western Asset Inflation-Linked Income Fund,WIA,2/21/2024,2/29/2024,2/22/2024,0.05,0.6,11/21/2023
