companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares,OXLCP,4/15/2024,4/30/2024,4/16/2024,0.13020833,1.5625,1/25/2024
Oxford Lane Capital Corp. 6.75% Series 2024 Term Preferred Stock,OXLCM,4/15/2024,4/30/2024,4/16/2024,0.140625,1.6875,1/25/2024
Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,OXLCN,4/15/2024,4/30/2024,4/16/2024,0.1484375,1.78125,1/25/2024
Oxford Lane Capital Corp. Common Stock,OXLC,4/15/2024,4/30/2024,4/16/2024,0.08,0.96,1/25/2024
"Oxford Lane Capital Corp. Preferred Stock Shares, 6.00% Series 2029",OXLCO,4/15/2024,4/30/2024,4/16/2024,0.125,1.5,1/25/2024
RGC Resources Inc. Common Stock,RGCO,4/15/2024,5/01/2024,4/16/2024,0.2,0.8,2/05/2024
"GAMCO Global Gold, Natural Resources & Income Trust",GGN,4/15/2024,4/23/2024,4/16/2024,0.03,0.36,2/14/2024
Gabelli Global Utility Common Shares of Beneficial Ownership,GLU,4/15/2024,4/23/2024,4/16/2024,0.1,1.2,2/14/2024
Gabelli Utility Trust (The) Common Stock,GUT,4/15/2024,4/23/2024,4/16/2024,0.05,0.6,2/14/2024
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,4/15/2024,4/23/2024,4/16/2024,0.11,1.32,2/14/2024
"GAMCO Natural Resources, Gold & Income Trust",GNT,4/15/2024,4/23/2024,4/16/2024,0.03,0.36,2/14/2024
Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,4/15/2024,4/30/2024,4/16/2024,0.105,1.26,1/02/2024
Julius Baer Group Ltd ADR,JBAXY,4/15/2024,5/01/2024,4/16/2024,0.341702,0.3417,N/A
