companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
ACNB Corporation Common Stock,ACNB,2/29/2024,3/15/2024,3/01/2024,0.3,1.2,1/23/2024
"Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock, no par value per share",ATLCP,2/29/2024,3/15/2024,3/01/2024,0.476563,1.906252,1/24/2024
"Bank of the James Financial Group, Inc. Common Stock",BOTJ,2/29/2024,3/15/2024,3/01/2024,0.1,0.32,1/16/2024
BayFirst Financial Corp. Common Stock,BAFN,2/29/2024,3/15/2024,3/01/2024,0.08,0.32,1/23/2024
"Brighthouse Financial, Inc. 6.25% Junior Subordinated Debentures due 2058",BHFAL,2/29/2024,3/15/2024,3/01/2024,0.390625,1.5625,2/19/2024
"C.H. Robinson Worldwide, Inc. Common Stock",CHRW,2/29/2024,4/01/2024,3/01/2024,0.61,2.44,2/07/2024
CNB Financial Corporation Common Stock,CCNE,2/29/2024,3/15/2024,3/01/2024,0.175,0.7,2/13/2024
"Covenant Logistics Group, Inc. Class A Common Stock",CVLG,2/29/2024,3/29/2024,3/01/2024,0.11,0.44,2/15/2024
"Eastern Bankshares, Inc. Common Stock",EBC,2/29/2024,3/15/2024,3/01/2024,0.11,0.44,1/25/2024
"FG Financial Group, Inc. 8.00% Cumulative Preferred Stock",FGFPP,2/29/2024,3/15/2024,3/01/2024,0.5,2.0,2/05/2024
First Financial Bancorp. Common Stock,FFBC,2/29/2024,3/15/2024,3/01/2024,0.23,0.92,1/23/2024
First Merchants Corporation Common Stock,FRME,2/29/2024,3/15/2024,3/01/2024,0.34,1.36,2/06/2024
FNCB Bancorp Inc. Common Stock,FNCB,2/29/2024,3/15/2024,3/01/2024,0.09,0.36,1/24/2024
GCM Grosvenor Inc. Class A Common Stock,GCMG,2/29/2024,3/15/2024,3/01/2024,0.11,0.44,2/08/2024
"Golub Capital BDC, Inc. Common Stock",GBDC,2/29/2024,3/29/2024,3/01/2024,0.39,1.48,1/16/2024
Hancock Whitney Corporation 6.25% Subordinated Notes due 2060,HWCPZ,2/29/2024,3/15/2024,3/01/2024,0.390625,1.5625,2/19/2024
"Haynes International, Inc. Common Stock",HAYN,2/29/2024,3/15/2024,3/01/2024,0.22,0.88,2/19/2024
"HighPeak Energy, Inc. Common Stock",HPK,2/29/2024,3/25/2024,3/01/2024,0.04,0.1,2/01/2024
Honeywell International Inc. Common Stock,HON,2/29/2024,3/15/2024,3/01/2024,1.08,4.32,2/16/2024
"Interactive Brokers Group, Inc. Class A Common Stock",IBKR,2/29/2024,3/14/2024,3/01/2024,0.1,0.4,1/16/2024
Lifevantage Corporation Common Stock (Delaware),LFVN,2/29/2024,3/15/2024,3/01/2024,0.035,0.14,1/25/2024
Mercantile Bank Corporation Common Stock,MBWM,2/29/2024,3/13/2024,3/01/2024,0.35,1.36,1/11/2024
"MGE Energy, Inc",MGEE,2/29/2024,3/15/2024,3/01/2024,0.4275,1.71,1/19/2024
MidCap Financial Investment Corporation 8.00% Notes due 2028,MFICL,2/29/2024,3/15/2024,3/01/2024,0.509589,0.0,2/14/2024
Middlefield Banc Corp. Common Stock,MBCN,2/29/2024,3/15/2024,3/01/2024,0.2,0.8,2/12/2024
MidWestOne Financial Gp Common Stock,MOFG,2/29/2024,3/15/2024,3/01/2024,0.2425,0.97,1/23/2024
"MillerKnoll, Inc. Common Stock",MLKN,2/29/2024,4/15/2024,3/02/2024,0.1875,0.75,1/16/2024
"NAPCO Security Technologies, Inc. Common Stock",NSSC,2/29/2024,3/22/2024,3/01/2024,0.1,0.32,2/01/2024
Navient Corporation Common Stock,NAVI,2/29/2024,3/15/2024,3/01/2024,0.16,0.64,2/19/2024
NBT Bancorp Inc. Common Stock,NBTB,2/29/2024,3/15/2024,3/01/2024,0.32,1.28,1/22/2024
Open Text Corporation Common Shares,OTEX,2/29/2024,3/20/2024,3/01/2024,0.25,1.0,1/31/2024
Pangaea Logistics Solutions Ltd. Common Shares,PANL,2/29/2024,3/15/2024,3/01/2024,0.1,0.4,2/14/2024
"Patterson-UTI Energy, Inc. Common Stock",PTEN,2/29/2024,3/15/2024,3/01/2024,0.08,0.32,2/14/2024
"PepsiCo, Inc. Common Stock",PEP,2/29/2024,4/01/2024,3/01/2024,1.265,5.06,2/07/2024
Perdoceo Education Corporation Common Stock,PRDO,2/29/2024,3/15/2024,3/01/2024,0.11,0.44,2/02/2024
"Premier, Inc. Class A Common Stock",PINC,2/29/2024,3/15/2024,3/01/2024,0.21,0.84,1/25/2024
Progress Software Corporation Common Stock (DE),PRGS,2/29/2024,3/15/2024,3/01/2024,0.175,0.7,1/09/2024
"Ramaco Resources, Inc. Class A Common Stock",METC,2/29/2024,3/15/2024,3/01/2024,0.1375,0.5,2/19/2024
"Ramaco Resources, Inc. Class B Common Stock",METCB,2/29/2024,3/15/2024,3/01/2024,0.2416,0.9948,2/19/2024
"SS&C Technologies Holdings, Inc. Common Stock",SSNC,2/29/2024,3/15/2024,3/01/2024,0.24,0.96,2/13/2024
"Star Equity Holdings, Inc. Series A Cumulative Perpetual Preferred Stock",STRRP,2/29/2024,3/11/2024,3/01/2024,0.25,1.0,2/19/2024
"T-Mobile US, Inc. Common Stock",TMUS,2/29/2024,3/14/2024,3/01/2024,0.65,2.6,1/24/2024
"Texas Capital Bancshares, Inc. Depositary Shares 5.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B",TCBIO,2/29/2024,3/15/2024,3/01/2024,0.359375,1.4375,1/22/2024
Tradeweb Markets Inc. Class A Common Stock,TW,2/29/2024,3/15/2024,3/01/2024,0.1,0.36,2/02/2024
Trustmark Corporation Common Stock,TRMK,2/29/2024,3/15/2024,3/01/2024,0.23,0.92,1/23/2024
"UFP Industries, Inc. Common Stock",UFPI,2/29/2024,3/15/2024,3/01/2024,0.33,1.2,2/01/2024
"Virtu Financial, Inc. Class A Common Stock",VIRT,2/29/2024,3/15/2024,3/01/2024,0.24,0.96,2/19/2024
Wendy's Company (The) Common Stock,WEN,2/29/2024,3/15/2024,3/01/2024,0.25,1.0,2/15/2024
Zions Bancorporation 6.95% Fixed-to-Floating Rate Subordinated Notes,ZIONL,2/29/2024,3/15/2024,3/01/2024,0.6026374,2.416818,2/02/2024
"Zions Bancorporation, N.A. Dep Shs Repstg 1/40th Perp Pfd Ser G",ZIONO,2/29/2024,3/15/2024,3/01/2024,0.6247554,2.505291,2/02/2024
"Zions Bancorporation, N.A. Depositary Shares (Each representing 1/40th Interest in a Share of Series A Floating-Rate Non-Cumulative Perpetual Preferred Stock)",ZIONP,2/29/2024,3/15/2024,3/01/2024,0.3896721,1.564957,2/02/2024
Agnico Eagle Mines Limited Common Stock,AEM,2/29/2024,3/15/2024,3/01/2024,0.4,1.6,2/15/2024
Molson Coors Beverage Company Class B Common Stock,TAP,2/29/2024,3/15/2024,3/01/2024,0.44,1.76,2/13/2024
Molson Coors Beverage Company Class A Common Stock,TAP.A,2/29/2024,3/15/2024,3/01/2024,0.44,1.76,2/13/2024
Baxter International Inc. Common Stock,BAX,2/29/2024,4/01/2024,3/01/2024,0.29,1.16,2/12/2024
GATX Corporation Common Stock,GATX,2/29/2024,3/31/2024,3/01/2024,0.58,2.32,1/26/2024
Genuine Parts Company Common Stock,GPC,2/29/2024,4/01/2024,3/01/2024,1.0,4.0,2/15/2024
"Interpublic Group of Companies, Inc. (The) Common Stock",IPG,2/29/2024,3/15/2024,3/01/2024,0.33,1.32,2/08/2024
McDonald's Corporation Common Stock,MCD,2/29/2024,3/15/2024,3/01/2024,1.67,6.68,2/07/2024
"National Presto Industries, Inc. Common Stock",NPK,2/29/2024,3/15/2024,3/01/2024,1.0,1.0,2/16/2024
"National Presto Industries, Inc. Common Stock",NPK,2/29/2024,3/15/2024,3/01/2024,3.5,1.0,2/16/2024
"Dominion Energy, Inc. Common Stock",D,2/29/2024,3/20/2024,3/01/2024,0.6675,2.67,1/26/2024
Ball Corporation Common Stock,BALL,2/29/2024,3/15/2024,3/01/2024,0.2,0.8,1/24/2024
"Tyson Foods, Inc. Common Stock",TSN,2/29/2024,3/15/2024,3/01/2024,0.49,1.96,11/10/2023
Regions Financial Corporation Common Stock,RF,2/29/2024,4/01/2024,3/01/2024,0.24,0.96,2/14/2024
Bank of America Corporation Common Stock,BAC,2/29/2024,3/29/2024,3/01/2024,0.24,0.96,1/31/2024
Associated Banc-Corp Common Stock,ASB,2/29/2024,3/15/2024,3/01/2024,0.22,0.88,1/30/2024
"Universal Health Services, Inc. Common Stock",UHS,2/29/2024,3/15/2024,3/01/2024,0.2,0.8,1/17/2024
Stifel Financial Corporation Common Stock,SF,2/29/2024,3/15/2024,3/01/2024,0.42,1.68,2/07/2024
Arthur J. Gallagher & Co. Common Stock,AJG,2/29/2024,3/15/2024,3/01/2024,0.6,2.4,1/24/2024
"Watts Water Technologies, Inc. Class A Common Stock",WTS,2/29/2024,3/15/2024,3/01/2024,0.36,1.44,2/07/2024
Polaris Inc. Common Stock,PII,2/29/2024,3/15/2024,3/01/2024,0.66,2.64,2/01/2024
BorgWarner Inc. Common Stock,BWA,2/29/2024,3/15/2024,3/01/2024,0.11,0.44,2/07/2024
Realty Income Corporation Common Stock,O,2/29/2024,3/15/2024,3/01/2024,0.2565,3.078,2/13/2024
McKesson Corporation Common Stock,MCK,2/29/2024,4/01/2024,3/01/2024,0.62,2.48,N/A
Lockheed Martin Corporation Common Stock,LMT,2/29/2024,3/29/2024,3/01/2024,3.15,12.6,1/23/2024
"Group 1 Automotive, Inc. Common Stock",GPI,2/29/2024,3/15/2024,3/01/2024,0.47,1.88,2/12/2024
Diageo plc Common Stock,DEO,2/29/2024,4/17/2024,3/01/2024,1.62,3.24,2/06/2024
"Flowers Foods, Inc. Common Stock",FLO,2/29/2024,3/15/2024,3/01/2024,0.23,0.92,2/16/2024
Westwood Holdings Group Inc Common Stock,WHG,2/29/2024,4/03/2024,3/01/2024,0.15,0.6,2/14/2024
"Nelnet, Inc. Common Stock",NNI,2/29/2024,3/15/2024,3/01/2024,0.28,1.12,2/01/2024
Unum Group 6.250% Junior Subordinated Notes due 2058,UNMA,2/29/2024,3/15/2024,3/01/2024,0.390625,1.5625,N/A
Textainer Group Holdings Limited Common Shares,TGH,2/29/2024,3/15/2024,3/01/2024,0.3,1.2,2/13/2024
Dana Incorporated Common Stock ,DAN,2/29/2024,3/22/2024,3/01/2024,0.1,0.4,2/14/2024
"Safe Bulkers, Inc Common Stock ($0.001 par value)",SB,2/29/2024,3/19/2024,3/01/2024,0.05,0.2,2/12/2024
Trane Technologies plc,TT,2/29/2024,3/29/2024,3/01/2024,0.84,3.36,2/07/2024
General Motors Company Common Stock,GM,2/29/2024,3/14/2024,3/01/2024,0.12,0.48,1/29/2024
"Walker & Dunlop, Inc Common Stock",WD,2/29/2024,3/15/2024,3/01/2024,0.65,2.6,2/14/2024
"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",AFGC,2/29/2024,3/15/2024,3/01/2024,0.3203125,1.2812,N/A
"Hyster-Yale Materials Handling, Inc. Class A Common Stock",HY,2/29/2024,3/15/2024,3/01/2024,0.325,1.3,2/13/2024
"Berry Global Group, Inc. Common Stock",BERY,2/29/2024,3/15/2024,3/01/2024,0.275,1.1,2/01/2024
Element Solutions Inc. Common Stock,ESI,2/29/2024,3/15/2024,3/01/2024,0.08,0.32,2/13/2024
"Advanced Drainage Systems, Inc. Common Stock",WMS,2/29/2024,3/15/2024,3/01/2024,0.14,0.56,2/08/2024
"Clearway Energy, Inc. Class C Common Stock",CWEN,2/29/2024,3/15/2024,3/01/2024,0.4033,1.6132,2/14/2024
"Clearway Energy, Inc. Class A Common Stock",CWEN.A,2/29/2024,3/15/2024,3/01/2024,0.4033,1.6132,2/14/2024
"Houlihan Lokey, Inc. Class A Common Stock",HLI,2/29/2024,3/15/2024,3/01/2024,0.55,2.2,2/01/2024
"Avangrid, Inc. Common Stock",AGR,2/29/2024,4/01/2024,3/01/2024,0.44,1.76,2/15/2024
"Reinsurance Group of America, Incorporated 5.75% Fixed-To-Floating Rate Subordinated Debentures due 2056",RZB,2/29/2024,3/15/2024,3/01/2024,0.3594,1.4376,N/A
Ashland Inc. Common Stock,ASH,2/29/2024,3/15/2024,3/01/2024,0.385,1.54,1/22/2024
Diversified Energy Company plc Ordinary Shares,DEC,2/29/2024,3/28/2024,3/01/2024,0.875,3.5,11/15/2023
"Warrior Met Coal, Inc. Common Stock",HCC,2/29/2024,3/07/2024,3/01/2024,0.5,0.32,2/12/2024
JBG SMITH Properties Common Shares ,JBGS,2/29/2024,3/15/2024,3/01/2024,0.175,0.7,2/14/2024
"Corteva, Inc. Common Stock ",CTVA,2/29/2024,3/15/2024,3/01/2024,0.16,0.64,1/26/2024
