companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Bio-Techne Corp Common Stock,TECH,2/09/2024,2/26/2024,2/12/2024,0.08,0.32,2/03/2024
"Heartland Financial USA, Inc. Common Stock",HTLF,2/09/2024,2/27/2024,2/12/2024,0.3,1.2,1/23/2024
"Landstar System, Inc. Common Stock",LSTR,2/09/2024,3/08/2024,2/12/2024,0.33,1.32,1/23/2024
Meridian Corporation Common Stock,MRBK,2/09/2024,2/20/2024,2/12/2024,0.125,0.5,1/25/2024
Northeast Bank Common Stock,NBN,2/09/2024,2/26/2024,2/12/2024,0.01,0.04,1/30/2024
"Papa John's International, Inc. Common Stock",PZZA,2/09/2024,2/23/2024,2/12/2024,0.46,1.84,1/29/2024
Runway Growth Finance Corp. Common Stock,RWAY,2/09/2024,2/28/2024,2/12/2024,0.47,1.84,2/01/2024
"U.S. Global Investors, Inc. Class A Common Stock",GROW,2/09/2024,2/26/2024,2/12/2024,0.0075,0.09,12/08/2023
United States Steel Corporation Common Stock,X,2/09/2024,3/13/2024,2/12/2024,0.05,0.2,2/01/2024
Core Laboratories Inc. Common Stock,CLB,2/09/2024,3/04/2024,2/12/2024,0.01,0.04,1/31/2024
CMS Energy Corporation Common Stock,CMS,2/09/2024,2/29/2024,2/12/2024,0.515,2.06,2/01/2024
Capital One Financial Corporation Common Stock,COF,2/09/2024,2/23/2024,2/12/2024,0.6,2.4,1/31/2024
"W.W. Grainger, Inc. Common Stock",GWW,2/09/2024,3/01/2024,2/12/2024,1.86,7.44,1/31/2024
Hilltop Holdings Inc.,HTH,2/09/2024,2/28/2024,2/12/2024,0.17,0.68,1/25/2024
California Water Service Group Common Stock,CWT,2/09/2024,2/23/2024,2/12/2024,0.26,1.04,1/25/2024
"Donaldson Company, Inc. Common Stock",DCI,2/09/2024,2/28/2024,2/12/2024,0.25,1.0,1/25/2024
Standex International Corporation Common Stock,SXI,2/09/2024,2/26/2024,2/12/2024,0.3,1.2,1/26/2024
John Hancock Pfd Income Fund II Pfd Income Fund II,HPF,2/09/2024,2/29/2024,2/12/2024,0.1235,1.482,2/01/2024
Pimco Corporate & Income Strategy Fund Common Stock,PCN,2/09/2024,3/01/2024,2/12/2024,0.1125,1.35,2/01/2024
Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,NCZ,2/09/2024,2/28/2024,2/12/2024,0.03,0.36,11/16/2023
Virtus Total Return Fund Inc.,ZTR,2/09/2024,2/28/2024,2/12/2024,0.05,0.6,11/16/2023
Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest,PNI,2/09/2024,3/01/2024,2/12/2024,0.0295,0.354,2/01/2024
PIMCO Income Strategy Fund Shares of Beneficial Interest,PFL,2/09/2024,3/01/2024,2/12/2024,0.0814,0.9768,2/01/2024
John Hancock Preferred Income Fund III Preferred Income Fund III,HPS,2/09/2024,2/29/2024,2/12/2024,0.11,1.32,2/01/2024
