companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"U.S. Global Investors, Inc. Class A Common Stock",GROW,3/08/2024,3/25/2024,3/11/2024,0.0075,0.09,12/08/2023
UMB Financial Corporation Common Stock,UMBF,3/08/2024,4/01/2024,3/11/2024,0.39,1.56,1/30/2024
"Victory Capital Holdings, Inc. Class A Common Stock",VCTR,3/08/2024,3/25/2024,3/11/2024,0.335,1.28,2/08/2024
V.F. Corporation Common Stock,VFC,3/08/2024,3/20/2024,3/11/2024,0.09,0.36,2/06/2024
Omnicom Group Inc. Common Stock,OMC,3/08/2024,4/09/2024,3/11/2024,0.7,2.8,2/15/2024
FedEx Corporation Common Stock,FDX,3/08/2024,4/01/2024,3/11/2024,1.26,5.04,2/16/2024
Compass Minerals Intl Inc Common Stock,CMP,3/08/2024,3/20/2024,3/11/2024,0.15,0.6,2/15/2024
Genpact Limited Common Stock,G,3/08/2024,3/26/2024,3/11/2024,0.1525,0.61,2/08/2024
Spire Inc. Common Stock,SR,3/08/2024,4/02/2024,3/11/2024,0.755,3.02,1/26/2024
CSL Ltd.,CMXHF,3/08/2024,4/03/2024,3/12/2024,1.19,2.38,N/A
Truxton Corp,TRUX,3/08/2024,3/25/2024,3/11/2024,1.0,1.72,1/25/2024
Truxton Corp,TRUX,3/08/2024,3/25/2024,3/11/2024,0.43,1.72,1/25/2024
