companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Argo Blockchain plc 8.75% Senior Notes due 2026,ARBKL,7/15/2024,7/31/2024,7/15/2024,0.5468,2.1872,6/13/2024
Atlas Corp. 7.125% Notes due 2027,ATCOL,7/15/2024,7/30/2024,7/15/2024,0.445313,1.781252,12/08/2023
"B. Riley Financial, Inc. 5.00% Senior Notes due 2026",RILYG,7/15/2024,7/31/2024,7/15/2024,0.3125,1.25,6/13/2024
"B. Riley Financial, Inc. 5.25% Senior Notes due 2028",RILYZ,7/15/2024,7/31/2024,7/15/2024,0.328125,1.3125,6/13/2024
"B. Riley Financial, Inc. 5.50% Senior Notes Due 2026",RILYK,7/15/2024,7/31/2024,7/15/2024,0.34375,1.375,6/13/2024
"B. Riley Financial, Inc. 6.00% Senior Notes Due 2028",RILYT,7/15/2024,7/31/2024,7/15/2024,0.375,1.5,6/13/2024
"B. Riley Financial, Inc. 6.375% Senior Notes due 2025",RILYM,7/15/2024,7/31/2024,7/15/2024,0.3984375,1.59375,6/13/2024
"B. Riley Financial, Inc. 6.50% Senior Notes Due 2026",RILYN,7/15/2024,7/31/2024,7/15/2024,0.40625,1.625,6/13/2024
Bel Fuse Inc. Class A Common Stock,BELFA,7/15/2024,8/01/2024,7/15/2024,0.06,0.24,4/25/2024
Bel Fuse Inc. Class B Common Stock,BELFB,7/15/2024,8/01/2024,7/15/2024,0.07,0.28,4/25/2024
City Holding Company Common Stock,CHCO,7/15/2024,7/31/2024,7/15/2024,0.715,2.86,5/29/2024
Gladstone Investment Corporation 4.875% Notes due 2028,GAINZ,7/15/2024,8/01/2024,7/15/2024,0.3046875,1.21875,6/13/2024
Gladstone Investment Corporation 5.00% Notes Due 2026,GAINN,7/15/2024,8/01/2024,7/15/2024,0.3125,1.25,6/13/2024
Gladstone Investment Corporation 8.00% Notes due 2028,GAINL,7/15/2024,8/01/2024,7/15/2024,0.5,2.0,6/13/2024
PhenixFIN Corporation  5.25% Notes due 2028,PFXNZ,7/15/2024,8/01/2024,7/15/2024,0.328125,1.3125,6/13/2024
"Phillips Edison & Company, Inc. Common Stock",PECO,7/15/2024,8/01/2024,7/15/2024,0.0975,1.17,4/30/2024
"Ramaco Resources, Inc. 9.00% Senior Notes due 2026",METCL,7/15/2024,7/31/2024,7/15/2024,0.5625,2.25,6/13/2024
"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,7/15/2024,7/31/2024,7/15/2024,0.1037,1.2444,5/03/2024
"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,7/15/2024,7/31/2024,7/15/2024,0.1086,1.3032,5/03/2024
"Trinity Industries, Inc. Common Stock",TRN,7/15/2024,7/31/2024,7/15/2024,0.28,1.12,5/20/2024
Hormel Foods Corporation Common Stock,HRL,7/15/2024,8/15/2024,7/15/2024,0.2825,1.13,5/20/2024
"Mid-America Apartment Communities, Inc. Common Stock",MAA,7/15/2024,7/31/2024,7/15/2024,1.47,5.88,5/21/2024
"Townsquare Media, Inc. Class A Common Stock",TSQ,7/15/2024,8/01/2024,7/15/2024,0.1975,0.79,5/09/2024
"Arcosa, Inc. Common Stock ",ACA,7/15/2024,7/31/2024,7/15/2024,0.05,0.2,5/08/2024
Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes,BEPJ,7/15/2024,7/30/2024,7/15/2024,0.453125,1.8125,N/A
