companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Prospect Capital Corporation Common Stock,PSEC,7/29/2024,8/21/2024,7/29/2024,0.06,0.72,5/07/2024
"Simulations Plus, Inc. Common Stock",SLP,7/29/2024,8/05/2024,7/29/2024,0.06,0.24,7/02/2024
KNOT Offshore Partners LP Common Units representing Limited Partner Interests,KNOP,7/29/2024,8/08/2024,7/29/2024,0.026,0.104,7/09/2024
"Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30, 2080",SOJD,7/29/2024,7/30/2024,7/29/2024,0.309375,1.2375,N/A
VTech Holdings Ltd. ADR,VTKLY,7/29/2024,8/23/2024,7/29/2024,0.43,0.86,N/A
