companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Bank First Corporation Common Stock,BFC,6/26/2024,7/10/2024,6/26/2024,0.35,1.4,4/16/2024
"Flexsteel Industries, Inc. Common Stock",FLXS,6/26/2024,7/08/2024,6/26/2024,0.15,0.6,6/11/2024
Mercer International Inc. Common Stock,MERC,6/26/2024,7/03/2024,6/26/2024,0.075,0.3,5/09/2024
Prospect Capital Corporation Common Stock,PSEC,6/26/2024,7/18/2024,6/26/2024,0.06,0.72,5/07/2024
West Fraser Timber Co. Ltd Common stock,WFG,6/26/2024,7/12/2024,6/26/2024,0.32,1.2,6/12/2024
American Vanguard Corporation Common Stock ($0.10 Par Value),AVD,6/26/2024,7/10/2024,6/26/2024,0.03,0.12,6/06/2024
"Zimmer Biomet Holdings, Inc. Common Stock",ZBH,6/26/2024,7/31/2024,6/26/2024,0.24,0.96,5/13/2024
Diamond Bancshares Inc,DMNB,6/26/2024,7/05/2024,6/26/2024,0.33,1.32,6/10/2024
Isabella Bank Corp,ISBA,6/26/2024,6/28/2024,6/26/2024,0.28,1.12,5/29/2024
China Overseas Land & Investment Ltd. ADR,CAOVY,6/26/2024,7/29/2024,6/26/2024,0.244807,0.4896,N/A
China CITIC Bank Corp. Ltd. ADR,CHCJY,6/26/2024,8/02/2024,6/26/2024,0.834227,0.8342,N/A
