companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Cummins Inc. Common Stock,CMI,8/23/2024,9/05/2024,8/23/2024,1.82,6.72,7/09/2024
Western Asset Investment Grade Income Fund Inc.,PAI,8/23/2024,9/03/2024,8/23/2024,0.0515,0.618,5/22/2024
Western Asset Inflation-Linked Income Fund,WIA,8/23/2024,8/30/2024,8/23/2024,0.05,0.6,5/22/2024
Western Asset High Income Fund II Inc. Common Stock,HIX,8/23/2024,9/03/2024,8/23/2024,0.049,0.588,5/22/2024
"Western Asset Managed Municipals Fund, Inc. Common Stock",MMU,8/23/2024,9/03/2024,8/23/2024,0.0545,0.654,5/22/2024
Western Asset High Yield Defined Opportunity Fund Inc. Common Stock,HYI,8/23/2024,9/03/2024,8/23/2024,0.095,1.14,5/22/2024
"Western Asset Municipal High Income Fund, Inc. Common Stock",MHF,8/23/2024,9/03/2024,8/23/2024,0.034,0.408,5/22/2024
Western Asset Intermediate Muni Fund Inc Common Stock,SBI,8/23/2024,9/03/2024,8/23/2024,0.042,0.504,5/22/2024
"Western Asset High Income Opportunity Fund, Inc. Common Stock",HIO,8/23/2024,9/03/2024,8/23/2024,0.0355,0.426,5/22/2024
Western Asset Bond Fund Share of Beneficial Interest,WEA,8/23/2024,9/03/2024,8/23/2024,0.07,0.84,5/22/2024
Western Asset Global High Income Fund Inc Common Stock,EHI,8/23/2024,9/03/2024,8/23/2024,0.07,0.84,5/22/2024
E-mini S&P MidCap 400 Futures ,EMD,8/23/2024,9/03/2024,8/23/2024,0.0845,1.014,5/22/2024
LMP Capital and Income Fund Inc. Common Stock,SCD,8/23/2024,9/03/2024,8/23/2024,0.113,1.356,5/22/2024
Western Asset Inflation-Linked Opportunities & Income Fund,WIW,8/23/2024,8/30/2024,8/23/2024,0.0605,0.726,5/22/2024
TE Connectivity Ltd. New Switzerland Registered Shares,TEL,8/23/2024,9/06/2024,8/23/2024,0.65,2.6,3/13/2024
Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,BSL,8/23/2024,8/30/2024,8/23/2024,0.114,1.368,6/11/2024
Western Asset Investment Grade Defined Opportunity Trust Inc. Common Stock,IGI,8/23/2024,9/03/2024,8/23/2024,0.071,0.852,5/22/2024
Western Asset Global Corporate Defined Opportunity Fund Inc.,GDO,8/23/2024,9/03/2024,8/23/2024,0.122,1.464,5/22/2024
Western Asset Mortgage Opportunity Fund Inc. Common Stock,DMO,8/23/2024,9/03/2024,8/23/2024,0.13,1.56,5/22/2024
Blackstone Long Short Credit Income Fund Common Shares,BGX,8/23/2024,8/30/2024,8/23/2024,0.105,1.26,6/11/2024
BrandywineGLOBAL Global Income Opportunities Fund Inc.,BWG,8/23/2024,9/03/2024,8/23/2024,0.08,0.96,5/22/2024
Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,BGB,8/23/2024,8/30/2024,8/23/2024,0.101,1.212,6/11/2024
Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,HIE,8/23/2024,8/30/2024,8/23/2024,0.051,0.612,7/01/2024
Highland Global Allocation Fund Common Stock,HGLB,8/23/2024,8/30/2024,8/23/2024,0.081,0.972,7/01/2024
Ecofin Sustainable and Social Impact Term Fund,TEAF,8/23/2024,8/30/2024,8/23/2024,0.09,1.08,5/08/2024
Western Asset Diversified Income Fund Common Shares of Beneficial Interest,WDI,8/23/2024,9/03/2024,8/23/2024,0.1485,1.782,5/22/2024
Imperial Brands Plc ADR,IMBBY,8/23/2024,10/11/2024,8/23/2024,0.2751679,1.1007,N/A
Investec plc ADR,IVTJY,8/23/2024,9/20/2024,8/23/2024,0.4345,0.7785,N/A
