companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Magic Software Enterprises Ltd. Ordinary Shares,MGIC,6/27/2024,7/11/2024,6/27/2024,0.204,0.654,5/16/2024
DBA Sempra Common Stock,SRE,6/27/2024,7/15/2024,6/27/2024,0.62,2.48,5/14/2024
Getty Realty Corporation Common Stock,GTY,6/27/2024,7/11/2024,6/27/2024,0.45,1.8,4/25/2024
BanColombia S.A. Common Stock,CIB,6/27/2024,7/12/2024,6/27/2024,0.89825,3.593,6/06/2024
"Northern Oil and Gas, Inc. Common Stock",NOG,6/27/2024,7/31/2024,6/27/2024,0.4,1.6,5/02/2024
"Bain Capital Specialty Finance, Inc. Common Stock",BCSF,6/27/2024,7/29/2024,6/28/2024,0.03,1.68,5/06/2024
"American Healthcare REIT, Inc. Common Stock",AHR,6/27/2024,7/19/2024,6/27/2024,0.25,1.0,6/12/2024
Guangdong Investment Ltd. ADR,GGDVY,6/27/2024,8/09/2024,6/27/2024,0.739423,1.4788,N/A
Zhongsheng Group Holdings Limited ADR,ZSHGY,6/27/2024,7/29/2024,6/27/2024,0.970551,0.9706,N/A
Travelsky Technology ADR,TSYHY,6/27/2024,10/07/2024,6/27/2024,0.178686,0.1787,N/A
BAIC Motor Corporation Limited ADR,BCCMY,6/27/2024,9/20/2024,6/27/2024,0.142027,0.142,N/A
American Healthcare REIT Inc - Class I,AHTR,6/27/2024,7/19/2024,6/27/2024,0.25,1.0,6/12/2024
Mytilineos S.A. ADR,MYTHY,6/27/2024,7/17/2024,6/27/2024,1.480735,1.4807,N/A
Yankuang Energy Group Co Ltd Sponsored Adr Repstg H Shs,YZCAY,6/27/2024,8/09/2024,6/27/2024,0.261913,4.1382,N/A
Yankuang Energy Group Co Ltd Sponsored Adr Repstg H Shs,YZCAY,6/27/2024,8/09/2024,6/27/2024,1.612837,4.1382,N/A
