companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Regency Centers Corporation Common Stock,REG,6/12/2024,7/03/2024,6/12/2024,0.67,2.68,5/01/2024
"Texas Roadhouse, Inc. Common Stock",TXRH,6/12/2024,6/25/2024,6/12/2024,0.61,2.2,5/16/2024
Kohl's Corporation Common Stock,KSS,6/12/2024,6/26/2024,6/12/2024,0.5,2.0,5/15/2024
STERIS plc (Ireland) Ordinary Shares,STE,6/12/2024,6/26/2024,6/12/2024,0.52,2.08,5/01/2024
"Winnebago Industries, Inc. Common Stock",WGO,6/12/2024,6/26/2024,6/12/2024,0.31,1.24,5/15/2024
NewJersey Resources Corporation Common Stock,NJR,6/12/2024,7/01/2024,6/12/2024,0.42,1.68,4/18/2024
Ameren Corporation Common Stock,AEE,6/12/2024,6/28/2024,6/12/2024,0.67,2.68,5/10/2024
Public Storage Common Stock,PSA,6/12/2024,6/27/2024,6/12/2024,3.0,12.0,5/08/2024
"Civitas Resources, Inc. Common Stock",CIVI,6/12/2024,6/26/2024,6/12/2024,0.5,2.0,5/02/2024
HP Inc. Common Stock,HPQ,6/12/2024,7/03/2024,6/12/2024,0.2756,1.1024,5/15/2024
"International Seaways, Inc. Common Stock ",INSW,6/12/2024,6/26/2024,6/12/2024,1.63,0.48,5/07/2024
"International Seaways, Inc. Common Stock ",INSW,6/12/2024,6/26/2024,6/12/2024,0.12,0.48,5/07/2024
FS KKR Capital Corp. Common Stock,FSK,6/12/2024,7/02/2024,6/12/2024,0.06,0.24,5/08/2024
Dole plc Ordinary Shares,DOLE,6/12/2024,7/05/2024,6/12/2024,0.08,0.32,5/14/2024
Ardagh Metal Packaging S.A. Ordinary Shares,AMBP,6/12/2024,6/26/2024,6/12/2024,0.1,0.4,4/25/2024
"Thomasville Bancshares, Inc.",THVB,6/12/2024,7/03/2024,6/12/2024,1.05,2.1,4/17/2024
Andover Bancorp Inc. Ohio,ANDC,6/12/2024,7/01/2024,6/12/2024,0.375,0.75,5/15/2024
BYD Co ADR,BYDDY,6/12/2024,8/21/2024,6/12/2024,0.722069,0.7221,N/A
Alibaba Group Holding Ltd,BABAF,6/12/2024,7/03/2024,6/13/2024,0.2075,0.3325,N/A
Stroer SE & Co. KGaA ADR,SOTDY,6/12/2024,7/01/2024,6/13/2024,0.318812,0.6416,N/A
