companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
AstraZeneca PLC American Depositary Shares,AZN,2/22/2024,3/25/2024,2/23/2024,0.985,1.97,2/08/2024
"Columbia Banking System, Inc. Common Stock",COLB,2/22/2024,3/11/2024,2/23/2024,0.36,1.44,2/09/2024
"H&E Equipment Services, Inc. Common Stock",HEES,2/22/2024,3/15/2024,2/23/2024,0.275,1.1,2/09/2024
Microchip Technology Incorporated Common Stock,MCHP,2/22/2024,3/08/2024,2/23/2024,0.45,1.756,2/01/2024
"Superior Group of Companies, Inc. Common Stock",SGC,2/22/2024,2/29/2024,2/23/2024,0.14,0.56,2/12/2024
The Carlyle Group Inc. Common Stock,CG,2/22/2024,3/01/2024,2/23/2024,0.35,1.4,2/06/2024
TPG Inc. Class A Common Stock,TPG,2/22/2024,3/08/2024,2/23/2024,0.44,1.92,2/13/2024
"United States Lime & Minerals, Inc. Common Stock",USLM,2/22/2024,3/15/2024,2/23/2024,0.25,0.8,2/02/2024
"WaFd, Inc. Common Stock",WAFD,2/22/2024,3/08/2024,2/23/2024,0.26,1.0,2/13/2024
Seaboard Corporation Common Stock,SEB,2/22/2024,3/04/2024,2/23/2024,2.25,9.0,2/13/2024
"Magna International, Inc. Common Stock",MGA,2/22/2024,3/08/2024,2/23/2024,0.475,1.9,2/09/2024
Cabot Corporation Common Stock,CBT,2/22/2024,3/08/2024,2/23/2024,0.4,1.6,1/12/2024
Cummins Inc. Common Stock,CMI,2/22/2024,3/07/2024,2/23/2024,1.68,6.72,2/13/2024
"Equifax, Inc. Common Stock",EFX,2/22/2024,3/15/2024,2/23/2024,0.39,1.56,2/07/2024
Unilever PLC Common Stock,UL,2/22/2024,3/22/2024,2/23/2024,0.4582,1.8328,2/09/2024
RTX Corporation Common Stock,RTX,2/22/2024,3/21/2024,2/23/2024,0.59,2.36,2/02/2024
Avista Corporation Common Stock,AVA,2/22/2024,3/15/2024,2/23/2024,0.475,1.9,2/07/2024
"Badger Meter, Inc. Common Stock",BMI,2/22/2024,3/08/2024,2/23/2024,0.27,1.08,2/09/2024
Jacobs Solutions Inc. Common Stock,J,2/22/2024,3/22/2024,2/23/2024,0.29,1.16,1/25/2024
Louisiana-Pacific Corporation Common Stock,LPX,2/22/2024,3/08/2024,2/23/2024,0.26,1.04,2/09/2024
GSK plc American Depositary Shares (Each representing two Ordinary Shares),GSK,2/22/2024,4/11/2024,2/23/2024,0.4060608,1.6242,2/01/2024
Robert Half Inc. Common Stock,RHI,2/22/2024,3/15/2024,2/23/2024,0.53,2.12,2/13/2024
Welltower Inc. Common Stock,WELL,2/22/2024,3/07/2024,2/23/2024,0.61,2.44,2/13/2024
Oil-Dri Corporation Of America Common Stock,ODC,2/22/2024,3/08/2024,2/23/2024,0.29,1.16,12/14/2023
First BanCorp. New Common Stock,FBP,2/22/2024,3/08/2024,2/23/2024,0.16,0.64,2/08/2024
"Dynex Capital, Inc. Common Stock",DX,2/22/2024,3/01/2024,2/23/2024,0.13,1.56,2/13/2024
Putnam Premier Income Trust Common Stock,PPT,2/22/2024,3/01/2024,2/23/2024,0.026,0.312,1/29/2024
Putnam Master Intermediate Income Trust Common Stock,PIM,2/22/2024,3/01/2024,2/23/2024,0.022,0.264,1/29/2024
Putnam Managed Municipal Income Trust Common Stock,PMM,2/22/2024,3/01/2024,2/23/2024,0.0238,0.2856,1/29/2024
Scotts Miracle-Gro Company (The) Common Stock,SMG,2/22/2024,3/08/2024,2/23/2024,0.66,2.64,1/22/2024
Putnam Municipal Opportunities Trust Common Stock,PMO,2/22/2024,3/01/2024,2/23/2024,0.035,0.42,1/26/2024
Westinghouse Air Brake Technologies Corporation Common Stock,WAB,2/22/2024,3/08/2024,2/23/2024,0.2,0.8,2/14/2024
Moody's Corporation Common Stock,MCO,2/22/2024,3/15/2024,2/23/2024,0.85,3.4,2/13/2024
Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),ITUB,2/22/2024,3/15/2024,2/23/2024,0.2255121,0.0435,2/08/2024
Federated Hermes Premier Municipal Income Fund,FMN,2/22/2024,3/01/2024,2/23/2024,0.035,0.42,2/12/2024
Shinhan Financial Group Co Ltd American Depositary Shares,SHG,2/22/2024,1/01/0001,2/23/2024,0.395289,1.5812,2/08/2024
Macquarie First Trust Global Common Stock,MFD,2/22/2024,2/29/2024,2/23/2024,0.2,0.8,2/12/2024
Evercore Inc. Class A Common Stock,EVR,2/22/2024,3/08/2024,2/23/2024,0.76,3.04,1/30/2024
First Trust Specialty Finance and Financial Opportunities Fund,FGB,2/22/2024,2/29/2024,2/23/2024,0.0825,0.33,2/12/2024
"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares",MIXT,2/22/2024,3/07/2024,2/23/2024,0.060324,0.2413,2/02/2024
"Piedmont Office Realty Trust, Inc. Class A Common Stock",PDM,2/22/2024,3/15/2024,2/23/2024,0.125,0.5,2/01/2024
"Huntington Ingalls Industries, Inc. Common Stock",HII,2/22/2024,3/08/2024,2/23/2024,1.3,5.2,2/07/2024
"Spirit Airlines, Inc. Common Stock",SAVE,2/22/2024,2/29/2024,2/23/2024,0.1,0.0,2/13/2024
"Fortune Brands Innovations, Inc. Common Stock",FBIN,2/22/2024,3/13/2024,2/23/2024,0.24,0.96,12/12/2023
Matador Resources Company Common Stock,MTDR,2/22/2024,3/13/2024,2/23/2024,0.2,0.8,2/13/2024
National Bank Holdings Corporation Common Stock,NBHC,2/22/2024,3/15/2024,2/23/2024,0.27,1.08,1/18/2024
"Boise Cascade, L.L.C. Common Stock",BCC,2/22/2024,3/15/2024,2/23/2024,0.2,0.8,2/06/2024
"Bath & Body Works, Inc.",BBWI,2/22/2024,3/08/2024,2/23/2024,0.2,0.8,2/09/2024
"ONE Gas, Inc. Common Stock",OGS,2/22/2024,3/08/2024,2/23/2024,0.66,2.64,1/23/2024
Fortive Corporation Common Stock ,FTV,2/22/2024,3/28/2024,2/23/2024,0.08,0.32,1/23/2024
Hilton Worldwide Holdings Inc. Common Stock ,HLT,2/22/2024,3/28/2024,2/23/2024,0.15,0.6,2/07/2024
FLEX LNG Ltd. Ordinary Shares,FLNG,2/22/2024,3/08/2024,2/23/2024,0.75,3.0,2/06/2024
STERIS plc (Ireland) Ordinary Shares,STE,2/22/2024,3/22/2024,2/23/2024,0.52,2.08,1/30/2024
Blue Owl Capital Inc. Class A Common Stock,OWL,2/22/2024,3/05/2024,2/23/2024,0.14,0.56,2/09/2024
Bowlero Corp. Class A Common Stock,BOWL,2/22/2024,3/08/2024,2/23/2024,0.055,0.22,2/05/2024
Western Capital Resources Inc,WCRS,2/22/2024,3/04/2024,2/23/2024,0.025,0.1,2/08/2024
Pinnacle Bankshares Corp.,PPBN,2/22/2024,3/08/2024,2/23/2024,0.25,1.0,2/13/2024
Easyjet plc ADR,ESYJY,2/22/2024,3/27/2024,2/23/2024,0.056479,0.0565,N/A
Endeavour Mining Corp,EDVMF,2/22/2024,3/25/2024,2/23/2024,0.41,1.22,1/31/2024
