companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units, Series 3",BPYPN,6/03/2024,6/28/2024,6/03/2024,0.359375,1.4375,4/30/2024
"Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units, Series 1",BPYPM,6/03/2024,6/28/2024,6/03/2024,0.390625,1.5625,4/30/2024
"Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units, Series 2",BPYPO,6/03/2024,6/28/2024,6/03/2024,0.3984375,1.59375,4/30/2024
Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,BPYPP,6/03/2024,6/28/2024,6/03/2024,0.40625,1.625,4/30/2024
Bruker Corporation Common Stock,BRKR,6/03/2024,6/17/2024,6/03/2024,0.05,0.2,5/14/2024
"Diamond Hill Investment Group, Inc. Class A Common Stock",DHIL,6/03/2024,6/14/2024,6/03/2024,1.5,6.0,5/08/2024
"Eastern Bankshares, Inc. Common Stock",EBC,6/03/2024,6/14/2024,6/03/2024,0.11,0.44,4/25/2024
"Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",EFSCP,6/03/2024,6/17/2024,6/03/2024,0.3125,1.25,4/22/2024
First Financial Bancorp. Common Stock,FFBC,6/03/2024,6/17/2024,6/03/2024,0.23,0.92,4/23/2024
FNCB Bancorp Inc. Common Stock,FNCB,6/03/2024,6/17/2024,6/03/2024,0.09,0.36,4/24/2024
FTAI Aviation Ltd. 8.00% Fixed-to-Floating Rate Series B Cumulative Perpetual Redeemable Preferred Shares,FTAIO,6/03/2024,6/14/2024,6/03/2024,0.5,2.0,4/25/2024
FTAI Aviation Ltd. 8.25% Fixed - Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares,FTAIN,6/03/2024,6/14/2024,6/03/2024,0.51563,2.06252,4/25/2024
FTAI Aviation Ltd. 8.25% Fixed to Floating Rate Series A Cumulative Perpetual Redeemable Preferred Shares,FTAIP,6/03/2024,6/14/2024,6/03/2024,0.51563,2.06252,4/25/2024
FTAI Aviation Ltd. 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares,FTAIM,6/03/2024,6/14/2024,6/03/2024,0.59375,2.375,4/25/2024
