companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Comcast Corporation Class A Common Stock,CMCSA,7/03/2024,7/24/2024,7/03/2024,0.31,1.24,5/15/2024
Progressive Corporation (The) Common Stock,PGR,7/03/2024,7/12/2024,7/03/2024,0.1,0.4,5/10/2024
Brandywine Realty Trust Common Stock,BDN,7/03/2024,7/18/2024,7/03/2024,0.15,0.6,5/23/2024
ESCO Technologies Inc. Common Stock,ESE,7/03/2024,7/19/2024,7/03/2024,0.08,0.32,5/09/2024
Wabash National Corporation Common Stock,WNC,7/03/2024,7/25/2024,7/03/2024,0.08,0.32,5/21/2024
"Simpson Manufacturing Company, Inc. Common Stock",SSD,7/03/2024,7/25/2024,7/04/2024,0.28,1.12,5/01/2024
"Veris Residential, Inc. Common Stock",VRE,7/03/2024,7/16/2024,7/03/2024,0.06,0.24,5/06/2024
AECOM Common Stock,ACM,7/03/2024,7/19/2024,7/03/2024,0.22,0.88,6/05/2024
"Hannon Armstrong Sustainable Infrastructure Capital, Inc. Common Stock",HASI,7/03/2024,7/12/2024,7/03/2024,0.415,1.66,5/07/2024
Campbell Soup Company Common Stock,CPB,7/03/2024,7/29/2024,7/03/2024,0.37,1.48,5/13/2024
Noah Holdings Limited American Depositary Shares,NOAH,7/03/2024,8/01/2024,7/03/2024,2.124929,0.3835,6/12/2024
Tsingtao Brewery Company Limited ADR,TSGTY,7/03/2024,8/16/2024,7/03/2024,1.2223217,1.2223,N/A
"Bank of Communications Co., Ltd. ADR",BCMXY,7/03/2024,8/15/2024,7/03/2024,1.094462,1.1254,N/A
Zhuzhou CRRC Times Electric Co Ltd. ADR,ZHUZY,7/03/2024,8/23/2024,7/03/2024,0.434619,0.4346,N/A
Enagas SA ADR,ENGGY,7/03/2024,7/19/2024,7/03/2024,0.404869,0.8097,N/A
