companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"U.S. Global Investors, Inc. Class A Common Stock",GROW,8/12/2024,8/26/2024,8/12/2024,0.0075,0.09,6/10/2024
"Rockwell Automation, Inc. Common Stock",ROK,8/12/2024,9/10/2024,8/12/2024,1.25,5.0,6/05/2024
Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,NCZ,8/12/2024,8/29/2024,8/12/2024,0.03,0.36,6/06/2024
Virtus Total Return Fund Inc.,ZTR,8/12/2024,8/29/2024,8/12/2024,0.05,0.6,6/06/2024
Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,EDF,8/12/2024,8/29/2024,8/12/2024,0.06,0.72,6/06/2024
Virtus Convertible & Income Fund Common Shares of Beneficial Interest,NCV,8/12/2024,8/29/2024,8/12/2024,0.034,0.408,6/06/2024
Virtus Global Multi-Sector Income Fund Common Shares of Beneficial Interest,VGI,8/12/2024,8/29/2024,8/12/2024,0.08,0.96,6/06/2024
Eagle Point Credit Company Inc. Common Stock,ECC,8/12/2024,8/30/2024,8/12/2024,0.02,1.68,5/15/2024
Eagle Point Credit Company Inc. Common Stock,ECC,8/12/2024,8/30/2024,8/12/2024,0.14,1.68,5/15/2024
Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV,8/12/2024,8/29/2024,8/12/2024,0.18,2.16,6/06/2024
Eagle Point Income Company Inc. Common Stock,EIC,8/12/2024,8/30/2024,8/12/2024,0.2,2.4,5/15/2024
Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,AIO,8/12/2024,8/29/2024,8/12/2024,0.15,1.8,6/06/2024
Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,ECCC,8/12/2024,8/30/2024,8/12/2024,0.135417,1.625,5/15/2024
Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,EICA,8/12/2024,8/30/2024,8/12/2024,0.104167,1.25,5/15/2024
Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,ECCF,8/12/2024,8/30/2024,8/12/2024,0.166667,2.0,5/15/2024
Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,EICB,8/12/2024,8/30/2024,8/12/2024,0.161459,1.9375,5/15/2024
Nuveen Churchill Direct Lending Corp. Common Stock,NCDL,8/12/2024,10/28/2024,8/12/2024,0.1,1.8,1/10/2024
Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,EICC,8/12/2024,8/30/2024,8/12/2024,0.166667,2.0,5/15/2024
