companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"American Software, Inc. Class A Common Stock",AMSWA,8/16/2024,8/30/2024,8/16/2024,0.11,0.44,5/30/2024
"Golub Capital BDC, Inc. Common Stock",GBDC,8/16/2024,9/13/2024,8/16/2024,0.05,1.56,6/02/2024
Horizon Technology Finance Corporation Common Stock,HRZN,8/16/2024,9/13/2024,8/16/2024,0.11,1.32,4/26/2024
Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares,OXLCP,8/16/2024,8/30/2024,8/16/2024,0.13020833,1.5625,5/14/2024
Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,OXLCN,8/16/2024,8/30/2024,8/16/2024,0.1484375,1.78125,5/14/2024
Oxford Lane Capital Corp. Common Stock,OXLC,8/16/2024,8/30/2024,8/16/2024,0.09,0.96,5/14/2024
"Oxford Lane Capital Corp. Preferred Stock Shares, 6.00% Series 2029",OXLCO,8/16/2024,8/30/2024,8/16/2024,0.125,1.5,5/14/2024
Oxford Square Capital Corp. Common Stock,OXSQ,8/16/2024,8/30/2024,8/16/2024,0.035,0.42,4/25/2024
Starbucks Corporation Common Stock,SBUX,8/16/2024,8/30/2024,8/16/2024,0.57,2.28,6/11/2024
Reaves Utility Income Fund Common Shares of Beneficial Interest,UTG,8/16/2024,8/30/2024,8/16/2024,0.19,2.28,7/09/2024
Gabelli Global Utility Common Shares of Beneficial Ownership,GLU,8/16/2024,8/23/2024,8/16/2024,0.1,1.2,5/16/2024
Clough Global Dividend and Income Fund Common Shares of beneficial interest,GLV,8/16/2024,8/30/2024,8/16/2024,0.0526,0.6312,7/09/2024
"GAMCO Global Gold, Natural Resources & Income Trust",GGN,8/16/2024,8/23/2024,8/16/2024,0.03,0.36,5/16/2024
Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,GLQ,8/16/2024,8/30/2024,8/16/2024,0.0603,0.7236,7/09/2024
Clough Global Opportunities Fund Common Stock,GLO,8/16/2024,8/30/2024,8/16/2024,0.048,0.576,7/09/2024
Walmart Inc. Common Stock,WMT,8/16/2024,9/03/2024,8/16/2024,0.2075,0.83,2/20/2024
RTX Corporation Common Stock,RTX,8/16/2024,9/05/2024,8/16/2024,0.63,2.52,6/03/2024
"Helmerich & Payne, Inc. Common Stock",HP,8/16/2024,8/30/2024,8/16/2024,0.17,1.0,6/05/2024
"Helmerich & Payne, Inc. Common Stock",HP,8/16/2024,8/30/2024,8/16/2024,0.25,1.0,6/05/2024
Gabelli Utility Trust (The) Common Stock,GUT,8/16/2024,8/23/2024,8/16/2024,0.05,0.6,5/16/2024
Lindsay Corporation Common Stock,LNN,8/16/2024,8/30/2024,8/16/2024,0.36,1.44,6/28/2024
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,GDV,8/16/2024,8/23/2024,8/16/2024,0.11,1.32,5/16/2024
Principal Real Estate Income Fund Common Shares of Beneficial Interest,PGZ,8/16/2024,8/30/2024,8/16/2024,0.105,1.26,7/01/2024
"HCI Group, Inc. Common Stock",HCI,8/16/2024,9/20/2024,8/16/2024,0.4,1.6,7/08/2024
"GAMCO Natural Resources, Gold & Income Trust",GNT,8/16/2024,8/23/2024,8/16/2024,0.03,0.36,5/16/2024
DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,DTW,8/16/2024,9/03/2024,8/16/2024,0.328125,1.3125,N/A
CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,CMSD,8/16/2024,9/03/2024,8/17/2024,0.3671875,1.4688,N/A
DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,DTG,8/16/2024,9/03/2024,8/16/2024,0.2734375,1.0938,N/A
