companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Chemung Financial Corp Common Stock,CHMG,6/17/2024,7/01/2024,6/17/2024,0.31,1.24,5/20/2024
"Global Self Storage, Inc. Common Stock",SELF,6/17/2024,6/28/2024,6/17/2024,0.0725,0.29,6/03/2024
Horizon Technology Finance Corporation Common Stock,HRZN,6/17/2024,7/16/2024,6/17/2024,0.11,1.32,4/26/2024
Huntington Bancshares Incorporated Common Stock,HBAN,6/17/2024,7/01/2024,6/17/2024,0.155,0.62,4/19/2024
Lamar Advertising Company Class A Common Stock,LAMR,6/17/2024,6/28/2024,6/17/2024,1.3,5.2,5/16/2024
LuxUrban Hotels Inc. 13.00% Series A Cumulative Redeemable Preferred Stock,LUXHP,6/17/2024,6/28/2024,6/17/2024,0.2708333,3.25,6/03/2024
"Midland States Bancorp, Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.750% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",MSBIP,6/17/2024,7/01/2024,6/17/2024,0.4844,1.9376,5/07/2024
Monroe Capital Corporation Common Stock,MRCC,6/17/2024,6/28/2024,6/17/2024,0.25,1.0,6/03/2024
Paramount Global Class A Common Stock,PARAA,6/17/2024,7/01/2024,6/17/2024,0.05,0.2,4/10/2024
Paramount Global Class B Common Stock,PARA,6/17/2024,7/01/2024,6/17/2024,0.05,0.2,4/10/2024
"Phillips Edison & Company, Inc. Common Stock",PECO,6/17/2024,7/02/2024,6/17/2024,0.0975,1.17,4/30/2024
"Stock Yards Bancorp, Inc. Common Stock",SYBT,6/17/2024,7/01/2024,6/17/2024,0.3,1.2,5/21/2024
Espey Mfg. & Electronics Corp. Common Stock,ESP,6/17/2024,6/24/2024,6/17/2024,0.2,0.8,6/06/2024
Neuberger Berman High Yield Strategies Fund,NHS,6/17/2024,6/28/2024,6/17/2024,0.0905,1.086,5/31/2024
"Neuberger Berman Real Estate Securities Income Fund, Inc.",NRO,6/17/2024,6/28/2024,6/17/2024,0.0312,0.3744,5/31/2024
Reaves Utility Income Fund Common Shares of Beneficial Interest,UTG,6/17/2024,6/28/2024,6/17/2024,0.19,2.28,4/05/2024
Clough Global Dividend and Income Fund Common Shares of beneficial interest,GLV,6/17/2024,6/28/2024,6/17/2024,0.0526,0.6312,4/05/2024
Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,GLQ,6/17/2024,6/28/2024,6/17/2024,0.0603,0.7236,4/05/2024
Clough Global Opportunities Fund Common Stock,GLO,6/17/2024,6/28/2024,6/17/2024,0.048,0.576,4/05/2024
Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,NML,6/17/2024,6/28/2024,6/17/2024,0.0584,0.7008,5/31/2024
"Strawberry Fields REIT, Inc. Common Stock",STRW,6/17/2024,6/28/2024,6/17/2024,0.13,0.52,5/08/2024
DTE Energy Company Common Stock,DTE,6/17/2024,7/15/2024,6/17/2024,1.02,4.08,5/02/2024
"Donaldson Company, Inc. Common Stock",DCI,6/17/2024,6/28/2024,6/17/2024,0.27,1.08,5/31/2024
Marcus Corporation (The) Common Stock,MCS,6/17/2024,6/26/2024,6/17/2024,0.07,0.28,5/23/2024
Stewart Information Services Corporation Common Stock,STC,6/17/2024,6/28/2024,6/17/2024,0.475,1.9,6/03/2024
Sabine Royalty Trust Common Stock,SBR,6/17/2024,6/28/2024,6/17/2024,0.53764,6.4517,6/07/2024
UnitedHealth Group Incorporated Common Stock (DE),UNH,6/17/2024,6/25/2024,6/17/2024,2.1,8.4,6/05/2024
Aegon Ltd. New York Registry Shares,AEG,6/17/2024,7/08/2024,6/17/2024,0.173408,0.3468,3/01/2024
World Kinect Corporation Common Stock,WKC,6/17/2024,7/16/2024,6/17/2024,0.17,0.68,6/06/2024
Universal Health Realty Income Trust Common Stock,UHT,6/17/2024,6/28/2024,6/17/2024,0.73,2.92,6/05/2024
Curtiss-Wright Corporation Common Stock,CW,6/17/2024,7/05/2024,6/17/2024,0.21,0.84,5/10/2024
DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,DTF,6/17/2024,6/28/2024,6/17/2024,0.0325,0.39,3/15/2024
Eastman Chemical Company Common Stock,EMN,6/17/2024,7/09/2024,6/17/2024,0.81,3.24,5/02/2024
Eagle Materials Inc Common Stock,EXP,6/17/2024,7/15/2024,6/17/2024,0.25,1.0,5/23/2024
"Prologis, Inc. Common Stock",PLD,6/17/2024,6/28/2024,6/17/2024,0.96,3.84,5/09/2024
Garmin Ltd. Common Stock (Switzerland),GRMN,6/17/2024,6/28/2024,6/17/2024,0.75,3.0,2/21/2024
Banco Macro S.A.  ADR (representing Ten Class B Common Shares),BMA,6/17/2024,6/24/2024,6/17/2024,1.761838,21.1421,6/05/2024
"KBR, Inc. Common Stock",KBR,6/17/2024,7/15/2024,6/17/2024,0.15,0.6,5/16/2024
NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,SRV,6/17/2024,6/28/2024,6/17/2024,0.45,5.4,6/03/2024
"Cemex, S.A.B. de C.V. Sponsored ADR",CX,6/17/2024,6/26/2024,6/17/2024,0.349,0.349,6/07/2024
"Merck & Company, Inc. Common Stock (new)",MRK,6/17/2024,7/08/2024,6/17/2024,0.77,3.08,5/28/2024
"DT Midstream, Inc. Common Stock ",DTM,6/17/2024,7/15/2024,6/17/2024,0.735,2.94,4/30/2024
"Douglas Dynamics, Inc. Common Stock",PLOW,6/17/2024,6/28/2024,6/17/2024,0.295,1.18,6/06/2024
"Hudson Pacific Properties, Inc. Common Stock",HPP,6/17/2024,6/27/2024,6/17/2024,0.05,0.2,5/20/2024
Duff & Phelps Utility and Infrastructure Fund Inc.,DPG,6/17/2024,6/28/2024,6/17/2024,0.21,0.84,3/15/2024
Carlyle Credit Income Fund Shares of Beneficial Interest,CCIF,6/17/2024,6/28/2024,6/17/2024,0.105,1.26,5/29/2024
NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,NXG,6/17/2024,6/28/2024,6/17/2024,0.54,6.48,6/03/2024
Iron Mountain Incorporated (Delaware)Common Stock REIT,IRM,6/17/2024,7/05/2024,6/17/2024,0.65,2.6,5/02/2024
"ARMOUR Residential REIT, Inc.",ARR,6/17/2024,6/27/2024,6/17/2024,0.24,2.88,5/30/2024
XAI Octagon Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,XFLT,6/17/2024,7/01/2024,6/17/2024,0.085,1.02,6/03/2024
"Vertiv Holdings, LLC Class A Common Stock",VRT,6/17/2024,6/26/2024,6/17/2024,0.025,0.1,6/04/2024
Utz Brands Inc Class A Common Stock ,UTZ,6/17/2024,7/03/2024,6/17/2024,0.059,0.236,6/06/2024
Neuberger Berman Next Generation Connectivity Fund Inc. Common Stock,NBXG,6/17/2024,6/28/2024,6/17/2024,0.1,1.2,5/31/2024
Bexil Investment Trust Com (New),BXSY,6/17/2024,6/28/2024,6/17/2024,0.25,1.0,5/31/2024
Vornado Realty Trust 6.50% PRF PERPETUAL USD 50 - Ser A,VNORP,6/17/2024,7/01/2024,6/17/2024,0.8125,3.25,5/01/2024
Niagara Mohawk Power Corp. 3.40% PRF PERPETUAL USD 100,NMPWP,6/17/2024,7/01/2024,6/17/2024,0.85,3.4,5/13/2024
Absecon Bancorp,ASCN,6/17/2024,6/28/2024,6/17/2024,0.75,0.75,6/07/2024
New England Power Co 6% PRF PERPETUAL USD 100,NEWEN,6/17/2024,7/01/2024,6/17/2024,1.5,6.0,5/30/2024
China Mengniu Dairy Company Limited ADR,CIADY,6/17/2024,7/11/2024,6/17/2024,0.605225,0.6052,N/A
Daphne International Holdings Ltd. ADR,DPNEY,6/17/2024,7/19/2024,6/17/2024,0.021746,0.0435,N/A
Banco Do Brasil S.A. ADR,BDORY,6/17/2024,7/08/2024,6/17/2024,0.033081,0.2767,N/A
Hamburger Hafen Und Logistik AG ADR,HHULY,6/17/2024,7/03/2024,6/17/2024,0.028067,0.0281,N/A
Carlyle Credit Income Fund 8.75% Series A Preferred Shares due 2028,CCIA,6/17/2024,6/28/2024,6/17/2024,0.1823,2.1875,5/29/2024
D`ieteren Group ADR,SIETY,6/17/2024,6/28/2024,6/17/2024,1.377475,1.3775,N/A
Gaztransport Et Technigaz ADR,GZPZY,6/17/2024,7/05/2024,6/17/2024,0.356832,0.6248,N/A
Prologis Inc 8.54% PRF PERPETUAL USD - Ser Q,PLDGP,6/17/2024,7/01/2024,6/17/2024,1.0675,4.27,5/09/2024
Unit Corp. Com (New),UNTC,6/17/2024,6/27/2024,6/17/2024,1.25,5.0,6/06/2024
