companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Amkor Technology, Inc. Common Stock",AMKR,12/04/2023,12/26/2023,12/05/2023,0.07875,0.3,11/14/2023
"Cass Information Systems, Inc Common Stock",CASS,12/04/2023,12/15/2023,12/05/2023,0.3,1.16,10/17/2023
F.N.B. Corporation Common Stock,FNB,12/04/2023,12/15/2023,12/05/2023,0.12,0.48,10/19/2023
Gladstone Investment Corporation Business Development Company,GAIN,12/04/2023,12/15/2023,12/05/2023,0.88,0.96,10/23/2023
Hancock Whitney Corporation Common Stock,HWC,12/04/2023,12/15/2023,12/05/2023,0.3,1.2,11/19/2023
Information Services Group Inc. Common Stock,III,12/04/2023,12/20/2023,12/05/2023,0.045,0.18,11/01/2023
KANZHUN LIMITED American Depository Shares,BZ,12/04/2023,12/21/2023,12/05/2023,0.18,0.0,11/14/2023
"Ross Stores, Inc. Common Stock",ROST,12/04/2023,12/29/2023,12/05/2023,0.335,1.34,11/15/2023
Star Bulk Carriers Corp. Common Shares,SBLK,12/04/2023,12/18/2023,12/05/2023,0.22,1.6,11/13/2023
"H&R Block, Inc. Common Stock",HRB,12/04/2023,1/04/2024,12/05/2023,0.32,1.28,11/02/2023
"Glacier Bancorp, Inc. Common Stock",GBCI,12/04/2023,12/14/2023,12/05/2023,0.33,1.32,11/15/2023
Bluegreen Vacations Holding Corporation Class A Common Stock,BVH,12/04/2023,12/18/2023,12/05/2023,0.2,0.8,11/17/2023
Banco Bradesco Sa American Depositary Shares,BBD,12/04/2023,1/12/2024,12/05/2023,0.003898,0.0468,11/07/2023
NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,SRV,12/04/2023,12/29/2023,12/05/2023,0.45,5.4,11/10/2023
ICL Group Ltd. Ordinary Shares,ICL,12/04/2023,12/20/2023,12/05/2023,0.0531,0.2124,11/08/2023
Banco Bradesco Sa American Depositary Shares (each representing one Common Share),BBDO,12/04/2023,1/12/2024,12/05/2023,0.003543,0.0425,11/07/2023
F.N.B. Corporation Common Stock,FNB,12/04/2023,12/15/2023,12/05/2023,0.12,0.48,10/19/2023
Bluegreen Vacations Holding Corporation - Class B,BVHBB,12/04/2023,12/18/2023,12/05/2023,0.2,0.8,11/17/2023
Wal-mart de Mexico S A B de C V ADR,WMMVY,12/04/2023,12/18/2023,12/05/2023,0.501108,1.8711,N/A
CLP Holdings Ltd. ADR,CLPHY,12/04/2023,12/22/2023,12/05/2023,0.072572,0.2903,N/A
"CSB Bancorp, Inc.",CSBB,12/04/2023,12/19/2023,12/05/2023,0.38,1.52,11/02/2023
"Thomasville Bancshares, Inc.",THVB,12/04/2023,12/15/2023,12/05/2023,1.05,2.1,11/08/2023
Christian Dior SE ADR,CHDRY,12/04/2023,1/01/0001,12/05/2023,1.507962,3.0159,N/A
Jyske Bank AS ADR,JYSKY,12/04/2023,12/21/2023,12/05/2023,0.141977,0.142,N/A
