companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Gladstone Capital Corporation 7.75% Notes due 2028,GLADZ,8/15/2024,9/02/2024,8/15/2024,0.484375,1.9375,7/10/2024
Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,HBANM,8/15/2024,9/03/2024,8/15/2024,0.35625,1.425,6/14/2024
Microsoft Corporation Common Stock,MSFT,8/15/2024,9/12/2024,8/15/2024,0.75,3.0,6/12/2024
PACCAR Inc. Common Stock,PCAR,8/15/2024,9/05/2024,8/15/2024,0.3,1.2,7/09/2024
"PriceSmart, Inc. Common Stock",PSMT,8/15/2024,8/30/2024,8/15/2024,0.58,1.16,2/01/2024
"Cornerstone Strategic Value Fund, Inc. New Common Stock",CLM,8/15/2024,8/30/2024,8/15/2024,0.1086,1.3032,5/03/2024
"Cornerstone Total Return Fund, Inc. (The) Common Stock",CRF,8/15/2024,8/30/2024,8/15/2024,0.1037,1.2444,5/03/2024
"TJX Companies, Inc. (The) Common Stock",TJX,8/15/2024,9/05/2024,8/15/2024,0.375,1.5,6/04/2024
International Paper Company Common Stock,IP,8/15/2024,9/16/2024,8/15/2024,0.4625,1.85,7/09/2024
Kroger Company (The) Common Stock,KR,8/15/2024,9/01/2024,8/15/2024,0.32,1.28,6/27/2024
"Southwest Gas Holdings, Inc. Common Stock (DE)",SWX,8/15/2024,9/03/2024,8/15/2024,0.62,2.48,5/01/2024
Eli Lilly and Company Common Stock,LLY,8/15/2024,9/10/2024,8/15/2024,1.3,5.2,6/24/2024
"Applied Industrial Technologies, Inc. Common Stock",AIT,8/15/2024,8/30/2024,8/15/2024,0.37,1.48,6/28/2024
"Maximus, Inc. Common Stock",MMS,8/15/2024,8/31/2024,8/15/2024,0.3,1.2,7/05/2024
"UMH Properties, Inc. Common Stock",UMH,8/15/2024,9/16/2024,8/15/2024,0.215,0.86,7/01/2024
"Source Capital, Inc. Common Stock",SOR,8/15/2024,8/30/2024,8/15/2024,0.2083,2.4996,4/16/2024
DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,DTF,8/15/2024,8/30/2024,8/15/2024,0.0325,0.39,6/17/2024
NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,SRV,8/15/2024,8/30/2024,8/15/2024,0.45,5.4,6/03/2024
"RiverNorth Managed Duration Municipal Income Fund, Inc. Common Stock",RMM,8/15/2024,8/30/2024,8/15/2024,0.0916,1.0992,7/01/2024
MainStay MacKay DefinedTerm Municipal Opportunities Fund,MMD,8/15/2024,8/30/2024,8/15/2024,0.06,0.72,7/01/2024
NXG NextGen Infrastructure Income Fund Common Shares of Beneficial Interest,NXG,8/15/2024,8/30/2024,8/15/2024,0.54,6.48,6/03/2024
"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",MHNC,8/15/2024,9/03/2024,8/15/2024,0.484375,1.9375,N/A
"RiverNorth Opportunities Fund, Inc. Common Stock",RIV,8/15/2024,8/30/2024,8/15/2024,0.1289,1.5468,7/01/2024
RiverNorth Capital and Income Fund Common Stock,RSF,8/15/2024,8/30/2024,8/15/2024,0.1398,1.6776,7/01/2024
"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. Common Stock",OPP,8/15/2024,8/30/2024,8/15/2024,0.1003,1.2036,7/01/2024
"RiverNorth Opportunistic Municipal Income Fund, Inc. Common Stock",RMI,8/15/2024,8/30/2024,8/15/2024,0.0965,1.158,7/01/2024
"RiverNorth Flexible Municipal Income Fund, Inc. Common Stock",RFM,8/15/2024,8/30/2024,8/15/2024,0.0954,1.1448,7/01/2024
"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",AFGD,8/15/2024,9/03/2024,8/15/2024,0.3515625,1.4062,N/A
"Prudential Financial, Inc. 4.125% Junior Subordinated Notes due 2060",PFH,8/15/2024,9/03/2024,8/15/2024,0.2578125,1.0312,N/A
"RiverNorth Flexible Municipal Income Fund II, Inc. Common Stock",RFMZ,8/15/2024,8/30/2024,8/15/2024,0.0866,1.0392,7/01/2024
"RiverNorth Managed Duration Municipal Income Fund II, Inc. Common Stock",RMMZ,8/15/2024,8/30/2024,8/15/2024,0.0974,1.1688,7/01/2024
Saratoga Investment Corp 6.00% Notes due 2027,SAT,8/15/2024,9/03/2024,8/15/2024,0.375,1.5,N/A
Saratoga Investment Corp 8.00% Notes due 2027,SAJ,8/15/2024,9/03/2024,8/15/2024,0.5,2.0,N/A
Saratoga Investment Corp 8.125% Notes due 2027,SAY,8/15/2024,9/03/2024,8/15/2024,0.5078,2.0312,N/A
Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,ASBA,8/15/2024,9/03/2024,8/15/2024,0.4141,1.6564,N/A
Saratoga Investment Corp 8.50% Notes due 2028,SAZ,8/15/2024,9/03/2024,8/15/2024,0.5312,2.1248,N/A
"Redwood Trust, Inc. 9.125% Senior Notes Due 2029",RWTN,8/15/2024,9/03/2024,8/15/2024,0.5703,2.2812,N/A
"Sound Point Meridian Capital, Inc. Common Stock",SPMC,8/15/2024,8/30/2024,8/15/2024,0.2,3.6,6/27/2024
"Redwood Trust, Inc. 9.00% Senior Notes Due 2029",RWTO,8/15/2024,9/03/2024,8/15/2024,0.45625,1.825,N/A
Osaic Financial Services Inc. 8% PRF PERPETUAL USD 25 - Ser A,LTSAP,8/15/2024,8/28/2024,8/15/2024,0.1667,2.0004,7/01/2024
