companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Nathan's Famous, Inc. Common Stock",NATH,2/16/2024,3/01/2024,2/20/2024,0.5,2.0,2/01/2024
Silicon Motion Technology Corporation American Depositary Shares,SIMO,2/16/2024,3/01/2024,2/20/2024,0.5,2.0,1/19/2024
"Skyworks Solutions, Inc. Common Stock",SWKS,2/16/2024,3/12/2024,2/20/2024,0.68,2.72,1/30/2024
"Walgreens Boots Alliance, Inc. Common Stock",WBA,2/16/2024,3/12/2024,2/20/2024,0.25,1.92,1/03/2024
"Woodward, Inc. Common Stock",WWD,2/16/2024,3/05/2024,2/20/2024,0.25,0.88,1/24/2024
Southern Company (The) Common Stock,SO,2/16/2024,3/06/2024,2/20/2024,0.7,2.8,1/18/2024
Johnson & Johnson Common Stock,JNJ,2/16/2024,3/05/2024,2/20/2024,1.19,4.76,1/02/2024
Murphy Oil Corporation Common Stock,MUR,2/16/2024,3/04/2024,2/20/2024,0.3,1.2,1/25/2024
"Highwoods Properties, Inc. Common Stock",HIW,2/16/2024,3/12/2024,2/20/2024,0.5,2.0,1/31/2024
"United Parcel Service, Inc. Common Stock",UPS,2/16/2024,3/08/2024,2/20/2024,1.63,6.52,1/30/2024
Deluxe Corporation Common Stock,DLX,2/16/2024,3/04/2024,2/20/2024,0.3,1.2,2/01/2024
"Special Opportunities Fund, Inc Common Stock",SPE,2/16/2024,2/29/2024,2/20/2024,0.0954,1.1448,1/03/2024
CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,IGR,2/16/2024,2/29/2024,2/20/2024,0.06,0.72,1/08/2024
High Income Securities Fund Common Stock,PCF,2/16/2024,2/29/2024,2/20/2024,0.0622,0.7464,1/04/2024
Zurn Elkay Water Solutions Corporation Common Stock,ZWS,2/16/2024,3/07/2024,2/20/2024,0.08,0.32,2/01/2024
